# --- 1.0: Разговор насчёт следующего фильма в студии

	10.aa.0@101@t-mk-1@Привет, Макс. Кажется, пришло время кое-что обсудить. У тебя есть время?|Hi, Max. Hast du Zeit, unseren nächsten Film zu diskutieren?
		10.cg.31^		<i>далее</i>|<i>fortfahren</i>

	10.cg.31@132@Ну а если это не поможет, придётся сделать укол... А сперму на анализ привезёте, когда получится всё сделать... Ну или можешь кончить прямо сейчас...|Wenn das nicht hilft, müssen wir die Spritze machen, Max. Du musst mir eine Probe geben, wenn du sie bekommen kannst. Oder du kannst jetzt gleich abspritzen....
		10.cg.32^		<i>кончить!</i>|<i>spritzen!</i>

	10.cg.32@69@a-clinic-11@Ох, Макс, ты бы предупредил, я даже не успела подставить баночку... Что теперь делать?|Oh, du hättest mich warnen sollen, Max. Ich hatte nicht die Zeit, die Probe im Becher zu sammeln. Was ist jetzt zu tun?
		10.cg.33^		Извини...|Es tut mir leid.

	10.cg.33@131@Всё в порядке, того что осталось на твоих руках достаточно, давай я всё соберу и вот салфетка...|Es ist okay, wir können einfach das, was wir an deinen Händen haben, aufnehmen, es wird reichen. Hier sind ein paar Taschentücher zum Aufräumen.
		10.cg.34^		<i>далее</i>|<i>fortfahren</i>

	10.cg.34@133@a-clinic-12@Ну, вот и всё. Спасибо вам, теперь я сделаю все анализы и можно будет уже что-то сказать о характере твоей проблемы, Макс... Точнее, о характере вашей проблемы...|Das war's dann wohl. Danke, ich werde alle Tests machen und hoffentlich etwas Licht in deine Lage bringen, Max.
		10.cg.35^		<i>далее</i>|<i>fortfahren</i>

	10.cg.35@60@И что теперь, когда нам приходить?|Wann sollen wir dann wiederkommen?
		10.cg.36^		<i>далее</i>|<i>fortfahren</i>

	10.cg.36@128@Вам обоим приходить не обязательно. Макс может сам заглянуть через неделю. Анализы точно будут готовы и я всё расскажу, что удастся выяснить...|Ihr müsst nicht beide hier sein. Max kann mich in einer Woche besuchen. Die Testergebnisse werden bis dahin vorliegen.
		10.cg.37^		А мама?|Und Mom?

	10.cg.37@60@Ну если Ева говорит, что мне не обязательно ехать, так будет лучше. Тогда расскажете, когда будет что-то известно...\n\n<i><b>Внимание:</b> Теперь вы можете посещать Еву в клинике. Но пока лучше подождать неделю.</i>|Wenn Eve sagt, ich muss nicht mitkommen, dann bleibe ich zu Hause. Du kannst mir das Ergebnis sagen, wenn du etwas weißt.\n\n<i><b>Achtung:</b> Du kannst Eve jetzt in der Klinik besuchen. Wartet eine Woche, bevor die Ergebnisse vorhanden sind.</i>
		10.cg.38^		Ладно...|Okay

	10.cg.38@67@Ну всё, Макс, поехали домой. Не забудь через неделю сходить к Еве... Я не буду ставить напоминание, ты уже большой и сам можешь такие вещи планировать. Справишься?|Lass uns nach Hause gehen, Max. Vergiss nicht, nächste Woche zu Eve zurückzukehren. Ich werde dich nicht daran erinnern, ich bin sicher, du kannst das Problem selbst lösen. Stimmt's?
		leave!move_pool!set_can.go.med_1!set_poss.prep_6!set_dcd.med_7!set_med_1!time_3^	Конечно!|Natürlich!



# --- 1.0: Первое посещение Евы без Анны

	10.ch.0@128@a-clinic-13@Здравствуй, Макс. Рада тебя ?идеть!|Hi, Max, Schön, dich zu sehen.
		10.ch.1^		Привет!|Hi!

	10.ch.1@133@a-clinic-1@Проходи, присаживайся, поговорим о том, что удалось выяснить...|Komm, setz dich. Reden wir über die Testergebnisse.
		10.ch.2^		Хорошо|Okay

	10.ch.2@128@a-clinic-14@Ну что я могу сказать. Анализы у тебя прекрасные, если не считать одного странного вещества...|Insgesamt sind die Ergebnisse ziemlich gut, ohne eine seltsame Substanz....
		10.ch.3^		К-какого?|Was?

	10.ch.3@131@Очень странного. Поэтому, я просто вынуждена у тебя спросить. Ты принимал какой-то препарат? Лекарства, таблетки, что угодно?|Es ist sehr seltsam. Ich muss dich fragen, hast du Medikamente genommen?
		10.ch.4a^		Нет!|Nein!
		10.ch.4b^		Ну...|Nun ja....

	10.ch.4a@128@Понятно... В таком случае, придётся тебя положить на исследование. Я пока не поняла как это действует, но это требует медицинского вмешательства!|Ich verstehe. Ich schätze, ich muss dich in ein Krankenhaus bringen, um mehr zu erfahren. Ich bin nicht sicher, wie genau alles funktioniert, aber es muss studiert werden.
		10.ch.4a.2^		Не надо!|Nicht!

	10.ch.4a.2@131@Другого выбора у меня просто нет. А вдруг, это может нанести вред твоему организму? Если сам ты не принимал ничего, значит, получил это каким-то другим способом и нужно это выяснить...|Ich habe keine Wahl. Wer weiß, was es deinem Körper antut. Und wenn du es nicht selbst genommen hast, müssen wir herausfinden, wie es in deinen Körper gelangt ist.
		10.ch.4b^		А, я вспомнил... Было кое-что...|Ich erinnerte mich an.... etwas....

	10.ch.4b@129@Так, это уже интересно. Хорошо, рассказывай всё. Можешь не бояться, я связана врачебной тайной и если ты не захочешь, ни о чём никто не узнает, даже твоя мама...|Okay, sag es mir. Keine Sorge, wir haben eine ärztliche Schweigepflicht, niemand wird es erfahren. Selbst deine Mom nicht.
		10.ch.4^		<i>рассказать всё</i>|<i>sag ihr alles</i>

	10.ch.4@133@Понятно... А что это за препарат, ты не знаешь?|Ich verstehe. Und du weißt nichts über die Pille, die du genommen hast?
		10.ch.5^		Какой-то экспериментальный...|Etwas Experimentelles, glaube ich....

	10.ch.5@131@Я так понимаю, больше его достать нельзя? Просто эффект, который он вызывает, весьма интересный. Я имею в виду на клеточном уровне, хотя и не только...|Und du kannst nicht mehr davon bekommen? Es hat eine faszinierende Wirkung auf deinen Körper....
		10.ch.6^		И что теперь?|Also, was jetzt?

	10.ch.6@132@Ну у меня есть одна идея. Только потребуется больше спермы на анализ. Того, что удалось собрать с руки твоей мамы, когда она... Ну, ты знаешь. В общем, того оказалось мало. Ты мне поможешь с этим?|Nun, ich habe eine Idee. Ich brauche nur mehr Sperma zu analysieren. Die Menge, den du auf die Hand deiner Mutter gespritzt hast, als sie ... Nun, weißt du. Im Allgemeinen ist das nicht genug. Wirst du mir dabei helfen?
		10.ch.7^		Что делать?|Was muss ich tun?

	10.ch.7@133@Ну для начала, раздевайся, снимай всё ниже пояса... Надеюсь, сегодня ты справишься без свой мамы...|Du solltest deine Hose ausziehen, für den Anfang. Ich hoffe, du kannst es heute ohne deine Mom machen.
		10.ch.8^		Ладно... <i>(раздеться)</i>|Okay... <i>(ausziehen)</i>

	10.ch.8@130@a-clinic-15@Да, если бы не то вещество, я бы назвала тебя самым здоровым человеком, какого видела. Во всех смыслах...|Ohne die Substanz wärst du der gesündeste Mensch, den ich je getroffen habe.
		10.ch.9^		Так, и что дальше?|Okay, Was jetzt?

	10.ch.9@132@a-clinic-16@Теперь тебе нужно наполнить эту баночку своей спермой. Не бойся, если промахнёшься, я всё уберу. Просто расслабься и сделай себе приятно...|Jetzt musst du diesen Becher mit deinem Sperma füllen. Mach dir keine Sorgen, wenn du was verschüttest, ich räume alles auf. Beruhige dich und mach dein Ding.
		10.ch.10^		Но у меня синдром же!|Aber ich habe ein Syndrom.

	10.ch.10@129@a-clinic-15@Туннельный синдром? Ты серьёзно, Макс? Не забыл, что я врач и кое-что в этом понимаю? Свою маму ты смог обмануть, но меня не получится...|Ist das dein Ernst, Max? Hast du vergessen, dass ich Arzt bin? Du hast es geschafft, deine Mom zu täuschen, aber das kannst du mir nicht vormachen.
		10.ch.11^		Эх...|Oh...

	10.ch.11@133@Не переживай, я ей не скажу. Врачебная тайна, помнишь? Ну всё, приступай. Я постараюсь тебе не мешать, а наоборот, даже как-то помочь, если хочешь...|Keine Sorge, ich werde es ihr nicht sagen. Ich kann nicht, erinnerst du dich? Du kannst jetzt anfangen. Ich werde dir nicht im Weg sein. Ich kann dir sogar ein bisschen helfen, wenn du willst.
		10.ch.12^		Хочу!|Das tue ich!

	10.ch.12@4@a-clinic-17@<i>Я встречал мало врачей, точнее, видел их только в фильмах... Да, может быть в детстве ещё, не помню... Но Ева... Кажется, я влюбился!</i>|<i>Eve ist die beste Ärztin meines Lebens! Nicht, dass ich so viele getroffen hätte, aber.... Ich glaube, ich bin verliebt!</i>
		10.ch.13^		<i>дрочить, глядя на Еву</i>|<i>anfangen zu wichsen, während ich Eve ansehe</i>

	10.ch.13@130@a-clinic-18@Ну как, это лучше журнальчиков, о которых спрашивала твоя мама в прошлый раз?|Also, ist das besser als die Zeitschriften, nach denen deine Mom das letzte Mal gefragt hat?
		10.ch.14^		Определённо!|So viel besser!
		10.ch.14b^		А можешь показать больше?|Vielleicht könntest du mir mehr zeigen?

	10.ch.14b@128@Может быть и могу... Но в другой раз... Если захочешь ещё поделиться со мной частью себя... Кажется, ты уже на грани? Кончай, я люблю на это смотреть!|Vielleicht könnte ich.... Aber ein anderes Mal. Wenn du bereit bist, mehr zu sagen.... Ich glaube, du bist schon nah dran, vergiss den Becher nicht. Spritze ab, ich liebe diesen Teil!
		10.ch.15^		<i>кончить в баночку</i>|<i>in den Becher spritzen</i>

	10.ch.14@132@Ого... Кажется, ты уже на грани? Кончай, я люблю на это смотреть!|Wow.... Ich glaube, du bist schon nah dran. Spritze ab, ich liebe diesen Teil!
		10.ch.15^		<i>кончить в баночку</i>|<i>in den Becher spritzen</i>

	10.ch.15@133@a-clinic-25@А ты молодец, Макс! В этот раз всё получилось даже быстрее, чем с мамой. Может быть, ты на пути выздоровления? Посмотрим...|Gute Arbeit, Max. Diesmal warst du noch schneller als mit deiner Mom. Vielleicht geht es dir besser?
		10.ch.16^		И что теперь?|What now?

	10.ch.16@130@a-clinic-13@А теперь нужно подождать, пока я сделаю все необходимые анализы. Приходи за результатами дней через 5. Лучше в районе часов 16-17. Думаю, всё будет готово... До встречи!|Jetzt warten wir auf weitere Ergebnisse. Du kannst nach 5 Tagen wiederkommen. Vorzugsweise 16-17 Stunden. Ich denke, bis dahin sollte alles fertig sein. Auf Wiedersehen.
		leave!set_med_2!set_dcd.med_5!set_poss.prep_7!time^		Хорошо, до свид?ния!|Okay, Auf Wiedersehen



# --- 1.0: Второй визит к доктору, Ева делает предложение

	10.ci.0@133@a-clinic-13@Здравствуй, Макс. Рада снова тебя видеть!|Hi, Max, Schön, dich zu sehen.
		10.ci.1^		Привет, Ева...|Hi, Eve

	10.ci.1@128@a-clinic-1@Проходи, присаживайся. Я сделала все необходимые анализы и могу кое-что тебе рассказать...|Komm, setz dich. Ich habe Ihre Testergebnisse und kann ein paar Neuigkeiten verraten.
		10.ci.2^		И что же?|Ich höre

	10.ci.2@129@a-clinic-14@Только сначала скажи, ты больше не принимал тот препарат?|Zuerst sag mir, hast du mehr von der Droge genommen?
		10.ci.3^		Нет вроде...|Das habe ich nicht.

	10.ci.3@132@В таком случае, у меня для тебя две новости. Первая - это вещество не выводится из твоего организма. Похоже, его количество держится на одном уровне...|Dann habe ich zwei Neuigkeiten für dich. Erstens, dieses Medikament verlässt nicht deinen Körper. Die Menge bleibt auf dem gleichen Niveau.
		10.ci.4^		А вторая?|Und die zweite Nachricht?

	10.ci.4@133@Вторая лучше. Похоже, это вещество безвредно для большинства органов. Но на один всё же действует, как ты уже понял...|Die zweite Nachricht ist sehr gut. Das Medikament ist harmlos und wirkt nicht auf den überwiegenden Teil deines Körpers. Der einzige Effekt ist, naja, du weißt, was es tut.
		10.ci.5^		Так...|Ich verstehe

	10.ci.5@128@Похоже, тебе придётся с этим жить... Не расстраивайся. Наоборот, теперь у тебя есть нечто вроде суперсилы... Мужской суперсилы, я имею в виду...|Also musst du für den Rest deines Lebens damit leben. Aber mach dir keine Sorgen. Eigentlich ist es sogar sehr gut. Du könntest es sogar als deine Superkraft betrachten....
		10.ci.6^		Это как?|Was meinst du damit?

	10.ci.6@132@Все эти спонтанные эрекции - результат адаптации организма к препарату. Это пройдёт, если уже не прошло... Вторая же проблема интереснее и, кажется, не совсем проблема...|Erinnerst du dich, wie es in den Superheldenfilmen eine Zeit gibt, in der sich die Körper der Helden an Veränderungen gewöhnen müssen? Deine zufälligen Erektionen sind ein Nebenprodukt dieses Prozesses und sollten bald aufhören. Aber es gibt noch eine weitere interessante Nebenwirkung der Droge.... Und es könnte viel besser sein, als du dachtest, nachdem sich dein Körper an das Medikament gewöhnt hat.
		10.ci.7^		Ты про то, что не могу кончить?|Du sprichst von meiner Unfähigkeit zu kommen?

	10.ci.7@133@Ну да. Мне кажется, что ты сможешь это контролировать, конечно, если потренируешься как следует...|Ja. Ich denke, du wirst diesen Prozess irgendwann kontrollieren können.
		10.ci.8^		И что я смогу?|Und was bringt mir das?

	10.ci.8@131@В твоём возрасте вполне нормально, когда кончаешь слишком быстро. Но у многих мужчин постарше бывает другая проблема, когда требуются стимуляторы...|Weißt du, wie normal eine vorzeitige Ejakulation in deinem Alter ist? Oder wie manche Menschen Probleme mit Erektionen haben und dafür Medikamente einnehmen müssen?
		10.ci.9^		Типа виагры?|Du meinst wie ein Viagra?

	10.ci.9@128@Да, я об этом. И похоже, что эта проблема тебя не коснётся. Если научишься, ты сможешь быть в постели мужчиной ровно столько, сколько захочешь, если ты меня понимаешь...|Ja. Ich denke, du wirst nie diese Problemen haben. Das Medikament in deinem Körper gibt dir die Kontrolle über deine Erektion. Du kannst ihn jederzeit wieder aufstellen, so lange du willst.
		10.ci.10^		А это круто?|Klingt ziemlich gut....

	10.ci.10@133@Это очень круто, Макс. Ты даже не представляешь, насколько... Обычно мне попадались как раз такие, которые бы позавидовали твоей новой способности...|Es ist einfach unglaublich, Max. Du hast keine Ahnung, glaub mir. Es gibt eine Menge Leute, die froh wären, diese Kontrolle zu haben.
		10.ci.11^		Ну я пока не умею это контролировать...|Aber ich habe noch keine Kontrolle.

	10.ci.11@132@Это нормально. Организм ещё приспосабливается. Научишься...|Dein Organismus verändert sich immer noch. Das wirst du irgendwann.
		10.ci.12^		Ясно. Ну, спасибо, Ева...|Okay. Danke, Eve

	10.ci.12@128@Не за что. Мне было интересно заниматься твоей проблемой... Но ты знаешь, у меня к тебе есть одно предложение. Не знаю, стоит ли такое предлагать...|Gern geschehen. Du bist ein sehr interessanter Fall.... Aber weißt du, ich habe einen Vorschlag für dich....
		10.ci.13^		Какое?|Was meinst du damit?

	10.ci.13@131@Я хочу попробовать выделить это вещество из твоей спермы и научиться его синтезировать...|Ich will versuchen, das Medikament aus deinem Sperma zu extrahieren und es zu synthetisieren.
		10.ci.14^		А зачем?|Warum?

	10.ci.14@128@Как я поняла из твоего рассказа, это вещество не совсем легальное и кто его производит, где, неизвестно. Но если его воссоздать, можно помочь очень многим мужчинам...|Wie ich aus deiner Geschichte verstehe ist, dass diese Substanz nicht ganz legal ist und wer sie wo produziert ist unbekannt. Aber wenn wir sie synthetisieren, können wir sehr vielen Männern helfen ...
		10.ci.15^		Ты имеешь в виду какого-то конкретного?|Hast du eine bestimmte Person im Sinn?

	10.ci.15@133@Что, спрашиваешь, нет ли у меня мужчины, у которого проблемы с эрекцией? Нет, я сейчас ни с кем не встречаюсь, если ты об этом...|Wenn du mich fragst, ob ich jemanden mit Erektionsproblemen habe, dann nein, ich habe gerade niemanden.
		10.ci.16^		Понятно...|Ich verstehe

	10.ci.16@128@Нет, я имела в виду возможность создать лекарство, протестировать, зарегистрировать и таким образом помочь любому желающему...|Nein, ich meinte, dieses Medikament herzustellen, damit ich es verkaufen kann.
		10.ci.17^		Значит, хочешь заработать?|Also, willst du damit Geld verdienen?

	10.ci.17@133@Ну да, а что здесь такого? И ты мне можешь с этим помочь, если хочешь...|Warum nicht? Und du kannst mir helfen, wenn du willst.
		10.ci.18^		Как именно?|How?

	10.ci.18@132@Если ты будешь иногда приходить и сдавать образец своей спермы... Ну, в научных целях, конечно... То я смогу тебе платить за каждый такой визит, например...|Du kannst mich ab und zu besuchen und mir neue Proben geben. Für die Wissenschaft, Natürlich.... Ich werde dich für jeden Besuch bezahlen.
		10.ci.19^		Сколько?|Wie viel?

	10.ci.19@128@$100 за каждый раз тебя устроило бы?|Sind $100 gut genug für dich?
		10.ci.20a!set_sper_100^		Да, $100 устроит!|Klar, klingt gut
		10.ci.20b^					200!|Ich will $200!
		10.ci.20c^					300!|Ich will $300!
		10.ci.20c^					500!|Ich will $500!

	10.ci.20a@133@Ну вот и договорились! На сегодня это всё. Сейчас у меня другой клиент...|Abgemacht. Das war's für heute, ich habe bald einen weiteren Kunden.
		10.ci.20^		Понял. И когда можно прийти?|Okay, wann soll ich das nächste Mal kommen?

	10.ci.20b@131@Хм... Ну это дорого для меня. За каждый раз... Хотя, если всё получится, то это всё окупится, конечно... Ладно, я буду платить тебе $200 за каждый раз...|Das ist eine ganze Menge für eine einzelne Probe.... Natürlich, es zahlt sich aus, wenn alles klappt.... Gut, ich bin bereit, dir $200 für jeden Besuch zu zahlen.
		10.ci.20a^		Супер! И когда можно прийти?|Großartig. Wann sollte ich dich das nächste Mal besuchen?

	10.ci.20c@131@Хм... Нет, Макс. Это слишком дорого. Конечно, если всё получится, то это всё окупится, но сейчас я не могу. Ладно, давай я буду платить тебе $200 за каждый раз...|Nein, Max, das ist zu viel. Ich will meine Investition zurückgeben, wenn alles gut läuft, aber ich kann es mir im Moment nicht leisten. Ich kann für $200 pro Probe zahlen.
		10.ci.20a^		Ладно... И когда можно прийти?|Großartig. Wann sollte ich dich das nächste Mal besuchen?

	10.ci.20@128@a-clinic-13@Да хоть завтра. Можешь приходить раз в три дня. Чаще мне твоя сперма не понадобится. Да, лучше приходи с 16 до 17, в любой день. В это время обычно мало клиентов.|Du kannst morgen anfangen und dann alle drei Tage vorbeikommen. Es ist nicht nötig, öfter vorbeizuschauen, ich werde nicht in der Lage sein, die vorherigen Proben durchzugehen. Um die gleiche Zeit, 16-17, ich habe nicht viele Patienten zu dieser Tageszeit.
		leave!set_dcd.med_1!set_med_3!set_poss.prep_8!time^		Ладно. До встречи!|Okay. Bis zum nächsten Mal!



# --- 1.0: Третий визит к Еве

	10.cj.0@133@a-clinic-1@Здравствуй, Макс. Рада снова тебя видеть! Проходи, присаживайся...|Hi, Max, Schön, dich zu sehen. Komm, setz dich.
		10.cj.1^		Ага, привет...|Hi

	10.cj.1@128@a-clinic-14@Похоже, ты обдумал моё предложение. Решил сдать сперму? Тогда снимай всё, что ниже пояса...|Also nehme ich an, dass du mein Angebot angenommen hast. Du bist hergekommen, um mir noch eine weitere Samenprobe zu geben, richtig? Dann zieh deine Hose aus.
		10.cj.2^		Ага...|Okay

	10.cj.2@132@a-clinic-15@Ну всё, приступай... Журнальчики я так и не достала, но думаю, я тоже сгожусь...|Du kannst jetzt anfangen. Ich habe keine Magazine bekommen, aber ich hoffe, ich bin gut genug.
		10.cj.3^		О да...|Natürlich!

	10.cj.3@4@a-clinic-17@<i>Уж не знаю где кидают... И на красивую девушку посмотреть и подрочить и ещё и заплатить обещают? Повезло же мне с доктором!</i>|<i>Klingt zu schön, um wahr zu sein.... Ich darf mir die schöne Frau und die Ficksahne ansehen und werde dafür bezahlt?</i>
		10.cj.4^		<i>продолжать</i>|<i>fortfahren</i>

	10.cj.4@130@a-clinic-18@Я подумала, что сегодня можно позволить себе немного больше, раз уж мы оба заинтересованы в том, чтобы у тебя всё получилось...|Ich denke, ich kann heute etwas mehr tun, da wir beide in einem Happy End motiviert sind....
		10.cj.5^		Я точно за!|Ich mag es!

	10.cj.5@4@a-clinic-19@<i>О да! Ева сегодня в ударе... А может быть, она тоже завелась? Интересно, получится развести её на что-то ещё?</i>|<i>Ich frage mich, ob Eve jetzt nass ist.... vielleicht kann ich sie um mehr bitten?</i>
		10.cj.6^		Может быть, халатик снимешь?|Vielleicht könntest du deinen Kittel ausziehen?

	10.cj.6@131@Может быть... Надеюсь, сюда никто не войдёт, а то меня так и медицинской лицензии могут лишить... Ах да, я же закрыла кабинет... Ну что же...|Vielleicht...... Gut, dass die Tür verschlossen ist, ich könnte meine Lizenz verlieren, wenn mich jemand sieht....
		10.cj.7^		<i>далее</i>|<i>fortfahren</i>

	10.cj.7@130@a-clinic-21@Это всё, что я пока могу для тебя сделать... Поторопись, у нас не так много времени...|Mehr kann ich im Moment nicht tun.... Beeil dich, wir haben nicht viel Zeit.
		10.cj.8^		О да...|Oh, Ja ja...

	10.cj.8@4@<i>Это всё что она <b>пока</b> может сделать? Любопытно... Ох. Кажется, это и правда помогает... Ещё чуть-чуть... и...</i>|<i>Das ist alles <b>für jetzt</b>? Klingt gut.... Und es funktioniert definitiv.... Fast fertig....</i>
		10.cj.9^		<i>кончить в баночку</i>|<i>in den Becher spritzen</i>

	10.cj.9@133@Молодец, Макс! Сегодня достаточно оперативно получилось. Похоже, эти... сборы образцов идут тебе на пользу - учишься контролировать свой организм..|Gute Arbeit, Max. Du warst heute ziemlich schnell. Sieht so aus.... das Probensammeln hilft dir bei deiner Kontrolle.
		10.cj.10^		Ага...|Ja

	10.cj.10@132@Ну, давай сюда, что там у тебя получилось... Ого, как много... Да, сегодня ты заслужил награду...|Okay, gib mir den Becher.... Das ist eine ganze Menge Sperma, Max. Du verdienst heute definitiv deine Belohnung.
		10.cj.11^		Какую?|Welche Belohnung?

	10.cj.11@133@a-clinic-13@Как какую? Мы же договорились о деньгах!|Was meinst du mit "welche Belohnung"? Dein Geld, Natürlich!
		10.cj.12^		Ах да...|Oh, Ja ja...

	10.cj.12@128@Или ты хотел что-то другое? Вот то, что я обещала. Можешь приходить дня через три, когда твой организм восстановится...|Hast du auf etwas anderes gehofft? Darauf haben wir uns geeinigt. Du kannst in drei Tagen wiederkommen.
		leave!set_med_4!set_dcd.med_3!set_poss.prep_9!medmoney!time^		Хорошо, Ева, до встречи!|Okay, Eve, Auf Wiedersehen



# --- 1.0: Периодический эвент с Евой в клинике

	10.ck.0@128@a-clinic-1@Здравствуй, Макс. Рада снова тебя видеть! Проходи, присаживайся...|Hi, Max, Schön, dich zu sehen. Komm, setz dich.
		10.ck.1^		Ага, привет...|Hi

	10.ck.1@133@a-clinic-14@Ну что сидишь, раздевайся... Я сегодня подготовилась к твоему визиту... Но ты не стесняйся, начинай...|Worauf wartest du, zieh deine Hose aus. Ich hatte einige Vorbereitungen für deinen Besuch.... Du kannst jederzeit anfangen, Max.
		10.ck.2^		Это как же?|Welche Vorbereitungen?

	10.ck.2@130@a-clinic-17@Я подумала, что надо как-то ускорить наши... процедуры и решила снять кое-что лишнее...|Ich dachte, wir könnten unsere.... Prozedur beschleunigen, wenn ich etwas ausziehe.
		10.ck.3^		Ух!|Wow!

	10.ck.3@133@a-clinic-20@Так же лучше? Тебе нравится?|Ist das besser? Gefällt es dir?
		10.ck.4^		О-очень!|Ich liebe es!

	10.ck.4@130@Ну, я рада... Тогда, продолжай... Представь, что ты однажды сможешь не только смотреть, но и...|Ich bin froh, das zu hören. Na los, dann.... Angenommen, du kannst eines Tages mehr als nur schauen....
		10.ck.5^		О да, это помогает!|Ja, Das ist sehr hilfreich!

	10.ck.5@132@Тогда я сделаю ещё кое-что...|Ich kann noch mehr tun....
		10.ck.6^		Давай!|Mach es!

	10.ck.6@4@a-clinic-22@<i>Обалдеть! Осталась в одних чулочках! О да, Ева... Тут я точно не сдержусь...</i>|<i>Ich kann es nicht glauben! Sie hat nur ihre Strümpfe an! Ja, Eve.... Ich werde es nicht mehr aushalten können....</i>
		medalt=0&10.ck.7^		<i>кончить в баночку</i>|<i>in den Becher spritzen</i>
		medalt=1&11.ia.0^		<i>продолжать</i>|<i>fortfahren</i>
		medalt>1&10.ck.7^		<i>кончить в баночку</i>|<i>in den Becher spritzen</i>

	10.ck.7@133@Ого, как ты быстро сегодня... Я рада, что смогла тебя простимулировать, пусть и таким образом...|Wow, du bist heute so schnell.... Ich bin froh, dass ich dir helfen konnte.
		10.ck.8^		Ух...|Oh...

	10.ck.8@132@a-clinic-23@Так, всё, давай сюда свою сперму, я найду ей отличное применение...|Okay, gib mir dein Sperma, ich werde eine gute Verwendung dafür finden.
		10.ck.9^		Ага, держи...|Hier ist es

	10.ck.9@133@a-clinic-13@Ну всё, приём закончен. Вот твои деньги. Ещё раз спасибо тебе за то, что делаешь это для меня...|Okay, dann Hier ist dein Geld. Nochmals vielen Dank, dass du das für mich getan hast.
		10.ck.10^		Тебе спасибо!|Ich danke <b>Dir</b>!

	10.ck.10@128@Хорошо, что мы нашли друг друга. Заходи дня через три, как почувствуешь, что уже пора... До встречи, Макс!|Ich bin froh, dass wir uns gefunden haben. Komm in drei Tagen wieder. Auf Wiedersehen, Max.
		leave!set_dcd.med_3!max_poss.prep_10!medmoney!time^		Пока, Ева!|Bye, Eve



# --- 1.0: Алиса собирается на шоппинг, новое ответвление

	10.da.0@24@f-ad-1@Макс! Тебя стучаться не учили? Выйди, я переодеваюсь!|Hast du noch nie was von Anklopfen gehört? Raus hier, ich ziehe mich um!
		10.da.1^		Я не буду тебе мешать...|Ich werde nicht im Weg sein.

	10.da.1@22@Ну Макс, я сейчас не в настроении... Давай ты где-нибудь погуляешь, а потом поговорим...|Ich bin nicht in der Stimmung, Max.... Kannst du nicht was anderes machen, wir reden später.
		10.da.2^		Не обращай на меня внимания!|Kümmere dich nicht um mich.

	10.da.2@21@f-ad-2@Ну... хорошо. Но только не подглядывай! Если замечу, сразу выгоню!|Gut. Aber nicht gucken! Ich werfe dich raus, wenn ich dich erwische!
		alisanp=0&10.da.3a^		Да чего я там не видел...|Nichts, was ich nicht schon mal gesehen habe.
		alisanp>0&10.da.3b^		Да чего я там не видел...|Nichts, was ich nicht schon mal gesehen habe.

	10.da.3a@24@f-ad-3@Эй! Я тебя предупредила! Закрой глаза, а то смущаешь меня...|Hey, ich habe dich gewarnt! Schließe deine Augen....
		10.da.3^		После всего, что у нас было?|Nach allem, was wir schon getan haben?

	10.da.3b@21@f-ad-3b@Эй! Я тебя предупредила! Закрой глаза, а то смущаешь меня...|Hey, ich habe dich gewarnt! Schließe deine Augen....
		10.da.3^		После всего, что у нас было?|Nach allem, was wir schon getan haben?

	10.da.3@25@a-alisa-dressing-1@Я предпочитаю думать, что у нас ничего и не было... Но если ты настолько изголодался по женскому телу, то ладно, можешь поглазеть чуток...|Ich stelle mir gerne vor, dass wir nie etwas hatten. Aber wenn du so scharf auf den Körper einer Frau bist, kannst du ein wenig starren....
		10.da.4^		Ух... Хорошая попка...|Oh... geiler Arsch...

	10.da.4@21@Спасибо. Ну вот, от тебя какой-то толк, настроение мне поднял...|Wenigstens sagst du ab und zu nette Dinge. Danke.
		10.da.5^		Обращайся!|Jederzeit, Schwesterchen.

	10.da.5@33@a-alisa-dressing-2@Ну всё, я готова. Как я тебе?|Okay, ich bin bereit. Wie sehe ich aus?
		10.da.6^		Выглядишь отлично!|Du siehst unglaublich aus!

	10.da.6@21@Ладно, мне пора. Давай, займись чем-нибудь уже!|Okay, ich muss jetzt gehen. Geh und mach was anderes.
		leave!max_cam.1.grow_200!time^		Ага...|Okay



# --- 1.0: Лиза собирается на шоппинг, новое ответвление

	10.db.0@46@f-un-1@Эй, Макс, ну что за дела? А если бы я была голой? Стучаться надо!|Was zum Teufel, Max? Nächstes Mal klopfen!
		10.db.1^		Я не вовремя?|Ist das ein schlechter Zeitpunkt?

	10.db.1@40@Совершенно! Я собираюсь с мамой и Алисой за покупками, а ты тут мне мешаешь...|Natürlich! Ich mache mich fertig zum einkaufen, du bist in gewisser Weise im Weg!
		10.db.2^		Интересно, как же?|Wie kommt's?

	10.db.2@41@Так, больше ни слова. Я просто переодеваюсь, а ты стоишь и смотришь в другую сторону, хорошо?|Ich werde dir das Konzept der Privatsphäre nicht erklären, Max. Nur.... Sieh wenigstens woanders hin, bitte.
		10.db.3^		Ага..|Okay

