# --- 0.7: Диалог с Кирой насчёт прогресса по маме

	07.abc.0.init@0@Ну, как с мамой спится?|Also, wie ist es, mit Mom zu schlafen?
		07.adc.14^		Может быть...|Vielleicht
		07.adc.14a^		А это важно?|Spielt das eine Rolle?

	07.adc.14a@25@Конечно, важно... Но если ты всё устроишь, то я готова закрыть глаза на некоторые вещи, но мне же любопытно!|Natürlich tut es das. Wenn du es schaffst, Mom zu überzeugen, bin ich bereit, dir etwas zu geben, aber ich bin immer noch neugierig!
		07.adc.15^		Такие мои условия...|Ich will derjenige sein, der es ihr sagt

	07.adc.14@23@Я как бы не посторонний человек в этой истории и мне кажется, что меня это тоже касается...|Ich bin keine Fremde in dieser Geschichte, und es scheint mir, dass dies auch mich betrifft ...
		07.adc.15^		Ты говорила, что сделаешь что угодно. Вот дай мне с Катей поговорить сначала!|Du sagtest, du würdest alles tun. Lass mich zuerst mit Kate reden!

	07.adc.15@33@Хорошо, хорошо. Пусть будет так. Тогда и я ей ничего пока говорить не буду. Вдруг, ты пошутил...|Gut, gut, gut. Ich werde ihr vorerst nichts sagen. Und du könntest mich sowieso belügen....
		07.adc.16^		Ничего не пошутил. Шортики снимай!|Das tue ich nicht. Höschen runter!

	07.adc.16@21@Ладно, но если окажется, что ты меня развёл, я тебе... сам знаешь что оторву, понял? А потом позову Катю и мы вместе оторвём всё остальное!|Gut, aber wenn du gelogen hast, werde ich.... Ich rufe Kate an und wir reißen dich in Stücke!
		07.adc.17^		В любом случае, снимай!|Ich weiß, wovon ich rede, zieh sie aus!

	07.adc.17@23@p-alisa-tv-mx2@Вот, сняла. Только у меня же короткая майка. Наверняка, кто-то увидит... Блин... и зачем я на это согласилась?|Hier, glücklich? Mein Oberteil ist so kurz, dass die Leute es bemerken werden.... Wie konnte ich dem zustimmen?
		07.adc.18^		Ну, уже не важно...|Es spielt keine Rolle mehr.
		07.adc.18b^		Может, и её снимешь?|Kannst du dein Oberteil bitte auch ausziehen?

	07.adc.18b@21@Ага. Может быть, ещё и отсосать тебе, Макс? Не борзей. Радуйся, что пошла на это. Но я могу и передумать...|Ja, richtig. Muss ich dir auch einen blasen? Sei glücklich mit dem, was du hast, bevor ich meine Meinung geändert habe.
		07.adc.18^		Нет, если хочешь моей помощи. Мы же договорились?|Nicht, wenn du meine Hilfe willst. Wir hatten einen deal.

	07.adc.18@24@Ты ведь заранее знал, да? И развёл меня как дурочку...|Du wusstest es schon, oder? Mom hat bereits zugestimmt und ich musste nichts für dich tun?
		07.adc.19^		Ты обещала!|Du hast es versprochen!

	07.adc.19@25@Да я не спорю. В любом случае, меня устраивает эта сделка, если Катя сможет приходить в любое время... Только не тяни, поговори с ней как можно быстрее!|Mach dir keine Sorgen. Auf jeden Fall bin ich einverstanden, wenn Kate jederzeit vorbeikommen kann. Rede so schnell wie möglich mit ihr, ich kann es kaum erwarten!
		leave!set_poss.guest_19!max_cam.4.grow_200!set_kow_4!alisanp!set_alisanp_1^			Хорошо...|Sicher



# --- 0.7: Разговор с Катей насчёт возможности ей приходить домой

	07.add.0@154@Какие новости? Тебе удалось её уболтать? Чо, правда?!|Was für Neuigkeiten? Hast du es geschafft, ihre Meinung zu ändern?
		07.add.1^		Ну, почти...|Nun, fast....
		07.add.1b^		А что мне за это будет?|Was bekomme ich dafür?

	07.add.1b@157@Значит, получилось?! Не ожидала... Ладно, так чего ты хочешь? Поиграть с нами? Можно устроить...|Also hast du es tatsächlich getan? Das habe ich nicht erwartet, ehrlich gesagt.... Wie auch immer, was willst du, mit uns spielen? Wir könnten das tun....
		07.add.4^		Только теперь буду я устанавливать правила!|Ich werde jetzt die Regeln festlegen.

	07.add.1@151@Почти? Это как? Уболтал, но не очень? А, постой... Кажется, я поняла. Ты что-то хочешь от меня взамен?|Was? Oh, ich verstehe schon. Du willst etwas für deine Arbeit, ist es das?
		07.add.2^		Ага...|Ja ja

	07.add.2@150@Рассказывай, что именно?|Also, was willst du?
		07.add.3^		Вы будете пускать меня в свои игры?|Ich will, dass du mich in deine Spiele lässt.

	07.add.3@159@А что, понравилось? Я думала, что тебя отпугнёт, что я предпочитаю доминировать... Но если нравится, можешь приходить...|Es hat dir gefallen, huh. Ich dachte, du wärst verärgert, wenn ich dominiere.... Aber wenn es dir gefällt....
		07.add.4^		Только теперь буду я устанавливать правила!|Ich werde jetzt die Regeln festlegen.

	07.add.4@151@Что?! Устанавливай что хочешь, а наши игры - наши правила!|Was!? Mach, was du willst, unsere Spiele - unsere Regeln!
		07.add.5^		Так мне убеждать свою маму или так и будете ночами...|Soll ich Mom überzeugen oder schleichst du nachts weiter?

	07.add.5@152@Ладно, что именно ты хочешь?|Gut, was genau willst du?
		07.add.6^		Я хочу доминировать в этих ваших играх!|Ich will dich in deinen Spielen dominieren!

	07.add.6@157@Чтобы какой-то парень говорил что делать, да ещё и наверняка захочешь трахнуть её или меня? Да у тебя по глазам и штанам видно, что именно этого ты и хочешь. А лучше обеих сразу, да? А вот уж нет!|Ich werde nicht zulassen, dass mir jemand sagt, was ich tun soll. Und du willst mich wahrscheinlich auch ficken.... Ich kann sehen, dass es genau das ist, was du willst. Nein!
		07.add.7^		Мы ходим по кругу...|Diese Unterhaltung führt nirgendwo hin.

	07.add.7@154@Давай компромисс. Больше не будет игр по нашим правилам, но зато ты сможешь приходить... скажем... раз в месяц и тогда мы тебя... как-то порадуем. Договорились?|Gut, lass uns einen Kompromiss eingehen. Ich werde dich nicht dominieren, aber du kannst vorbeikommen, hmm.... einmal im Monat und wir werden dich glücklich machen. Abgemacht?
		07.add.8^		Что?! Нет, хочу в любое время!|Was!? Nein, ich will jederzeit!

	07.add.8@153@Ладно, ладно... Раз в две недели. Соглашайся, отличный вариант!|Gut, gut, gut. Zweimal im Monat. Nimm den Deal an, es ist ein nettes Angebot.
		07.add.9^		Каждый день!|Jeden. Tag.
		07.add.10^		Хотя бы раз в неделю, а лучше чаще!|Mindestens zweimal pro Woche!

	07.add.9@150@Макс, если нам придётся с тобой трахаться каждый день, то это никак не похоже на интересную сделку, лично для меня...|Wenn wir jeden Tag mit dir ficken müssen, dann klingt das für mich nicht nach einem guten Geschäft.
		07.add.10^		Раз в неделю!|Einmal pro Woche dann

	07.add.10@151@Раз в неделю, но не чаще. И ты не будешь за нами подглядывать, вмешиваться и, вообще приходить. Договорились?|Einmal die Woche, aber das war's. Und du wirst nicht herumschleichen und versuchen zu gucken oder so, stör uns nicht, wenn es nicht dein Wochentag ist!
		07.add.11^		Ага! Но вы будете делать всё, что я хочу!|Deal. Aber du wirst tun, was immer ich will!

	07.add.11@157@Нет. Но будет всё иначе. Я постараюсь, чтобы тебе понравилось. Такой вариант тебя устраивает? Лучше предложения не будет. Иначе нам и так хорошо...|Nein, das werden wir nicht tun. Aber ich sorge dafür, dass es dir gefällt. Ist das akzeptabel? Dieses Angebot ist so gut, wie es nur geht, oder wir können einfach weiter herumschleichen.
		07.add.12^		Ладно, но чтобы мне нравилось!|Gut, aber du machst mich besser glücklich!

	07.add.12@159@Понравится, ещё как! Но не приходи к нам чаще, чем раз в неделю. Мир не вращается вокруг тебя и у нас свои отношения...|Keine Sorge, du wirst es lieben. Aber nur einmal in der Woche, sonst dreht sich die Welt nicht um dich.
		07.add.13^		Хорошо!|Deal

	07.add.13@151@Ну всё, тебе пора спать, а мне к Алиске. Пока болтала, поняла, как по ней соскучилась. Поки!|Okay, geh schlafen und ich gehe zu Alice, ich vermisse sie schon. Bye!
		leave!set_poss.guest_20!set_kow_5!set_katecome_1!time^			Ага, спокойной ночи!|Ja ja, gute Nacht



# --- 0.7: Разговор с Алисой у телевизора после того, как уже был ночной эвент с Катей

	07.ade.0@21@p-amax-1@Конечно, довольна. Но ты и так это знаешь, зачем спрашиваешь? Цену себе набиваешь?|Natürlich bin ich das. Warum fragst du? Versuchen, etwas anderes zu bekommen?
		07.ade.1^		Ну я подумал, вдруг ты хочешь меня отблагодарить...|Nun, ich dachte, was, wenn du mir zeigen willst, wie dankbar du bist....

	07.ade.1@22@А разве мы с Катей тебя не отблагодарили ещё? Ты же получил даже больше, чем мог мечтать!|Haben Kate und ich uns nicht schon genug bedankt? Du hast schon mehr, als du dir erhofft hast!
		random.social.1=1&07.ade.2^		Вдруг, ты ещё и лично хочешь...  [skill.social_1]|Nun, vielleicht willst du mir persönlich danken.... [skill.social_1]
		random.social.1=0&07.ade.2bad^	Вдруг, ты ещё и лично хочешь...  [skill.social_1]|Nun, vielleicht willst du mir persönlich danken.... [skill.social_1]

	07.ade.2bad@26@<color=orange><i>Убеждение не удалось!</i></color>\nЧто я хочу лично? Отблагодарить тебя?! А ты не слишком раскатал губу? И так как сыр в масле катаешься! Поумерь свои аппетиты... И вообще, не мешай мне...|<color=orange><i>Überzeugung gescheitert!</i></color>\nÜbertreib es nicht, du hast schon genug! Geh und belästige jemand anderen.
		leave!set_dcd.ah_3!lock^		Ладно, ладно...|Schön, schön

	07.ade.2@25@p-alisa-tv-mx2@<color=lime><i>Убеждение удалось!</i></color>\nКонечно, ты не заслужил такого, но... Почему бы и нет. Вдруг, ты ещё захочешь как-то нам помочь, верно?|<color=lime><i>Überzeugung erfolgreich!</i></color>\nDu verdienst es nicht wirklich, aber.... Sicher, warum nicht. Was, wenn es dich lehrt, uns öfter zu helfen, richtig?
		07.ade.3^		Верно!|Richtig...!
		07.ade.3^		Возможно...|Vielleicht...

	07.ade.3@21@p-alisa-tv-mx3@Так, руками не трогать. Трогаю только я! И не только руками... И поглядывай, чтобы никто нас не поймал. Не хочу объяснять что делает твой член у меня во рту... Снимай шорты уже!|Aber nicht anfassen! Ich werde das Anfassen übernehmen. Und nicht nur mit meinen Händen.... Und pass auf, ich will deinen Schwanz nicht in meinem Mund haben.... Zieh deine Hose aus!
		07.ade.4^		Ох! Конечно! <i>(снять шорты)</i>|Okay! <i>(Hose ausziehen)</i>

	07.ade.4@25@p-alisa-tv-mx4@Ты всегда готов, я смотрю... И как тебе удаётся жить в таком напряжении? Твоё счастье, что я могу тебе помочь с этой проблемой... Ты же хочешь, чтобы я помогла?|Und du bist bereit, wie immer.... Wie konntest du überhaupt leben, die ganze Zeit so hart zu sein? Du hast Glück, dass du eine Schwester hast, die dir bei deinem Problem hilft. Du willst doch meine Hilfe, oder?
		07.ade.5^		Ещё спрашиваешь?!|Musst du überhaupt fragen?

	07.ade.5@21@p-alisa-tv-mx5@Какой же он у тебя огромный, Макс... Такое добро пропадает... Ну ничего, старшая сестра должна же заботиться о младшем брате, верно? Не отвечай...|Er ist so groß, Max.... So viel Schwanz verschwendet.... lass es uns gut gebrauchen, ältere Schwester soll einem jüngeren Bruder helfen, richtig? Antworte nicht.
		07.ade.6^							<i>молчать</i>|<i>sei ruhig</i>
		07.ade.6!add_alisa.mood_-100^		Может быть, приступишь?|Wie wär's, wenn du schon anfängst?

	07.ade.6@4@p-alisa-tv-mx6@<i>Ох... да, заботиться у неё получается особенно хорошо... И чего она в этой Катьке нашла, когда такой мужик под боком? Похоже, она тоже начинает так думать...</i>|<i>Oh, ja.... Sie ist eine unglaubliche Fürsorgerin.... Warum hat sie Kate überhaupt noch nötig, bei einem solchen Schwanz direkt neben ihr? Ich frage mich, ob sie auch so denkt....</i>
		07.ade.7^		<i>далее</i>|<i>fortfahren</i>

	07.ade.7@3@p-alisa-tv-mx7@<i>Вот бы её сейчас трахнуть во все дыры... Она же в одной майке, ни трусов, ни шортиков... Но вроде как нельзя... или можно? Я не могу больше сдерживаться!</i>|<i>Ich will sie in jedes Loch ficken.... Sie trägt nur ihr Oberteil, keine Shorts, kein Höschen.... Aber ich soll nicht.... Oder bin ich das? Oh, ich kann sowieso nicht mehr warten.</i>
		07.ade.8^		<i>кончить Алисе в ротик</i>|<i>spritz in Alice's Mund!</i>

	07.ade.8@21@p-alisa-tv-mx8@Понравилось? Если будем дружить, ещё и не такое светит... А если будешь меня доставать, то больше ничего не получишь, понял?|Hat es dir gefallen? Du kannst noch mehr bekommen, wenn du gut bist.... Und wenn du mich belästigst, bekommst du nichts, verstanden?
		07.ade.9^		Понял!|Ich hab's!
		07.ade.9b^		Может и я могу что-то для тебя сделать?|Vielleicht könnte ich auch etwas für dich tun?

	07.ade.9b@25@Ход твоих мыслей мне нравится... Может быть, но в другой раз...|Ich mag deine Denkweise, aber vielleicht ein anderes Mal.
		07.ade.9^		Как скажешь, а то я могу...|Nun, das Angebot steht..., falls du deine Meinung änderst.

	07.ade.9@21@Ну всё, натягивай шорты, а мне умыться надо... И съешь лимон, у тебя такая довольная рожа, что смотреть на тебя не могу...|Okay, zieh deine Shorts hoch, ich gehe mir das Gesicht waschen.... Und mach etwas mit deinem Gesicht, dein aktueller Gesichtsausdruck bettelt darum, in die Eier getreten zu werden....
		leave!max_cam.4.grow_300!set_dcd.ah_11!time^		Ага...|Ja ja



# --- 0.7: Макс подходит к двери в комнату Алисы. Она с Катей

	07.aea.0@121@<i>Похоже, в комнате Алиса с Катей... Заглянуть к ним или не стоит?</i>|<i>Sieht aus, als wäre Alice bei Kate. Soll ich reingehen?</i>
		spun.alisa=0&kow=5&07.aea.1^					<i>откры?ь дверь</i>|<i>Tür öffnen</i>
		spun.alisa=0&dcd.glz>0&07.aeb.0^				<i>открыть дверь</i>|<i>Tür öffnen</i>
		spun.alisa=0&dcd.glz=0&kow=6&07.aec.0^			<i>открыть дверь</i>|<i>Tür öffnen</i>
		spun.alisa=0&dcd.glz=0&kow=7&07.aed.0^			<i>открыть дверь</i>|<i>Tür öffnen</i>
		spun.alisa=1&apkpun<3&08.ec.0^					<i>открыть дверь</i>|<i>Tür öffnen</i>
		spun.alisa=1&apkpun>2&08.ed.0^					<i>открыть дверь</i>|<i>Tür öffnen</i>
		leave!lock^						<i>уйти</i>|<i>verlassen</i>



# --- 0.7: Макс подходит к двери в комнату Алисы. Катя ждёт, пока Алиса примет ванну

	07.akk.0@121@<i>Похоже, в комнате Катя. Видимо, ждёт, пока Алиса примет ванну. Интересно, почему они не вместе? Стесняются кого-то? Или Катя просто не в настроении? В любом случае, входить не буду...</i>|<i>Ich glaube, Kate ist im Zimmer. Wahrscheinlich wartet sie auf Alice, während sie duscht. Ich frage mich, warum sie nicht zusammen duschen? Sie wollen nicht zu offen sein? Kate ist nicht in der Stimmung? Auf jeden Fall will ich sie nicht stören.</i>
		leave!lock^			<i>уйти</i>|<i>verlassen</i>



# --- 0.7: Макс подходит к двери в комнату Алисы. Они спят с Катей

	07.akl.0@121@<i>Похоже, в комнате Алиса с Катей... Заглянуть к ним или не стоит?</i>|<i>Sieht aus, als wäre Alice bei Kate. Soll ich reingehen?</i>
		alisa.ksleep.v2^			<i>заглянуть с балкона</i>|<i>vom Balkon aus gucken</i>
		leave!lock^					<i>уйти</i>|<i>verlassen</i>



# --- 0.7: Первый визит к девчонкам

	07.aea.1@151@p-ak-3@Макс? Кажется, ты забыл постучаться... Ладно, заходи...|Max? Ich glaube, du hast vergessen anzuklopfen.... Nun, dann komm doch rein.
		07.aea.2^		Чем занимаетесь?|Was machst du da?

	07.aea.2@20@p-ak-2@Да вот, сериалы смотрим... А ты чего хотел?|Ich schaue fern. Willst du irgendwas?
		07.aea.3^		Ну как, кое-что...|Irgendwas...

	07.aea.3@150@p-ak-4@Может, в другой раз? Мы как бы ещё не обсудили с Алисой кое-что...|Vielleicht ein anderes Mal? Alice und ich haben noch nichts besprochen.
		07.aea.4^		Может быть, сейчас и обсудите?|Warum diskutierst du es nicht gleich jetzt?

	07.aea.4@23@p-ak-5@Кать, я не поняла... Он тебя чем-то шантажирует? Если так, то я быстро с ним разберусь!|Was geht hier vor? Kate, erpresst er dich? Ich kann dir helfen, ihn loszuwerden, kein Problem!
		07.aea.5^		Кхм...|Hm...

	07.aea.5@157@Нет, Алисик, всё в порядке. Просто, я думаю, что мы можем Макса немного отблагодарить за то, что он подсуетился и всё организовал. Это же чего-то да стоит, правда?|Nein, Alice, alles in Ordnung. Ich denke nur, wir sollten Max anständig für seine Hilfe bei deiner Mom danken. Diese ganze Arbeit ist etwas Dankbarkeit wert, nicht wahr?
		07.aea.6^		О да...|Oh, jaaaa...

	07.aea.6@23@Ну если так... и если ты сама этого хочешь... То я не против. Главное, чтобы тебе, Катюш, нравилось...|Wenn du das glaubst.... Es macht mir auch nichts aus. Das Wichtigste ist, das du es auch genießt, Kate.
		07.aea.7^		<i>сесть между ними</i>|<i>zwischen Sie setzen</i>

	07.aea.7@22@p-ak-6@Ну и что мы будем с ним делать? Кать, что предложишь?|Also, was machen wir mit ihm? Irgendwelche Vorschläge, Kate?
		07.aea.8^		<i>далее</i>|<i>fortfahren</i>

	07.aea.8@151@Думаю, что мы можем устроить Максу шоу. Такое, чтобы ему запомнилось... Макс, снимай шорты...|Wie wäre es, wenn wir ihm eine Show geben? Etwas zum Erinnern.... Zieh deine Hose aus, Max.
		07.aea.9^		Ого... <i>(снять шорты)</i>|Wow... <i>(Hose ausziehen)</i>

	07.aea.9@152@p-ak-11@Ну вот... Кажется, Макс готов... Алиска, сними с себя что-нибудь и займись своим братишкой... Хочу на это посмотреть... Ты же знаешь, как меня это возбуждает...|Da.... Sieht so aus, als ob Max das genießt.... Zieh dich aus und arbeite an deinem Bruder, Alice. Ich will auch zusehen.... Du hast keine Ahnung, wie sehr mich das anmacht....
		07.aea.10^		Ух!|Wow!

	07.aea.10@24@p-ak-7@И что ты хочешь, чтобы я с ним сделала, Катюша? Насколько сильно мы хотим Макса... отблагодарить, так сказать?|Was soll ich mit ihm machen? Wie dankbar sind wir, Kate?
		07.aea.11^		<i>далее</i>|<i>fortfahren</i>

	07.aea.11@152@Думаю, Макс может получить ротик своей сестрёнки и даже помочь моей киске... Макс, давай сюда свою руку... Алисик, а ты займи более удобное место...|Ich denke, Max kann den Mund seiner Schwester bekommen und sogar meiner Muschi helfen.... Gib mir deine Hand, Max. Nimm eine bessere Position ein, Alice.
		07.aea.12^		<i>далее</i>|<i>fortfahren</i>

	07.aea.12@4@p-ak-8@<i>Вот это я удачно зашёл!!! Такие аппетитные девчонки поставили цель доставить мне удовольстие и без всяких связываний! Кажется, я в раю!</i>|<i>Ich mag Dankbarkeit! Zwei schöne Frauen versuchen ihr Bestes, und es gibt keine Seile! Ich bin im Himmel!</i>
		07.aea.13^		<i>далее</i>|<i>fortfahren</i>

	07.aea.13@157@p-ak-9@Ну что, Макс, ты доволен? Если не будешь слишком часто появляться нам на глаза, то шоу может повториться... А может быть, будет и продолжение...|Zufrieden, Max? Wenn du uns nicht zu oft störst, können wir es einige Male wiederholen.... Und vielleicht gibt es noch mehr....
		07.aea.14^		<i>кончить Алис? в ротик</i>|<i>spritz in Alice's Mund!</i>

	07.aea.14@151@p-ak-10@Уж не знаю, что ты там напридумывал себе Макс, но тебя это явно заводит... Ну что, мы договорились? Ты не надоедаешь и мы делаем так, чтобы тебе тоже было хорошо...|Ich weiß nicht, was du dir vorgestellt hast, Max, aber es macht dich definitiv an. Haben wir einen Deal? Du belästigst uns nicht zu sehr und alle sind glücklich....
		07.aea.15^		Д-договорились...|Deal

	07.aea.15@152@Ну всё, тогда на сегодня мы закончили... Теперь пришло время развлекаться девочкам...|Okay, dann sind wir fertig für heute, jetzt sind wir dran, etwas Spaß zu haben.
		leave!set_poss.guest_21!max_cam.1.grow_250!set_kow_6!set_dcd.glz_7!time!lock_sisroom_5^			Ага...|Ja ja



# --- 0.7: Визит к девчонкам раньше положенного времени

	07.aeb.0@151@p-ak-1@Макс? Во-первых, ты забыл постучаться... А во-вторых, мы заняты. Чего хотел?|Max? Erstens, du hast nicht geklopft und zweitens, wir sind beschäftigt. Was willst du denn?
		07.aeb.1^		Ну это, потусить с вами...|Um mit den anderen rumzuhängen....

	07.aeb.1@22@Макс, тебе Катя сказала, что мы заняты. Какое слово ты не понял?|Kate hat dir gerade gesagt, dass wir beschäftigt sind, Max. Welchen Teil kannst du nicht verstehen?
		07.aeb.2^		Да всё я понял, так бы сразу и сказали...|Ich verstehe, du hättest es einfach sagen können....

	07.aeb.2@152@Ну так мы тебе сразу и сказали. Всё, не мешай нам...|Das haben wir gesagt. Lasst uns allein.
		leave!lock_sisroom_3^			Ладно...|Schön...



# --- 0.7: Второй визит к девчонкам

	07.aec.0@151@p-ak-3@А, Макс... Как всегда, без стука... Чего-то хотел или просто?|Hey, Max.... Kein Klopfen, wie immer.... Willst du Irgendwas?
		07.aec.1^		Просто...|Ich habe nur....

	07.aec.1@152@p-ak-2@Ну заходи, раз просто... А мы тут с Алисой как раз про тебя говорили...|Nun, dann komm rein. Alice und ich haben gerade über deine....
		07.aec.2^		Ого. И что именно?|Oh. Und worüber habt ihr gesprochen?

	07.aec.2@157@p-ak-4@Кажется, Алиса немного ревнует к тебе...|Ich glaube, Alice ist eifersüchtig auf dich und mich....
		07.aec.3^		Что? У нас же ничего не было!|Was? Aber wir haben nichts getan!

	07.aec.3@22@p-ak-5@И ничего я не ревную. К тому же, тебя парни не интересуют...|Ich bin nicht eifersüchtig. Vor allem, da du dich nicht für Kerle interessierst.
		07.aec.4^		Вот, раз даже парни не интересуют. А я то - парень!|Ja, und da ich ein Kerl bin....
		07.aec.4b^		Мне кажется, Катя тебя разводит...|Ich glaube, Kate nimmt dich auf den Arm.

	07.aec.4b@153@p-ak-6@Никого я не развожу. Наоборот, пытаюсь объяснить, что меня интересовали не только девушки...|Bin ich nicht. Im Gegenteil, ich versuche zu erklären, dass ich mich nicht ausschließlich für Mädchen interessiere.
		07.aec.5^		Девушки? И много их было?|Mädchen wie im Plural? Wie viele waren es?

	07.aec.4@151@В этом я не сомневаюсь... Но я пытаюсь объяснить Алисе, что я не всегда девушками интересовалась...|Daran besteht kein Zweifel, aber ich wollte Alice sagen, dass ich nicht nur auf Mädchen stehe.
		07.aec.5^		Девушками? И много их было?|Mädchen wie im Plural? Wie viele waren es?

	07.aec.5@150@Ни одной. До Алисы. Но она и так всё это знает... Но с парнями я тоже трахалась, но давно...|Niemand außer Alice, und das weiß sie bereits.... Aber ich war auch mit Jungs zusammen, vor langer Zeit.
		07.aec.6^		И сколько тебе тогда было?|Wie alt warst du?
		07.aec.6^		Насколько давно?|Wie lange?

	07.aec.6@151@А вот это, Макс, я расскажу только Алисе... Позже... А то она, кажется, узнала меня с новой стороны...|Das ist nur etwas für Alices Ohren. Sieht aus, als würde sie mich im neuen Licht sehen.
		07.aec.7^		А что, хорошая сторона...|Ich mag dieses neue Du
		07.aec.7^		Да я сам в шоке...|Ich bin auch schockiert.

	07.aec.7@22@Что-то я сомневаюсь, что ты всегда была нормальной, а и из-за меня и только из-за меня стала лесбиянкой. Мне кажется, ты всегда такой была, сколько тебя знаю...|Ich glaube nicht, dass du dich nur wegen mir verändert hast. Ich glaube, du warst lesbisch, solange ich dich kenne.
		07.aec.8^		Кать, мне кажется, тебе придётся доказать свои слова...|Ich denke, du musst deine Worte beweisen, Kate.

	07.aec.8@157@Да легко! К тому же, ты тоже не просто так зашёл, верно? Снимай шорты...|Einfach! Außerdem bist du aus einem bestimmten Grund hergekommen, oder? Zieh deine Hose aus.
		07.aec.9^		Ага... <i>(снять шорты)</i>|Sicher... <i>(Hose ausziehen)</i>

	07.aec.9@24@p-ak-12@Кать, ты чего задумала? Я тебе верю, уже убедила... Ты же не собираешься с Максом, да ещё у меня на глазах? Или собираешься?|Was hast du vor, Kate? Ich glaube dir, du hast mich überzeugt.... Du wirst nicht mit Max ficken, besonders nicht vor mir? Hörst du?
		07.aec.10^		Надеюсь, собирается...|Ich hoffe, das tut sie.

	07.aec.10@151@А ты, Макс, помолчи. У нас тут своеобразное выяснение отношений...|Ruhe, Max. Das geht nur Alice und mich was an.
		07.aec.11^		Угу...|Hm...

	07.aec.11@21@p-ak-13@Мне начинает нравиться эта игра. Но я до сих пор думаю, что ты просто дразнишь и меня и Макса... Только не думай, что я тебя на «слабо» беру...|Fange nicht an, dieses Spiel zu mögen. Aber ich denke immer noch, dass du mich und Max nur ärgerst... Denk blos nicht, dass ich "schwach" werde...
		07.aec.12^		<i>далее</i>|<i>fortfahren</i>

	07.aec.12@152@p-ak-14@А если... вот так... Я тебя убедила?|Wie wär's damit.... Ist das überzeugend genug?
		07.aec.13^		Ух...|Oh...

	07.aec.13@22@Ну не знаю... Я пока не впечатлена... Сесть на член ещё ничего не значит...|Ich weiß nicht.... Nicht wirklich, nein. Auf seinem Schwanz zu sitzen beweist gar nichts.
		07.aec.14^		<i>далее</i>|<i>fortfahren</i>

	07.aec.14@4@p-ak-15@<i>Уж не знаю в какую игру они играют, но она мне определённо очень нравится! Хотя меня и используют, но используют по назначению!</i>|<i>Ich weiß nicht, welches Spiel sie spielen, aber ich mag meine Rolle darin! Selbst wenn ich benutzt werde, werde ich richtig benutzt!</i>
		07.aec.15^		<i>далее</i>|<i>fortfahren</i>

	07.aec.15@25@p-ak-14@Мне кажется, ты как-то не очень быстро двигаешься. Тебя не должен пугать член моего брата. Помнишь же ту игрушку, которую мы нашли в шкафу твоей мамы? Ты и её тогда засунула, а тут всего лишь Макс...|Ich glaube nicht, dass du dich schnell genug bewegst. Erinnerst du dich an das Spielzeug, das wir im Schrank deiner Mom gefunden haben? Du hast es geschafft, das Ding reinzustecken...., das ist nur Max....
		07.aec.16^		Всего лишь?!|"NUR" Max!?

	07.aec.16@3@p-ak-15@<i>Хотя, мне плевать на эти их приколы... Главное, что такая девчонка сидит на моём члене! Да не просто сидит, а прыгает, стараясь убедить Алису в чём-то... Ох... очень старается...</i>|<i>Mir ist egal, was sie tun, wichtig ist, dass ein schönes Mädchen auf meinem Schwanz sitzt! Und sie versucht wirklich, Alice bei etwas zu überzeugen....</i>
		07.aec.17^		<i>кончить внутрь</i>|<i>spritze hinein</i>

	07.aec.17@151@p-ak-16@Ну как, это тебя убедило?|Bist du jetzt überzeugt?
		07.aec.18^		Меня точно!|Ich bin!
		07.aec.18^		Однозначно!|Definitiv!

	07.aec.18@21@Напомни, Кать, а в чём ты меня всё это время убеждала? Что ты умеешь и любишь трахаться? Так я это с самого начала знала... Или то, что у тебя были парни? Я и так догадывалась, просто... хотела посмотреть на тебя со стороны...|Erinnere mich daran, Kate, warum hast du versucht, mich zu überzeugen? Dass du gerne fickst? Das ist keine Überraschung. Oder die Tatsache, dass du Typen in der Vergangenheit hattest? Das habe ich vermutet, ich wollte nur.... einmal von der Seite zusehen....
		07.aec.19^		<i>далее</i>|<i>fortfahren</i>

	07.aec.19@154@Значит, разводила?! Ну всё, Алиска, за это мне придётся тебя наказать! Макс, а ты дуй отсюда. У девчонок сейчас будут разборки... Кое-кто хочет слизать сперму своего братика, правда, Алиса?|So <i>DU</i> warst also derjenige, die mich auf den Arm genommen hat? Dafür muss ich dich bestrafen! Geh, Max, wir werden uns unterhalten.... Jemand wird das Sperma seines Bruders aus mir lecken, richtig, Alice?
		leave!set_poss.guest_22!max_cam.1.grow_250!set_kow_7!set_dcd.glz_7!time!lock_sisroom_5^			Ого... Ухожу...|Okay, Ich verschwinde



# --- 0.7: Периодический визит к девчонкам

	07.aed.0@151@p-ak-2@О, а вот и Макс... Недавно тебя вспоминали... Пришёл по делу или... по делу?|Und hier ist Max. Wir haben gerade von dir gesprochen. Also, Vergnügen oder.... Vergnügen?
		adom=0&07.aed.1!max_poss.guest_23^		Ну да...|Ja
		adom>0&11.cc.0^							Ну да...|Ja

	07.aed.1@152@p-ak-4@Тогда проходи. Мы тут с Алиской решили, что ты иногда вносишь разнообразие в наши отношения...|Dann komm rein. Alice und ich haben beschlossen, dass wir unsere Beziehung abwechslungsreicher gestalten sollten.
