# --- 0.5: Диалог с мамой Кати через ноутбук|Gespräch mit Kates Mutter auf dem Laptop

		05.oli1.19^		Ясно...|Ich verstehe

	05.oli1.19@41@Кстати, может быть вам устроить экскурсию по дому? Ты Оливия уже была у нас, а вот Алексу я могу показать... дом. Пойдём?|Wie wär's mit einem Rundgang durchs Haus? Du warst schon hier, Olivia, aber ich sollte dir das... Haus zeigen, Alex. Wenn du willst.
		05.oli1.20^		<i>далее</i>|<i>fortfahren</i>

	05.oli1.20@147@m-op-16@Похоже, Лиза запала на Алекса... Да и он как-то слишком предсказуем...|Sieht so aus, als ob Lisa Alex mag.... Und er ist ziemlich berechenbar....
		05.oli1.21^		Тебя это беспокоит?|Beunruhigt es dich?

	05.oli1.21@143@Ну ты знаешь, у меня есть утешительный приз... Ты сам то не против, что мы тут припёрлись ночью, да ещё я с каким-то парнем...|Nun, ich habe einen Trostpreis.... Es macht dir nichts aus, wenn ich so spät komme, besonders mit meinem Freund....?
		05.oli1.22^		Со своим парнем...|Mit deinem Freund....?

	05.oli1.22@147@Угу. Типа того... Если бы я не знала Лизу, то подумала бы, что попытка подружиться со мной, это приглашение с Алексом, всё это было с целью как раз к нему подкатить...|Ja. Wenn ich Lisa nicht kennen würde, würde ich denken, sie wäre nur mit mir befreundet, um an Alex ranzukommen....
		05.oli1.23^		Но?|Aber?

	05.oli1.23@142@Но она не умеет такие сложные комбинации строить. Она классная, но девчонка простая. Видимо, это у меня свои загоны...|Aber sie kann sich das nicht ausgedacht haben. Sie ist ein nettes Mädchen, aber sie ist irgendwie einfach.
		05.oli1.24^		Тебе нравится Алекс?|Magst du Alex?

	05.oli1.24@141@Думаю, я должна сказать да. Но ты вроде сообразительный парень... Заметил, что он несколько простоват и... падок на всякое красивое и дорогое. Причём, дорогое предпочтительнее...|Ich denke, ich sollte ja sagen, aber du siehst aus, als hättest du es schon herausgefunden.... Er ist irgendwie einfach und.... wie hübsche und teure Dinge. Besonders teuer.
		05.oli1.25^		Тогда почему ты с ним?|Warum bist du dann bei ihm?

	05.oli1.25@142@Отличный вопрос, Макс! Но всё сложно. Сначала повелась на его мышцы. Он же в качалку ходит как по часам. Думала, он везде такой... накачанный...|Das ist eine tolle Frage, Max. Es ist kompliziert. Zuerst mochte ich seine Muskeln. Er geht regelmäßig ins Fitnessstudio. Ich dachte, er wäre.... überall.... muskulös.
		05.oli1.26^		Понятно...|Ich verstehe

	05.oli1.26@142@Хорошо, когда кому-то всё понятно... А мне вот не очень... Кстати, ты первый парень, который не таращится на мои сиськи или задницу. Я перед тобой стою голая, а мы болтаем как старые друзья...|Gut, dass du das verstehst.... Weil ich nicht, nicht wirklich.... Übrigens, du bist der Erste, der nicht auf meine Titten oder meinen Arsch starrt. Ich stehe nackt vor dir, aber wir reden nur wie alte Freunde.
		05.oli1.27^		Это хорошо или плохо?|Ist das gut oder schlecht?

	05.oli1.27@142@Это очень хорошо, Макс. В первую нашу встречу ты ничем не отличался от других парней, ну... кроме как своим выдающимся... ну ты понял, а сейчас я вижу в тебе интересного человека. Приятный бонус...|Das ist sehr gut, Max. Du warst genau wie alle anderen, als wir uns das erste Mal trafen.... naja, außer deiner.... hervorragenden Seite. Und jetzt kann ich eine interessante Person darin sehen. Das ist ein netter Bonus.
		05.oli1.28^		К утешительному призу?|Zum Trostpreis?

	05.oli1.28@147@Ага. О, кажется экскурсия заканчивается, сладкая парочка возвращается...|Ja. Sieht aus, als wäre die Tour vorbei und sie kommen zurück.
		05.oli1.29^		Угу...|Ja

	05.oli1.29@134@m-op-6@Да... Дом что надо... Внутри всё тоже так хорошо, красиво... И вид отличный с балкона. Если бы у меня был такой дом, я бы никуда отсюда не выходил!|Wow.... Das ist so ein schönes Haus.... Genauso beeindruckend ist es innen.... Und der Blick vom Balkon.... Wenn ich in einem Haus wie diesem leben würde, würde ich das Haus nie verlassen!
		05.oli1.30^		Кто-то меня понимает...|Jemand versteht mich....

	05.oli1.30@140@Ну всё, Макс, нам с Алексом пора... Лиза, куда мы наши вещи бросили?|Nun, Max, ich denke, Alex und ich sollten gehen.... Wo hast du unsere Sachen hingetan, Lisa?
		05.oli1.31^		Так оставайтесь на ночь!|Übernachte bei uns!

	05.oli1.31@142@Ой, нет, Макс, может быть в другой раз... Мы не планировали...|Nein, Max. Ein anderes Mal vielleicht.
		05.oli1.32^		Ладно...|Okay

	05.oli1.32@137@m-op-4@Жаль, я бы остался... В вашей комнате две кровати, мы бы там все поместились... А утром, до того как все проснутся, мы бы срулили домой...|Schade, ich würde gerne bleiben. Euer Zimmer hat zwei Betten, uns würde es gut gehen.... Und dann könnten wir früh am Morgen aufbrechen, bevor alle aufwachen.
		05.oli1.33^		Ну так в чём проблема?|Was ist dann das Problem?

	05.oli1.33@135@Надо уломать Оливию. О, кстати, если у тебя есть что выпить, может быть и получится...|Ich muss Olivia überzeugen. Übrigens, wenn du etwas zu trinken hast, dann macht es die Sache vielleicht einfacher....
		05.oli1.34^		Сок, вода, кола, кофе?|Saft, Wasser, Cola, Kaffee....

	05.oli1.34@134@Шутишь? Не, что-то покрепче. Я предпочитаю коньяк ну или вискарь, что-то такое. Можно текилу или водку, но водку Оливия не очень...|Du machst Witze, oder? Ich meinte etwas Stärkeres. Ich bevorzuge Brandy oder Whiskey. Vielleicht Tequila oder Wodka, aber Olivia mag keinen Wodka.
		05.oli1.35^		Предлагаешь всех споить?|Du schlägst vor, alle betrunken zu machen?

	05.oli1.35@135@А чо, весело же! Мы с друзьями бывает так нажрёмся, что потом пару дней из памяти того...|Warum nicht, sollte Spaß machen! Manchmal war ich so betrunken mit meinen Freunden, dass wir uns nicht mehr an ganze Tage erinnern können....
		05.oli1.36^		Ясно... Мне что-то купить?|Ich verstehe... Soll ich etwas kaufen?

	05.oli1.36@137@Не, я с собой принесу, чтобы не с пустыми руками... Тогда я уболтаю Оливию остаться. Ну как, хорошую многоходовочку я замутил? Только это секрет. Не пались!|Nein, ich hole etwas, damit wir nicht mit leeren Händen kommen. Dann werde ich Olivia überzeugen zu bleiben. Also, gefällt dir mein Plan? Das ist aber ein Geheimnis!
		05.oli1.37^		Да, ты прямо мегамозг!|Du bist ein natürliches Superhirn!

	05.oli1.37@134@О, да, Оливия постоянно что-то такое про мозг говорит... Ладно, пора одеваться, девчонки уже возвращаются...|Ja, Olivia sagt das auch immer wieder.... Wie auch immer, ich sollte mich anziehen, die Mädchen kommen zurück.
		05.oli1.38^		Ага...|Ja

	05.oli1.38@135@m-op-2@Ну, спасибо за приглашение. всё было супер. Если ещё позовёте, то может быть, ещё придём...|Nun, danke für die Einladung, alles war toll. Wir kommen wieder, wenn du uns anrufst.
		05.oli1.39^		Обязательно позовём!|Wir rufen dich auf jeden Fall an!

	05.oli1.39@134@Макс, а я всё организую, как договорились, так что, не парься...|Ich werde alles tun, Max, keine Sorge.
		05.oli1.40^		Э... ну да...|Oh... -kay...

	05.oli1.40@147@Алекс, что ты там организуешь? О чём Макс не должен париться? Ладно, пойдём, по дороге всё расскажешь... Ну всё, пока, Лиза, Макс!|Was hast du vor, Alex? Warum sollte Max nicht schwitzen?\nEh, du wirst es mir auf dem Weg sagen. Tschüss, Lisa, Max!
		leave!set_poss.swap_47!set_dcd.oli_5!max_cam.6.grow_200!sleep^			Пока!|Bye!



# --- 0.5: Макс разговаривает с Лизой насчёт ночного визита Оливии с Алексом, пока мама дома|Gespräch mit Lisa über den Besuch von Olivia + Alex während Mom zu Hause ist.

	05.mhlao.0.init@0@Что насчёт Оливии?|Was ist mit Olivia?
	05.mhlao.0@46@Макс, ты же знаешь, что у нас дома теперь всё время мама, даже ночью...|Max, du weißt, dass Mom nachts immer zu Hause ist....
		05.mhlao.1^		Ну да...|Ja....

	05.mhlao.1@41@И тебе не кажется, что это проблема?|Und du denkst nicht, dass das ein Problem ist?
		05.mhlao.2^		Думаешь, она будет против?|Denkst du, es macht ihr was aus?

	05.mhlao.2@46@Ну я не знаю, но мне кажется, что она может выйти в любой момент и всё испортить, если ты понимаешь...|Ich weiß nicht, aber ich glaube, sie kann jederzeit rüberkommen und die Atmosphäre ruinieren, wenn du weißt, was ich meine....
		05.mhlao.3^		И что ты предлагаешь?|Hast du irgendwelche Ideen?

	05.mhlao.3@40@Поговори с ней. Если она будет не против, то попробуем позвать, но я что-то сомневаюсь...|Vielleicht könntest du mit ihr reden? Wenn es ihr nichts ausmacht, könnten wir sie vielleicht einladen....
		05.mhlao.4^		Ладно, попробую...|Okay, ich versuche es.

	05.mhlao.4@41@Спасибо, Макс!|Danke, Max!
		leave!set_momoli_1^			Да не ?а что...|Gern geschehen



# --- 0.5: Макс убалтывает маму, что ночной визит с друзьями это хорошо. (если мама больше не ходит к Эрику ночевать)|Gespräch mit Ann über Olivia & Alex

	05.momtaboutp.0.init@0@Мам, я хотел предупредить насчёт гостей...|Mom, ich wollte darüber reden, ein paar Leute zu Besuch zu haben.
	05.momtaboutp.0@60@Гостей? Каких? Когда? О чём речь?|Was für Leute? Wann?
		05.momtaboutp.1^		Ну мы с Лизой хотели позвать Алекса и Оливию...|Lisa und ich wollen Olivia und Alex einladen.

	05.momtaboutp.1@67@Отлично. Скажи когда, я накрою стол. А что они любят? На что аллергия?|Großartig. Sag mir, wann und ich koche etwas. Was mögen sie? Haben die irgendwelche Allergien?
		05.momtaboutp.2^		Нет, не в этом смысле. Ночью, купаться в бассейне...|Nein, das meinte ich nicht. Sie kommen nachts, um im Pool zu schwimmen.

	05.momtaboutp.2@62@Что? Ночью в гости? А их родители что скажут? И кто за вами будет присматривать? Да ещё Оливия с её любовью купаться голой... Не знаю что из этого получится...|Nachts? Was werden ihre Eltern sagen? Und wer wird nach dir sehen? Zumal Olivia gerne nackt schwimmt.... Ich bin mir nicht sicher, ob das eine gute Idee ist.
		05.momtaboutp.3^		Да мы взрослые уже!|Wir sind keine kleinen Kinder mehr!

	05.momtaboutp.3@60@Ага, взрослые. Для меня вы всегда останетесь детьми, а тут ещё ответственность брать за них. Придётся всю ночь не спать, караулить, как бы чего не произошло...|Das ist es, wovor ich Angst habe, wer weiß, was du tun wirst. Ich muss wach bleiben und dich im Auge behalten....
		05.momtaboutp.4^		Ой, этого не надо...|Nein, bitte tu das nicht....

	05.momtaboutp.4@62@Ну, тогда я вынуждена отказать. Если днём под присмотром, то без проблем, но ночью... нет.|Dann muss ich leider nein sagen. Ich will nicht, dass du nachts Gäste hast.
		leave!set_momoli_2^					Ясно...|Ich verstehe



# --- 0.5: Макс объясняет Лизе, что облом|Max sagt, dass Mom gegen die Gäste ist.

	05.mxl1.0.init@0@Я поговорил с мамой...|Ich habe mit Mom gesprochen....
	05.mxl1.0@40@И что, она согласилась?|Also, was hat sie gesagt?
		05.mxl1.1^		Нет...|Sie sagte nein

	05.mxl1.1@46@Блин. Ну это отстой. Мне показалось, что у нас с Алексом всё налаживается и вот такие новости... Что же делать... Может ей найти кого-то, к кому бы она ходила ночевать?|Scheiße. Das ist scheiße. Und Alex und ich fingen gerade an, uns zu verstehen.... Was könnten wir tun.... Vielleicht können wir jemanden finden, damit sie wieder über Nacht verschwindet?
		05.mxl1.2^		Второго Эрика нам не надо!|Wir brauchen keinen weiteren Eric!

	05.mxl1.2@40@Ну да, она так быстро не оправится... Ну у меня идей нет, Макс. Хоть снотворным её напоить... и Алису тоже, а то ведь обязательно вмешается, если увидит...|Ja, sie ist wahrscheinlich sowieso von ihrer früheren Beziehung verbrannt.... Ich weiß nicht, was ich tun soll, Max. Ohne die Schlaftabletten in ihrem Essen zu mischen.... Und bei Alice auch, damit sie uns nicht verpfeift....
		05.mxl1.3^		Снотворным?|Schlaftabletten?

	05.mxl1.3@41@Ну а почему бы и нет? Ты достань немного, а я перед ужином подмешаю, будут крепко спать до утра...|Warum nicht? Du könntest welche besorgen, und ich würde sie mit dem Essen mischen, sie werden die Nacht durchschlafen....
		05.mxl1.4^		А ты коварна!|Du bist eine gefährliche Person, Lisa....

	05.mxl1.4@48@Я такое в кино видела, вроде неплохо действует. Правда, если мама узнает, что мы её напоили, а потом позвали гостей ночью, она меня прибьёт... И тебя тоже...|Ich habe es in einem Film gesehen, es sollte gut funktionieren. Wenn Mom herausfindet, dass wir sie betäubt und Gäste über Nacht eingeladen haben, bringt sie uns um....
		05.mxl1.5^		Тогда ей не говори просто... Я точно не скажу.|Dann sollten wir ihr nichts sagen.

	05.mxl1.5@41@Ну, тогда достань снотворное, а я уже всё сама сделаю.|Okay, gib mir ein paar Schlaftabletten und ich mache den Rest.
		leave!set_momoli_3^			Договорились!|Deal



# --- 0.5: Макс достал снотворное|Pillen für Lisa geben

	05.mxl2.0.init@0@Я достал снотворное...|Ich habe Schlaftabletten.
	05.mxl2.0@41@О, супер! Давай сюда... Хм. Тут маленькая баночка. В отдельную тарелку я не смогу подсыпать, придётся во всю кастрюлю... Так что, уйдёт всё, зато точно подействует. Только много не ешь за ужином, а то сам всё пропустишь...|Großartig! Diese Flasche ist aber ziemlich klein. Und ich werde es nicht in einem Teller mischen können, also muss ich es in eine Pfanne geben.... Was bedeutet, dass ich die ganze Flasche benutzen werde, aber es wird definitiv funktionieren. Iss nur nicht zu viel beim Essen, sonst schläfst du die ganze Sache durch.
		leave!set_item.sleeping_-4!set_momsleep_1^			Ага, я всё понял...|Okay



# --- 0.5: Второй визит Оливии и Алекса|2. Besuch von Olivia + Alex

	05.oli2.0@143@m-op-0@Привет, Макс. Вот мы и пришли к вам снова... Как домашние? Никому не помешаем?|Hi, Max. Da sind wir wieder. Sind wir allein? Wir stören niemanden, oder?
		05.oli2.1^		Нет, всё в порядке...|Nein, es ist in Ordnung.

	05.oli2.1@135@m-op-1@А я кое-что принёс, там в пакете у двери оставил... Как и договаривались...|Ich habe etwas mitgebracht. Ich habe es bei der Tür gelassen, wie vereinbart.
		05.oli2.2^		Угу...|Okay

	05.oli2.2@41@Ты о чём, Алекс? Я так и не поняла о чём вы там шептались в прошлый раз...|Wovon redest du, Alex? Ich weiß immer noch nicht, wovon du letztes Mal gesprochen hast.
		05.oli2.3^		Это же секрет...|Es ist ein Geheimnis.

	05.oli2.3@147@m-op-2@Да никакой это не секрет, Алекс сразу всё разболтал, когда мы в прошлый раз от вас возвращались. Он решил нас споить, Лиза, представляешь?|Nein, ist es nicht, Alex hat auf dem Weg nach Hause alles verraten. Er hat beschlossen, uns betrunken zu machen, kannst du dir das vorstellen?
		05.oli2.4^		Блин...|Misst...

	05.oli2.4@43@Ну а что, так же веселее! Молодец, Алекс. Я поддерживаю. Так может выпьем, тогда. Ну, за встречу...|Also was, es wird Spaß machen! Gute Arbeit, Alex. Also, sollen wir den Abend mit ein paar Drinks beginnen?
		05.oli2.5^		Ладно, сейчас принесу...|Okay, ich werde sie holen.

	05.oli2.5@141@m-op-13@Ой. Виски? Алекс, ты же знаешь, что я люблю текилу... В следующий раз если решишь меня спаивать, то спаивай тем, что нравится мне, а не тебе...|Oh. Whiskey? Du weißt, dass ich Tequila bevorzuge, Alex. Wenn du mich das nächste Mal betrunken machen willst, könntest du wenigstens etwas kaufen, das ich mag....
		05.oli2.6^		А что, ты против виски?|Also willst du keinen Whiskey trinken?

	05.oli2.6@143@Конечно, нет! Что за вопрос... Просто, глупо же... Но в такой компании я что угодно пью...|Natürlich werde ich das, was für eine Frage ist das....? Nur dumm, das ist alles.... Ich trinke alles in dieser Runde!
		05.oli2.7^		Отлично!|Toll dann!

	05.oli2.7@41@m-op-14@За встречу! Ой... Как это пьют... Так крепко... Я раньше только пиво пила... и то чуть-чуть...|Prost! Wie können die Leute das trinken? Ich habe vorher nur ein bisschen Bier probiert.
		05.oli2.8^		Ого. Лиза, серьёзно?|Wirklich?

	05.oli2.8@48@Да. Я даже не ожидала... Надеюсь, у меня не будет последствий, как у... Но я с вами. Всё в порядке.|Ja, das war ziemlich unerwartet.... Ich hoffe, ich habe nicht die gleiche Reaktion wie.... Aber ich bin trotzdem bei dir, also ist es in Ordnung.
		05.oli2.9^		<i>далее</i>|<i>fortfahren</i>

	05.oli2.9@134@Ого... Так ты выпила сразу всё залпом! Макс, наливай ещё тогда! А то мы от девчонок наших отстаём...|Das war schnell! Schenk uns noch mehr ein, Max, wir hinken hinterher.
		05.oli2.10^		Конечно!|Sicher

	05.oli2.10@43@Ой мальчики... Что-то я уже такая пьяная... Надо окунуться, может протрезвею чуть-чуть... Оливия, пойдём со мной, будем пере...раздеваться...|Wow, Leute.... Ich glaube, ich bin schon betrunken.... Ich sollte schwimmen gehen, vielleicht macht es mich nüchtern.... Gehen wir, Olivia, wir sollten uns umziehen.... in etwas anderes....
		05.oli2.11^		Мы вас ждём тут...|Wir werden hier sein.

	05.oli2.11@135@m-op-4@Похоже, наши девчонки уже готовы. Точнее, Лиза... Оливию то даже я не перепью, а вот Лиза как-то быстро поплыла...|Sieht so aus, als wären die Mädchen schon bereit. Nun, Lisa ist.... Olivia hat eine noch höhere Toleranz als ich. Lisa hat sich aber schnell betrunken....
		05.oli2.12^		Ну она с непривычки, видимо... Кстати, как тебе она?|Ich schätze, sie ist den Alkohol nicht gewohnt. Magst du sie übrigens?

	05.oli2.12@134@Лиза? Ну, классная девчонка... Если бы не Оливия, я бы за ней приударил, если честно... Кстати, Оливия тоже как-то странно на тебя смотрит...|Lisa? Ja, sie ist toll.... Ohne Olivia würde ich sie anmachen, um ehrlich zu sein.... Übrigens, Olivia schaut dich seltsam an....
		05.oli2.13^		Странно?|Seltsam?

	05.oli2.13@137@Ну, как на меня, только на тебя... Или нет, не так... Как же это... В общем, не ясно всё... О. Девчонки идут... Ого...|Ja, genauso wie sie mich ansieht, aber bei dir.... Oder auch nicht.... Wie sage ich das.... Ich weiß nicht.... Hey, die Mädchen kommen.... Wow....
		05.oli2.14^		Ага...|Ja

	05.oli2.14@135@m-op-8@Лиза... Ты это... Классно смотришься в новом купальнике... В смысле, в старом, но... Нет, не очень старом, новом, но... Блин...|Lisa, du.... Du siehst toll aus im neuen Bikini... Ich meine, es ist alt, aber.... Nein, es ist nicht alt, sie.... Misst....
		05.oli2.15^		<i>далее</i>|<i>fortfahren</i>

	05.oli2.15@141@Алекс, ты как-то слишком сложно изъясняешься. Если ты хотел сделать комплимент её сиськам, то думаю, она это поняла. Да, Лиза?|Ich glaube, wir verstehen es, Alex. Wenn du sagen wolltest, dass du Lisas Titten magst, dann hat sie dich erwischt. Richtig, Lisa?
		05.oli2.16^		<i>далее</i>|<i>fortfahren</i>

	05.oli2.16@43@m-op-7@Ну, я подумала, что если Оливия совсем голая, а я если сниму одну деталь, то никто же возражать не будет... Видимо, алкоголь так подействовал... Пойду оденусь...|Nun, ich dachte, da Olivia völlig nackt ist, würde es niemanden stören, wenn ich mein Oberteil von.... Vielleicht bin ich zu betrunken.... Ich ziehe mich um.
		05.oli2.17^		Стой. Ты выглядишь шикарно!|Das solltest du nicht, du siehst toll aus.

	05.oli2.17@48@m-op-8@Правда? Спасибо, Макс. Ладно, тогда останусь. Всё равно вы уже всё видели...|Danke, Max. Gut, ich bleibe so. Du hast sowieso schon alles gesehen....
		05.oli2.18^		Может и остальное снимешь, чтобы от Оливии не отставать?|Vielleicht ziehst du den Rest aus, um mit Olivia mitzumachen?

	05.oli2.18@41@Ну это же не соревнование... К тому же, я не настолько пьяна... Ладно, пойдём купаться!|Das ist kein Wettbewerb, und ich bin sowieso nicht betrunken genug.... Okay, gehen wir in den Pool!
		05.oli2.19^		Ну, пойдём...|Okay, lass uns gehen.

	05.oli2.19@43@m-op-23@Ну что, сегодня вы согласны остаться с ночевой?|Also, werdet ihr diesmal über Nacht bleiben?
		05.oli2.20^		Да, кстати, мы были бы рады...|Ja, wir möchten, dass ihr bleibt.

	05.oli2.20@140@А где у вас спать? Да и вдруг кто-то утром нас заметит?|Aber wo werden wir schlafen? Und wenn uns jemand sieht?
		05.oli2.21^		Не заметит.|Niemand wird dich sehen.

	05.oli2.21@134@Да, мы можем утром уйти. Ты же рано встаёшь, вот и пойдём домой. Мы же отпросились, нас дома не ждут сегодня...|Wir können früh am Morgen aufbrechen. Du wachst sowieso immer früh auf. Wir haben unseren Eltern schon gesagt, dass wir sowieso übernachten werden.
		05.oli2.22^		Тем более!|Umso mehr Grund zum Bleiben!

	05.oli2.22@142@Ладно, убедили... Кстати, вроде бы пора спать. Может быть, пойдём?|Gut, du hast mich überzeugt.... Wir sollten übrigens schon schlafen gehen. Was meinst du dazu?
		05.oli2.23^		Конечно...|Sicher

	05.oli2.23@41@m-op-20@Вот наша комната, тут мы и спим. Думаю, на двух кроватях сможем разместиться. Моя вот эта, Макс тут спит. Выбирайте кто где...|Das ist unser Zimmer. Ich denke, wir haben genug Platz auf zwei Betten. Das ist meins, und das hier gehört Max. Sucht euch einen aus....
		05.oli2.24^		<i>далее</i>|<i>fortfahren</i>

	05.oli2.24@147@Вы спите в одной комнате? Неожиданно... Я как-то спала в одной кровати со своим отцом... Это был незабываемый опыт...|Du schläfst im selben Zimmer? Huh.... Ich habe irgendwann mit meinem Vater im selben Zimmer geschlafen.... Das war eine tolle Erfahrung....
		05.oli2.25^		Кхм...|Hm...

	05.oli2.25@134@Если надо выбирать, то мы с Оливией возьмём вот эту кровать... Вы же не против? Да, утром нас не теряйте, мы тихо уйдём, пока вы будете спать...|Olivia und ich nehmen dieses Bett, wenn es dir nichts ausmacht. Oh, und wir gehen morgen früh leise, du wirst noch schlafen....
		05.oli2.26^		Хорошо...|Okay

	05.oli2.26@147@m-op-32@Вас же не будет смущать то, что я сплю голая? К тому же, все всё видели... Только у меня одна просьба... Вы можете не выключать свет? Я очень боюсь темноты...|Du hast doch nichts dagegen, dass ich nackt schlafe, oder? Du hast sowieso schon alles gesehen.... Und ich möchte dich etwas fragen.... Kannst du bitte das Licht an lassen? Ich habe Angst vor der Dunkelheit.
		05.oli2.27^		Ну... конечно, как скажешь...|Nun.... Sicher

	05.oli2.27@142@m-op-34@Алекс, а ты ко мне не приставай, мы в гостях, я знаю что тебе хочется, но не сейчас... Всё, спи. Ой... Надеюсь, нас никто не слышал...|Wir können nichts tun, Alex, wir sind nicht zu Hause. Ich weiß, du willst mich, aber nicht jetzt. Schlaf.... Ich hoffe, niemand hat uns gehört....
		05.oli2.28^		<i>далее</i>|<i>fortfahren</i>

	05.oli2.28@41@m-op-25@Ну а я буду спать так. Кажется, алкоголь начал выветриваться и ко мне вернулось чувство стыда... Блин, на второй же визит Алекса сиськи напоказ выкатила... Так стыдно...|Und ich werde so schlafen. Ich glaube, der Alkohol lässt nach und ich fange an, zur Vernunft zu kommen.... Das ist Alex' zweiter Besuch und ich habe meine Titten rausgeholt.... Wie konnte ich das tun....
		05.oli2.29^		Да не парься. Думаю, он оценил твою красивую грудь...|Keine Sorge, ich bin sicher, er liebte den Anblick deiner schönen Brüste.

	05.oli2.29@48@m-op-43@Красивую? Спасибо... Ну да, ты прав, куй железо пока... как там... ой... я что-то засыпаю... ладно, спокойной ночи, Макс. И это, не приставать! А то напинаю, как Алиса говорит...|Wunderschön? Danke.... Ja, du hast Recht, was soll das Warten.... Ich döste ein.... Gute Nacht, Max. Und versuch nichts Komisches, sonst trete ich dir in die Eier!
		05.oli2.30^		Угу...|Okay

	05.oli2.30@4@m-op-28@<i>Классный план начал реализовываться... Это второй их визит, а уже вчетвером спим в одной комнате. Лиза не стесняется светить сиськами перед Алексом, а я почти в обнимку с сестрёнкой... Жизнь налаживается!</i>|<i>Mein Plan beginnt Früchte zu tragen. Das ist nur ein zweiter Besuch, aber wir schlafen bereits im selben Zimmer. Lisa zeigt Alex ihre Titten, ich schlafe direkt neben meiner Schwester.... Das Leben ist schön!</i>
		leave!set_poss.swap_48!set_dcd.oli_5!set_olihome_1!max_cam.6.grow_200!sleep^			<i>спать д? утра</i>|<i>schlafen</i>



# --- 0.5: Третий визит Оливии и Алекса|3. Besuch von Olivia + Alex

	05.oli3.0@143@m-op-0@Приветик. А вот и мы. Не ждали?|U-u-und wir sind zurück. Freust du dich, uns zu sehen?
		05.oli3.1^		Почему же? Ждали, конечно!|Natürlich!

	05.oli3.1@135@m-op-1@А я сегодня опять принёс кое-что... В прошлый раз же вам понравилось?|Ich habe wieder etwas.... Du mochtest meinen letzten Schnaps, oder?
		05.oli3.2^		Конечно!|Natürlich!

	05.oli3.2@41@Только не много, а то в прошлый раз я напилась, чуть догола не разделась...|Ja, aber lass uns heute nicht so viel trinken. Letztes Mal habe ich zu viel getrunken und mich fast nackt ausgezogen....
		05.oli3.3^		Ого. Тогда приступим!|Wow. Dann lass uns anfangen!

	05.oli3.3@143@m-op-14@Ого... Значит, Макс, ты так стремишься раздесть свою сестрёнку? Одной меня тебе недостаточно?|"Wow"? Willst du deine Schwester ausziehen, Max? Einfach nur mein altes Ich ist nicht genug?
		05.oli3.4^		Ну... Так же веселее...|Ähm.... je mehr desto besser?

	05.oli3.4@147@Ну да, это верно. Думаю, Лизу можно убедить раздеться... Верно, Лиза?|Ja, ich schätze schon. Ich denke, wir können Lisa überzeugen, den Rest auszuziehenIch verspreche nichts, aber ich bezweifle, dass ich so viel trinken kann..... Richtig, Lisa?
		05.oli3.5^		<i>далее</i>|<i>fortfahren</i>

	05.oli3.5@41@Ой, я ничего не обещаю, но мне кажется, что столько я не выпью!|Ich verspreche nichts, aber ich bezweifle, dass ich so viel trinken kann.
		05.oli3.6^		Ну, надо пытаться!|Dann können wir es wohl nur versuchen!

	05.oli3.6@48@m-op-2@Ой... кажется пока хватит. Пойдём, Оливия, сбросим одежду, а то опять пол вечера болтать будем у воды...|Oh.... Ich glaube, mir reicht's jetzt. Lass uns innehalten und uns umziehen, Olivia, bevor wir die ganze Nacht nur am Pool geredet haben.
		05.oli3.7^		Мы вас ждём...|Wir werden hier sein.

	05.oli3.7@134@m-op-4@Слушай, Макс, а у Лизы есть кто-то? Ну я имею в виду...|Hey, Max, trifft sich Lisa mit jemandem?
		05.oli3.8^		Я понял, что ты имеешь в виду. А как же Оливия?|Aber was ist mit Olivia?

	05.oli3.8@137@Ну, это же между нами... Ты же не разболтаешь, надеюсь? Просто... Ну, она такая... Не знаю. К тому же...|Ich frage nur.... Du wirst es niemandem erzählen, oder? Es ist nur, sie ist so.... Ich weiß nicht.... Und....
		05.oli3.9^		Не разболтаю, конечно. Нет, у неё никого нет.|Keine Sorge, ich sage nichts. Sie ist Single

	05.oli3.9@136@О, супер! А как думаешь, у меня есть шанс, если я к ней подкачу?|Großartig! Glaubst du, ich habe eine Chance bei ihr?
		05.oli3.10^		К моей сестре?!|Bei meiner Schwester!?

	05.oli3.10@134@Ну, блин... Ладно, забей. Забудь, что о чём говорили... Кажется, девчонки идут...|Misst... Vergiss es einfach.... Sieht aus, als wären die Mädels wieder da.
		05.oli3.11^		Ага...|Ja

	05.oli3.11@43@m-op-7@Оливии опять удалось невозможное... Она уболтала меня не надевать верхнюю часть. Ну а что, все топлес, верно? Почему бы и мне... ик!|Olivia hat das Unmögliche geschafft.... Sie hat mich überzeugt, mein Top wieder auszuziehen. Alle anderen sind oben ohne, richtig? Warum sollte ich nicht.... auch....
		05.oli3.12^		Хорошая мысль...|Gute Idee

	05.oli3.12@142@m-op-8@Ну я не то, чтобы её уговаривала... Но лично я не против, если мой парень будет глазеть не только на мои сиськи...|Ich musste nicht viel überzeugen.... Aber es macht mir nichts aus, wenn mein Freund auch auf deine Titten starrt.
		05.oli3.13^		Ого...|Wow

