# --- 0.4: (новое из 0.4: массаж, в конце) Разговор с Алисой, когда она одна загорает|Alice sonnt sich.

	alisa.talk.solar.init@0@Загораешь?|Sonnenbaden?



# --- 0.4: 3-й разговор с Катей, пока та курит|3. Gespräch mit rauchender Kate

	kate.smoke.3.step.1@150@А ты всё ночами тут ошиваешься. Поболтать что ли не с кем?|Du bist wieder Hier. Hast du sonst niemanden zum Reden?
		kate.smoke.3.step.2^			Ну, ты прикольная. Почему бы не поболтать...|Nun, du bist lustig, also warum nicht ein bisschen mit dir plaudern?

	kate.smoke.3.step.2@152@Спасибо, ты тоже ничего... для парня. О чём хотел потрещать?|Danke, du bist auch nicht schlecht.... für einen Kerl. Worüber willst du reden?
		kate.smoke.3.step.3^			Ты давно Алису знаешь?|Wie lange kennst du Alice?

	kate.smoke.3.step.3@151@Да прилично. Мы ещё в летнем лагере познакомились, во время похода. Не в курсе этой истории?|Schon eine ganze Weile. Wir haben uns in einem Ferienlager getroffen. Kennst du diese Geschichte?
		kate.smoke.3.step.4^			Нет, расскажи!|Nein, erzähl mir

	kate.smoke.3.step.4@150@Ну, год я не помню уже, но мы тогда мелкие ещё были. Летом отдыхали в лагере, скукота, но иногда нас водили в походы в горы, к речке, в лес, да ещё с палатками! Вот это был кайф...|Ich weiß nicht mal mehr, wie alt wir waren, aber es ist schon eine Weile her. Es war im Sommercamp, und manchmal gingen wir in die Berge oder in den Wald am Fluss, mit Zelten und allem drum und dran! Es war so toll....
		kate.smoke.3.step.5^			Круто!|Cool!

	kate.smoke.3.step.5@159@Не то слово! Вот мы в тот раз ходили к озеру. Название уже не помню, да и не важно. На берегу поставили палатки. Костры развели, песни пели. Пацаны тогда первый раз напились, да нас, всех девчонок, угостили...|Ja. Wie auch immer, einmal waren wir an diesem See.... Ich erinnere mich nicht an den Namen, aber es spielt sowieso keine Rolle. Wir haben Zelte am Strand aufgestellt, ein Lagerfeuer angezündet, das Übliche. Kerle haben getrunken und mit uns Mädchen geteilt....
		kate.smoke.3.step.6^			Любопытно...|Hört sich nach einer guten Zeit an.

	kate.smoke.3.step.6@151@Да не, всё было в норме, хорошо посидели, а потом я смотрю, Алиска идёт в воду. Ну я пригляделась, вроде плещется, но ночью нам запрещали купаться, поэтому я пошла за ней.|Ja, es war toll, und dann bemerkte ich, wie Alice ins Wasser ging. Unsere Betreuer haben uns verboten, nachts zu schwimmen, also ging ich ihr nach.
		kate.smoke.3.step.7^			Ага...|Ja...

	kate.smoke.3.step.7@150@Ну так вот, то ли вода холодная слишком была, то ли ногу у неё свело, начала она тонуть, представляешь?! А я что, сама плаваю в стиле топора, но бросилась за ней, вытащила на берег... Так вот и познакомились...|Wie auch immer, ich schätze, das Wasser war zu kalt, sie hatte einen Beinkrampf und sie fing an zu ertrinken, kannst du dir das vorstellen? Ich war selbst kein guter Schwimmer, aber ich sprang zu ihr und schleppte sie an den Strand.... Und so lernten wir uns kennen....
		kate.smoke.3.step.8^			Так ты ей жизнь спасла?!|Also hast du ihr das Leben gerettet!?

	kate.smoke.3.step.8@152@Ну, типа того, получается. Алиска очень благодарна была. Вроде пустяк, но на неё это произвело огромное впечатление. Может первый раз смерти в глаза заглянула и что-то увидела... Не знаю...|Ja, ich schätze, das habe ich. Alice war sehr dankbar, der Vorfall hat sie sehr beeindruckt. Vielleicht schaute sie dem Tod in die Augen und sah etwas, ich weiß nicht....
		kate.smoke.3.step.9^			Спасибо, что сестрёнку спасла! Я и не знал даже!|Danke, dass du meine Schwester gerettet hast! Ich wusste es nicht mal!

	kate.smoke.3.step.9@159@Да, пустяки. Я её тогда в свою палатку привела, сняла с неё мокрую одежду и так вместе грелись в одном спальнике... В общем-то, именно тогда что-то во мне щёлкнуло и я поняла, что девочки очень нравятся...|Ja.... Jedenfalls gingen wir in mein Zelt, zogen die nassen Sachen aus und versuchten uns in meinem Schlafsack warm zu halten.... Da wurde mir klar, dass ich Mädchen mag....
		kate.smoke.3.step.10^			Ого... Алиска у тебя первая, значит?|Wow.... Also, Alice ist deine erste?

	kate.smoke.3.step.10@151@Алиска у меня единственная. Мы с тех пор очень сблизились, постоянно вместе проводили время... Даже... Хотя, такие подробности не для твоих ушей...|Alice ist meine Einzige. Wir sind uns sehr nahe gekommen, wir waren die ganze Zeit zusammen, sogar.... Du musst die Details dazu nicht kennen.
		kate.smoke.3.step.11^			Стесняешься?|Bist du schüchtern?

	kate.smoke.3.step.11@159@Я? Стесняюсь?! Насмешил. Боюсь, что перевозбудишься. В общем, мы с твоей Алиской лучшие подруги с тех пор. Правда, потом пришлось расстаться...|Ich, schüchtern? Sehr lustig. Ich fürchte, du wirst begeistert sein. Wie auch immer, Alice und ich sind seitdem die besten Freunde. Allerdings mussten wir später wieder auseinander gehen....
		kate.smoke.3.step.12^			Почему?|Was?

	kate.smoke.3.step.12@150@Да моя маман решила тут бизнес свой организовать, переехала. А у меня выбора толком и не было. Вот мы с тех пор постоянно с Алиской общаемся. То в соцсетях, то по телефону...|Meine Mutter beschloss, ein neues Unternehmen in dieser Stadt zu gründen und zog um. Und ich musste ihr folgen. So standen wir lange Zeit nur über Telefon und Internet in Kontakt.
		kate.smoke.3.step.13^			А потом мы переехали...|Und dann sind wir auch umgezogen....

	kate.smoke.3.step.13@159@Да! Я как узнала, поверить не могла. Думала, она разводит. Про дом какой-то пургу несла. Я до сих пор в шоке, если честно. Но даже если бы вы и не переехали, я и так собиралась обратно к ней ехать. Я теперь самостоятельная...|Ja! Ich konnte ihr nicht glauben, als sie es mir zum ersten Mal sagte. Ich dachte, sie nimmt mich auf den Arm. Ein Haus aus dem Nichts bekommen.... Ich kann es immer noch nicht glauben, um ehrlich zu sein. Aber selbst wenn du Hier nicht umgezogen bist, ich wollte sowieso zurückziehen.
		kate.smoke.3.step.14^			Значит, Алиска тоже... лесбиянка?|Heißt das, Alice ist auch lesbisch?

	kate.smoke.3.step.14@152@А тебя чего этот вопрос так заботит? Тебе какая разница, с кем она трахается?|Warum interessiert dich das überhaupt? Wo ist der Unterschied, wen sie fickt?
		kate.smoke.3.step.15^			Ну, я же её брат... Любопытно...|Komm schon, ich bin ihr Bruder und ich bin neugierig.

	kate.smoke.3.step.15@159@Ах да, она же рассказывала, что ты за ней подглядываешь постоянно! Чуть что, сразу член в руке... Наслышана. Значит, ты у нас из этих, озабоченных, которые на всё что движется реагируют?|Oh, richtig, sie hat mir gesagt, dass du die ganze Zeit auf sie schaust! Deinen Schwanz sofort rauszuholen.... Du bist also einer dieser Perversen, die auf alles reagieren, was sich bewegt?
		kate.smoke.3.step.16a^			Да я не такой!|Nein, bin ich nicht!
		kate.smoke.3.step.16b^			Это всё гормоны!|Das sind alles Hormone!

	kate.smoke.3.step.16a@152@Не такой, ага. Да ты не парься, это нормально. В жизни каких только извращений не бывает... Все по своему с ума сходят...|Ja, richtig. Keine Sorge, das ist ganz natürlich. Jeder hat einen Knick....
		kate.smoke.3.step.17^			Нормально, думаешь?|Findest du das normal?

	kate.smoke.3.step.16b@152@Гормоны, говоришь? Может быть... Да ты не парься, это нормально. В жизни каких только извращений не бывает... Все по своему с ума сходят...|Nun, Vielleicht...... Keine Sorge, das ist ganz natürlich. Jeder hat einen Knick....
		kate.smoke.3.step.17^			Нормально, думаешь?|Findest du das normal?

	kate.smoke.3.step.17@151@Конечно! Я со своим братом тоже так баловалась. Ну там, подрочить, всё такое. Я не считаю это чем-то слишком уж неправильным.|Natürlich! Ich habe mit meinem Bruder auch so herumgealbert. Weißt du, gib ihm ein Handy und so. Ich glaube nicht, dass damit etwas nicht stimmt.
		kate.smoke.3.step.18^			Так может побалуешь меня?|Also, wie wär's, wenn du mit mir rumspielst?

	kate.smoke.3.step.18@158@Ага, хорошая попытка... Ты можешь баловаться сам сколько угодно. Вот можешь идти куда-нибудь и там начинать, а я пойду спать...|Netter Versuch.... Du kannst so viel du willst, wie du willst. Du kannst jetzt sofort anfangen, denn ich werde jetzt schlafen....
		leave!time^						Ну, пока...|Okay, gute Nacht



# --- 0.4: 4-й разговор с Катей, пока та курит|4. Gespräch mit rauchender Kate

	kate.smoke.4.step.1@150@Что, опять не спится?|Kannst du wieder nicht schlafen?
		kate.smoke.4.step.2^			Да разве тут уснёшь после твоей истории...|Wie könnte ich nach so einer Geschichte schlafen....

	kate.smoke.4.step.2@159@Какие мы впечатлительные! Кстати, я Алиске рассказала, что ты в курсе этой истории. Она не обрадовалась, конечно, но куда деваться, ты уже почти всё знаешь...|Beeindruckend, oder? Übrigens, ich habe Alice gesagt, dass du von dem Vorfall weißt. Sie war nicht glücklich, Natürlich, aber es ist ja nicht so, als hätte sie eine Wahl, jetzt wo du fast alles weißt....
		kate.smoke.4.step.3^			Почти?|Fast?
		kate.smoke.4.step.3^			Рассказывай!|Sag mir den Rest

	kate.smoke.4.step.3@151@Ну ты и зануда, Макс... Сам бы что рассказал. Я сюда не сказочником прихожу работать...|Warum sagst du mir nicht mal was anderes? Ich komme nicht hierher, um dir Geschichten zu erzählen....
		kate.smoke.4.step.4^			Ты так и не сказала, Алиса только по девочкам или...|Du hast immer noch nicht gesagt, ob Alice lesbisch ist oder nicht.

	kate.smoke.4.step.4@150@Или. Вообще, я думаю, что она вполне даже гетеро. Это ко мне у неё особое отношение. Скорее, в качестве исключения. Не уверена, что об этом вообще кто-то должен знать...|Oder auch nicht. Ich glaube, sie ist ein Hetero, sie hat nur einen Sonderfall wie mich, als Ausnahme. Ich bin mir nicht sicher, ob jemand davon wissen sollte....
		kate.smoke.4.step.5^			О чём?|Worüber?

	kate.smoke.4.step.5@151@Ты ведь не отстанешь, да? Эх... Ну, Алиска всё равно думает, что я всё-всё рассказала, так что поделюсь с тобой. Надо же с кем-то, в конце концов...|Du wirst doch nicht allein gehen, oder....? Schön, Alice denkt, du weißt sowieso schon alles. Ich sollte mit <i>irgendjemandem</i> über das sprechen
		kate.smoke.4.step.6^			Внимательно слушаю!|Ich höre

	kate.smoke.4.step.6@150@Когда я Алиску вытащила из воды, кажется что с нею что-то произошло. Ну, она так сама рассказывала. Или алкоголь, или стресс, или я не знаю, не психолог, в общем, что-то в ней переключилось.|Als ich Alice aus dem Wasser zog, passierte ihr etwas. Oder zumindest hat sie das gesagt. Ich weiß nicht, ob es der Alkohol oder der Stress war, ich bin keine Psychologin, aber etwas hat sich in ihr verändert.
		kate.smoke.4.step.7^			Переключилось? В каком смысле?|Was meinst du damit?

	kate.smoke.4.step.7@151@Ну, она вдруг решила, что обязана мне жизнью, и поклялась, что будет делать всё, о чём я её попрошу, в качестве благодарности, видимо...|Sie entschied, dass sie mir ihr Leben schuldete und sie schwor, alles zu tun, was ich ihr als Dankbarkeit sage....
		kate.smoke.4.step.8^			И ты этим воспользовалась?|Und du hast diese Gelegenheit genutzt?

	kate.smoke.4.step.8@152@Нет, конечно нет. Я и забыла об этом тогда. Но постепенно стало понятно, что она не забыла, и блеск благодарности в её глазах не угас. Да и я немножко люблю покомандовать другими, так сказать...|Nein, Natürlich nicht. Ich habe es damals vergessen. Aber irgendwann wurde mir klar, dass Alice es nicht getan hat und ich konnte immer noch die Dankbarkeit in ihren Augen sehen. Und ich mag es, Menschen zu befehligen, schätze ich....
		kate.smoke.4.step.9^			Покомандовать?|Leute befehligen?

	kate.smoke.4.step.9@150@Ну, у меня это другая история. Всё просто и банально. Непростая семейка, а точнее моя маман с закидонами да её эта профессия... В общем, мы с Алиской, как две половинки единого целого. Нашли друг друга.|Ja, es ist eine andere Geschichte. Ich habe eine schwierige Familie oder, genauer gesagt, meine Mutter hat einige Probleme und ihren Beruf.... Wie auch immer, Alice und ich sind wie zwei Hälften eines Ganzen. Wir haben uns gefunden.
		kate.smoke.4.step.10^			А у тебя что за история?|erzähl mir deine Geschichte

	kate.smoke.4.step.10@152@Макс, а ты не слишком много выпытываешь у меня? Мы познакомились совсем недавно, а ты обо мне знаешь больше, чем все мои подруги. Хотя, если бы Алиса не была твоей сестрой, то ничего бы я тебе не рассказала, конечно...|Fragst du nicht zu viel, Max? Wir haben uns gerade erst kennengelernt und du weißt mehr über mich als alle meine Freunde. Nicht, dass du etwas wüsstest, ohne Alices Bruder zu sein....
		kate.smoke.4.step.11^			Отлично! Тогда рассказывай, что там у тебя за... маман?|Großartig! Also, erzähl mir von deiner Mutter.

	kate.smoke.4.step.11@159@Ну да. Я её так называю. Даже "мать" слишком мягко для неё... Не, ты не подумай, я её люблю, но вот не уверена, что это взаимно. Слишком у неё много тараканов в голове...|Versteh mich nicht falsch, ich liebe sie, aber ich bin nicht sicher, ob es gegenseitig ist. Sie hat zu viele Probleme....
		kate.smoke.4.step.12^			А подробнее можно?|Kannst du das näher ausführen?

	kate.smoke.4.step.12@151@Ну если подробнее, то она держит тайный БДСМ-клуб в городе. Это тот самый бизнес, который она тут и решила открыть, когда мы переехали...|Sie hat einen geheimen BDSM-Club in der Stadt. Das ist das Geschäft, das sie eröffnete, als wir umzogen....
		kate.smoke.4.step.13^			Обладеть! И чем она занимается?|Wow! Und was macht sie?

	kate.smoke.4.step.13@150@Работает, не покладая рук, ног и других частей тела. Прикинь, каково мне было расти среди этого всего?|Sie arbeitet Tag und Nacht. Stellt euch vor, in dieser Atmosphäre aufzuwachsen......
		kate.smoke.4.step.14^			Даже не представляю...|Ich kann mir nicht vorstellen....
		kate.smoke.4.step.14^			Круто!|Cool!

	kate.smoke.4.step.14@152@В этом всём есть один плюс, я лучше понимаю человеческую натуру, и... нет проблем с деньгами. Видимо, маман считает, что это всё, что мне требуется. Так что могу спокойно жить одна. Точнее, с Алиской...|Diese Situation hat ein Plus: Ich kann die menschliche Natur besser verstehen und.... Ich habe keine Probleme mit dem Geld. Ich schätze, meine Mutter denkt, Geld ist alles, was ich brauche. So kann ich leicht alleine leben. Oder, genauer gesagt, mit Alice....
		kate.smoke.4.step.15^			С Алиской? Ты её забираешь?!|Mit Alice? Wirst du sie mir wegnehmen!?

	kate.smoke.4.step.15@159@Паникёр! Да никуда я её не забираю... пока... Да и у вас такой крутой дом, что тут я бы с удовольствием поселилась... Но понятно, что никто не пустит. Так что ночами вот прихожу и ухожу под утро, чтобы никто не заметил...|Keine Sorge, ich werde sie nirgendwo hinbringen. Im Moment zumindest.... Und du hast ein tolles Haus, ich würde gerne hier wohnen.... Nicht, dass ich das könnte, Natürlich. Deshalb bin ich nur nachts hier und gehe morgens, damit mich niemand sieht....
		kate.smoke.4.step.16^			Может, наша мама была бы и не против...|Mein Mom wäre vielleicht nicht dagegen....

	kate.smoke.4.step.16@151@Того, что её дочь спит с другой девушкой? Ты уверен? Мне Алиска рассказывала, что твоя мама категорически против однополой любви...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Gegen die Tatsache, dass ihre Tochter mit einer anderen Frau schläft? Bist du sicher? Alice sagte mir, dass deine Mutter gegen gleichgeschlechtliche Paare ist....\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		kate.smoke.4.step.17^			Ну, я могу её подготовить к этому...|Ich könnte versuchen, ihr das zu erleichtern....

	kate.smoke.4.step.17@154@Правда? И ты сможешь?! Это было бы классно! Тогда нам не пришлось бы скрываться ночами, когда никого нет... Ну, Макс, похоже, ты можешь быть не таким бесполезным, каким казался при первой встрече...|Würdest du das tun? Und kannst du das wirklich tun? Das wäre so toll! Und wir müssten uns nicht in der Nacht verstecken, wenn alle weg sind.... Max, du kannst viel nützlicher sein, als ich dachte, als wir uns das erste Mal trafen....
		kate.smoke.4.step.18^			Я гораздо полезнее!|Natürlich Ich bin nützlich!

	kate.smoke.4.step.18@151@Ну, посмотрим... Ладно, пойду я, уже поздно. Поболтаем в другой раз...|Wir werden sehen.... Wie auch immer, ich gehe, es ist spät. Wir reden ein andermal.
		leave!set_poss.guest_1!time^	Давай, пока!|Okay, bye



# --- 0.4: 5-й разговор с Катей, пока та курит. разговор повторяется, пока игрок не увидит сцену с Катей и Алисой, ласкающими себя перед ноутом.|5. Gespräch mit rauchender Kate. Es wiederholt sich, bis sich Kate und Alice vor dem Notebook berühren.

	kate.smoke.5.step.1@151@Как дела? Опять не спится?|Wie geht es dir, kannst du nicht mehr schlafen?
		kate.smoke.5.step.2^			Ага, типа того...|Ja, so was in der Art.

	kate.smoke.5.step.2@150@Ясно. Ну а я тут уже закончила. Пойду спать. Споки!|Ich verstehe. Nun, ich bin hier fertig, also werde ich gehen. Gute Nacht!
		leave!time^						Спокойной ночи...|Gute Nacht



# --- 0.4: 6-й разговор с Катей, пока та курит.|6. Gespräch mit rauchender Kate

	kate.smoke.6.step.1@152@Отлично, спасибо. Сам как? Понравилось?|Mir geht's gut, danke. Was ist mit dir? Hat es dir gefallen?
		kate.smoke.6.step.2^			Что... понравилось?|Was meinst du damit?

	kate.smoke.6.step.2@159@Как что? Шоу. Только не говори, что ты не подглядывал за нами!|Die Show. Und sag mir nicht, dass du nichts gesehen hast.
		kate.smoke.6.step.3^			Да я случайно...|Es war ein Missgeschick
		kate.smoke.6.step.4^			Ну да, очень понравилось!|Ja, es hat mir sehr gut gefallen.

	kate.smoke.6.step.3@151@Случайно зашёл за балкон к своей сестре мимо комнаты мамы в час ночи? Забавно... Ну так как, понравилось?|Du bist versehentlich morgens um eins auf dem Balkon am Schlafzimmer deiner Mutter vorbeigekommen? Lustig.... Wie auch immer, hat dir die Show gefallen?
		kate.smoke.6.step.4^			Ага, весьма...|Ja...

	kate.smoke.6.step.4@152@Алиска тебя не заметила, но я ей рассказала. Она немного побесилась и хотела пойти оторвать тебе яйца, но можешь спать спокойно. Убедила её полегче к этому относиться. Можно сказать, и тебе жизнь спасла!|Alice hat dich nicht gesehen, aber ich habe es ihr gesagt. Sie war verrückt und wollte dir die Eier abreißen, aber du musst dir keine Sorgen machen. Ich habe sie überzeugt, die Situation ruhig anzugehen. Man könnte sogar sagen, dass ich dir das Leben gerettet habe!
		kate.smoke.6.step.5^			Вот за это спасибо, выручила!|Und ich danke dir so sehr dafür!

	kate.smoke.6.step.5@151@Не за что. Значит, ты у нас любитель подглядывать... И как, встаёт от этого, или ты просто из любопытства смотришь?|Gern geschehen. Also, du magst es zu zugucken, huh.... Wirst du hart oder bist du nur neugierig?
		kate.smoke.6.step.6^			Конечно, я же мужик!|Natürlich, immerhin bin ich ein Mann.
		kate.smoke.6.step.6^			Всякое бывает...|Es passiert....

	kate.smoke.6.step.6@159@Понятно. Да всё норм, не парься. Так даже веселее. Правда, Алиска не разделяет моего веселья. Она почему-то тебя очень стесняется, как будто вы друг друга голыми не видели...|Ich verstehe. Das ist normal, keine Sorge. Macht alles noch besser. Alice stimmt mir allerdings nicht zu. Aus irgendeinem Grund ist sie sehr schüchtern, als hätte man sich nie nackt gesehen....
		kate.smoke.6.step.7^			Ну да, она такая...|Ja, so ist sie in Ordnung.

	kate.smoke.6.step.7@151@Слушай, а может тебе помочь с этим? Ну, с Алиской и тем, как она к тебе относится? Ты поможешь вашей матери смириться с тем, что мы с Алиской встречаемся, а я помогу ей через себя переступить в отношении тебя...|Hey, willst du meine Hilfe dabei? Ich meine, wie Alice dich behandelt. Du überzeugst deine Mutter, dass mit meiner Beziehung zu Alice alles in Ordnung ist und ich überzeuge Alice, ihre Einstellung zu dir zu ändern....
		kate.smoke.6.step.8^			Ну, я только за!|Ich bin dafür!

	kate.smoke.6.step.8@152@О. У меня ещё одна безумная идея... А может быть... тебе поучаствовать в наших играх?|Oh, und ich habe noch eine verrückte Idee.... Wie wäre es, wenn du an unserem Spaß teilnimmst?
		kate.smoke.6.step.9^			Каких... играх?|Was für ein Spaß?

	kate.smoke.6.step.9@159@Ну какие у нас могут быть игры, учитывая, что у меня склонности к всякому такому, ты же понимаешь... Кожа, латекс, все дела...|Was meinst du dazu? Weißt du.... Latex, Leder....
		kate.smoke.6.step.10^			А где кидают?!|Wo ist der Haken?

	kate.smoke.6.step.10@152@А кидают в том, что ты будешь должен подчиняться моим приказам. Не парься, ничего такого. Но если откажешься, выпнем тебя из комнаты и даже подсматривать не дадим. Решать тебе...|Der Haken ist, du musst dir alles anhören, was ich sage. Keine Sorge, es wird nichts Schlimmes sein. Aber wenn du dich weigerst, schmeißen wir dich raus und du kannst nicht mal hinsehen. Deine Wahl....
		kate.smoke.6.step.11^			Ну, я согласен, конечно!|Ich stimme zu!
		kate.smoke.6.step.11^			Я подумаю...|Ich werde darüber nachdenken.

	kate.smoke.6.step.11@150@Хорошо. Тогда, если надумаешь, ты знаешь где и когда нас искать. Только без глупостей типа сделать фотки или видео записать. Мы тогда такое видео с тобой запишем, что всю жизнь стыдно будет...|Okay. Wenn du dich entscheidest, weißt du, wo du uns findest. Aber macht nichts Dummes wie ein Erpressungsvideo oder Fotos. Wir machen ein Video, das du für den Rest deines Lebens bereuen wirst.
		kate.smoke.6.step.12^			Да я и не думал ни о чём таком...|An so etwas habe ich nicht gedacht....

	kate.smoke.6.step.12@152@Ну и супер. Ладно, пойду я спать. До встречи!|Großartig. Nun, ich gehe ins Bett. Auf Wiedersehen.
		leave!time^						Спокойной ночи!|Gute Nacht



# --- 0.4: Пока Катя курит, разговор о ночном эвенте.|Rauchende Kate, Gespräch über die nächtliche Veranstaltung

	kate.smoke.8.step.1@152@Нормуль. Сам как? Держишься?|Mir geht es großartig. Was ist mit dir? Geht es dir gut?
		kate.smoke.8.step.2^			В каком смысле?|Was meinst du damit?

	kate.smoke.8.step.2@159@Ну, тебя так жёстко обломали на самом интересном... А ведь у тебя такой стояк был...|Nun, wir haben dich mitten im Geschehen rausgeworfen.... Du warst so hart....
		kate.smoke.8.step.3^			Да всё хорошо... Когда продолжим?|Das ist in Ordnung. Wann ist das nächste Mal?

	kate.smoke.8.step.3@152@Вот так сразу, да? Ну, ты понял свою ошибку? Нужно слушать, что я говорю и не говорить, пока не спросили. Ты это понял? Потому что если нет, то...|Einfach so, was? Verstehst du deinen Fehler? Du solltest auf mich hören und nicht reden, bis du mit mir gesprochen hast. Verstehen Sie das? Denn wenn nicht, dann....
		kate.smoke.8.step.4^			Я всё понял, извини.|Ich verstehe alles, tut mir leid.

	kate.smoke.8.step.4@159@Супер! Кстати, Алиска долго ещё возмущалась, что я тебя притащила. Но скажу по секрету, её завело, когда ты смотрел, как она меня... Да и меня тоже, если честно...|Großartig. Übrigens, Alice war sauer, dass ich dich da mit reingezogen habe, aber um dir das Geheimnis zu verraten, war sie sehr aufgeregt von dir.... Und ich war zu....
		kate.smoke.8.step.5^			Значит, будет продолжение?!|Heißt das, es wird ein nächstes Mal geben?

	kate.smoke.8.step.5@152@Конечно, почему нет. Приходи в следующий раз, впустим. Но смотри, без глупостей.|Natürlich, warum nicht. Du kannst nächstes Mal vorbeikommen, wir lassen dich rein. Aber mach keine Dummheiten.
		kate.smoke.8.step.6^			Конечно... Слушай, а откуда эти костюмы?|Natürlich.... Übrigens, wo bekommst du die ganzen Kostüme her?

	kate.smoke.8.step.6@159@Что, понравились? У меня ещё много разных. И для тебя найдётся, если захочешь, но надо твой размер уточнить...|Was, gefällt es dir? Ich habe eine Menge solcher Sachen, ich könnte auch etwas für dich finden, wenn du willst, aber ich muss erst deine Größe wissen.
		kate.smoke.8.step.7^			Так откуда они?|Aber woher bekommst du sie?

	kate.smoke.8.step.7@151@Макс, ну ты и тупишь. Я же про маман свою рассказывала? Сообразил? Реквизит с её работы, так сказать. Если честно, то она и не в курсе, что я беру эти шмотки. А может быть ей и плевать даже...|Du bist wirklich langsam, Max. Ich habe dir von meiner Mutter erzählt. Ich habe es von ihrem Arbeitsplatz genommen. Sie weiß nicht, dass ich es genommen habe, um ehrlich zu sein. Und vielleicht ist es ihr sowieso egal....
		kate.smoke.8.step.8^			Понятно...|Ich verstehe

	kate.smoke.8.step.8@150@Ну всё, что-то я заболталась, пойду к Лиске. Ты давай, подтягивайся в следующий рза, не пожалеешь.|Okay, ich gehe jetzt zu Alice und du solltest beim nächsten Mal mitmachen, du wirst es nicht bereuen.
		leave!set_kate.talk_9!set_girlz.scene_9!time^						Обязательно!|Natürlich!



# --- 0.4: Катя курит, обсуждаем ночную сцену|Rauchende Kate, Gespräch über die zweite nächtliche Veranstaltung

	kate.smoke.10.step.1@152@Супер! Как всегда.|Großartig, wie immer.
		kate.smoke.10.step.2^			Как там Алиса?|Wie geht es Alice?

	kate.smoke.10.step.2@159@Ну... была в шоке, что я её заставила это сделать с тобой, но она не хочет меня огорчать и сделает всё, что попрошу...|Anfangs war sie schockiert, dass ich ihr das gesagt habe, aber sie will mich nicht enttäuschen, also tut sie alles, was ich sage.
		kate.smoke.10.step.3^			Удобно... Личная рабыня?|Also, im Grunde ist sie deine persönliche Sklavin.... Bequem

	kate.smoke.10.step.3@151@Я не хочу это так называть. Нет. Никакого принуждения же нет. Просто у нас такие отношения. И её и меня это устраивает. Кроме того, это всё по любви. А эти игры с тобой  ещё и заводят прилично...|Ich will mich nicht so melden. Ich zwinge sie zu nichts, so funktioniert unsere Beziehung. Das ist für uns beide völlig in Ordnung. Und wir lieben uns auch. Und diese Spiele mit dir sind auch ziemlich heiß....
		kate.smoke.10.step.4^			Ну, мне тоже понравилось.|Ja, ich mochte sie auch.

	kate.smoke.10.step.4@159@Ещё бы! Тебе старшая сестра подрочила на моих глазах, пока я ласкала себя. Кому такое не понравится, верно?|Das bezweifle ich nicht. Deine ältere Schwester hat dir vor mir einen runtergeholt, während ich mich berührte. Wer würde das nicht?
		kate.smoke.10.step.5^			Ещё спрашиваешь...|Ja...

	kate.smoke.10.step.5@150@Ладно, повеселились и хватит. Пойду я спать. Споки!|Okay, das ist eine lustige Unterhaltung, aber ich gehe schlafen, also gute Nacht.
		leave!set_kate.talk_11!time^	Ага, спокойной ночи...|Ja, gute Nacht



# --- 0.4: Катя курит, обсуждаем минет ночью|Rauchende Kate, Gespräch über den Blowjob

	kate.smoke.12.step.1@151@Угу. Что ещё делать в два часа ночи... Пришёл обсудить что-то?|Ja, was könnte ich sonst tun und zwei Uhr morgens? Also, willst du über etwas reden?
		kate.smoke.12.step.2^			Ну...|Nun ja...

	kate.smoke.12.step.2@152@Если хочешь узнать как там сестрёнка, то она в порядке. Конечно, поворчала насчёт избытка спермы в желудке, но в целом ей понравилось...|Wenn du etwas über deine Schwester wissen willst, es geht ihr gut. Natürlich klagte sie ein wenig über zu viel Sperma in ihrem Magen, aber sie mochte die Veranstaltung am meisten....
		kate.smoke.12.step.3^			Я или мой член?|Mochte sie mich oder meinen Schwanz?

	kate.smoke.12.step.3@151@Какого ты о себе самомнения... Нет, ей понравилась вся эта ситуация в целом. Мы давно друг с дружкой развлекаемся, но никогда не приглашали никого со стороны. И этот опыт нам обеим по душе...|Sei nicht zu sehr von dir eingenommen.... Nein, ihr gefiel die Situation im Allgemeinen. Wir haben eine ganze Weile herumgealbert, aber wir hatten nie jemanden dabei. Und wir beide mochten die Erfahrung.
		kate.smoke.12.step.4^			И не только вам!|Du bist damit nicht allein!

	kate.smoke.12.step.4@152@Не сомневаюсь. Но ты слишком не настаивай. Даже если увидишь нас и поймёшь, что тебя не ждут, не лезь. Максимум аккауратно загляни, но лучше не появляться на глаза без приглашения.|Das bezweifle ich nicht. Aber nicht so aufdringlich, wenn du siehst, dass du nicht erwünscht bist, dann unterbrich uns nicht. Du kannst ein bisschen suchen, aber du solltest dich nicht ohne Einladung zeigen.
		kate.smoke.12.step.5^			Почему? Ты же сама сказала, что понравилось?|Warum? Hat es euch beiden nicht gefallen?

