# --- 0.12: Макс спрашивает Лизу насчёт уроков с мамой

	12.aa.0.init@0@Как ваше обучение с мамой?|Any progress on your sex ed lessons with mom?
		leave!time^			Пока, Оливия!|Bye, Olivia



# --- 0.12: Первое посещение дома Оливии

	12.df.4@142@d-om-32@Вот и мой дом... Конечно, не сравнить с тем, что у нас был, но жить можно...|Here's where I live. Nothing like the last place, but it's good enough, I guess.
		12.df.5^		Хороший дом!|I like it

	12.df.5@140@Да, но не весь. Тут часть только наша. Во второй половине живёт другая семья. Пойдём, покажу свою комнату...|We're not the only people living here, by the way. Some of it is rented by another family. Let me show you my room.
		12.df.6^		<i>далее</i>|<i>continue</i>

	12.df.6@142@d-om-2@А здесь я провожу почти всё своё свободное время. Ни шкафа, ни телевизора, ничего ещё нет...|This is where I spend most of my free time. No cupboard, no TV, no nothing...
		12.df.7^		<i>оглядеться</i>|<i>look around</i>

	12.df.7@4@d-om-0@<i>Вот это кровать! Кажется, у меня появились разнообразные идеи, связанные с... Или я забегаю вперёд?</i>|<i>I like this bed! Gives me so many ideas... Am I getting ahead of myself?</i>
		12.df.8^		Уютненько...|It's cozy

	12.df.8@143@d-om-2@Думаешь? Эх, видел бы мою комнату... Но ладно... Спасибо, если ты правда так считаешь... Тут даже сидеть негде. Пойдём на кровать...|Do you really think so? You should've seen my old room... Not that it matters now... Thanks for the compliment. I don't even have anywhere to sit here. Let's go to the bed.
		12.df.9^		Пойдём!|Sure

	12.df.9@142@d-om-4@Ну, чем займёмся?|So, what are we gonna do now?
		12.df.10^		Есть у меня одна идея...|I have an idea...

	12.df.10@143@d-om-6@Надеюсь, ты об уроках, мы же поэтому сюда пришли, верно?|I hope you're thinking about my education. This is why we're here, right?
		12.df.11^		Да, точно...|Right, right...

	12.df.11@141@d-om-5@Мне на секунду показалось, что ты хочешь заглянуть ко мне под юбку и убедиться, что трусики я не надела...|Did I imagine it, or do you want to look under my skirt to make sure I'm not wearing any panties?
		12.df.12^		Э...|Innocent until proven guilty, baby!

	12.df.12@143@d-om-4@Ты такой смешной, Макс... Но давай уроками займёмся, а то скоро мама придёт, я не хотела бы, чтобы она тебя увидела...|Heh, okay. Let's start, I want to finish before mom comes home ans sees you.
		12.df.13^		Почему?|Why?

	12.df.13@141@Ну мама обычно по дому без одежды ходит... Ты даже на намёки насчёт трусиков так реагируешь, а если увидишь маму, то... Не знаю что с тобой будет...|Because she's usually naked around the house. If you have such a strong reaction about a hint of no panties, I'm afraid to imagine your reaction on my mom.
		12.df.14^		Давай проверим!|Only one way to find out!

	12.df.14@142@Очень смешно... Так, где же мои учебники... Секундочку...|Very funny... Let me get my textbooks...
		12.df.15^		<i>далее</i>|<i>continue</i>

	12.df.15@141@d-om-9@Значит, ты хорошо учился в школе и можешь мне помочь с уроками? Ну, посмотрим...|So, let's see how much you can help...
		12.df.16^		Ага...|Sure

	12.df.16@4@d-om-7@<i>К счастью, моих знаний достаточно, чтобы помогать Оливии с уроками... Вот только думать об уроках всё сложнее...</i>|<i>Looks like I know enough to be able to help her out. The hard part is concentrating on the lesson...</i>
		12.df.17^		<i>заниматься</i>|<i>study</i>

	12.df.17@143@d-om-9@Кажется, мы закончили. Спасибо тебе, Макс. Даже не представляешь, как ты меня выручил!|I think that's enough for today. Thank you so much, Max. You have no idea how much you're helping me!
		12.df.18^		Не за что!|Happy to help

	12.df.18@142@d-om-2@Ну что, Макс... тебе пора. Скоро придёт мама и, ну ты всё знаешь...|Well, Max. I guess you have to go now... Besides, mom will come home soon, you know...
		leave!set_otn_6!set_poss.oli_3!time_2^			Хорошо. До встречи!|Okay. Bye, Olivia



# --- 0.12: Визит к Оливии домой №2

	12.df.19@4@d-om-33@<i>Кажется, я уже запомнил дорогу... Нужно будет сюда заглянуть однажды и посмотреть на её маму...</i>|<i>I think I've memorized the way here... Now I can visit her one day and check out her mom, too...</i>
		12.df.20^		<i>далее</i>|<i>continue</i>

	12.df.20@142@d-om-2@Ну, садись на кровать. Других мест у меня пока нет. Нужно сегодня поскорее заняться уроками, а то мама может вернуться в любой момент...|Let's go on the bed, I don't have anything else to offer. We should hurry up, I don't want you to get caught by mom.
		12.df.21^		И что в этом плохого?|Is that really such a bad idea?

	12.df.21@143@d-om-4@Ну я же говорила... Хотя, я лучше её предупрежу в следующий раз... Не знаю как она отнесётся к тому, что я так быстро начала встречаться... точнее...|I've told you already, but maybe I wasn't specific enough... I don't know how is she going to react when she finds out we're doing this... well...
		12.df.22^		Встречаться?|What?

	12.df.22@141@d-om-5@Ну, я имею в виду то, что привела тебя к себе домой, да ещё в её отсутствие...|I meant to say I brought you into our house, especially when she's not around.
		12.df.23^		А она у тебя строгая?|Is she strict?

	12.df.23@140@d-om-4@Нет, не думаю. Ни за что не наказывает, если ты об этом... Но когда ей грустно, мне тоже грустно. Поэтому, я стараюсь её не обижать и не расстраивать...|Not really. She doesn't punish me, if that's what you mean... But I still don't want to upset her.
		12.df.24^		Понятно...|Okay

	12.df.24@142@d-om-9@Ну всё, хватит болтать, надо с уроками разобраться...|But enough chit-chat, let's start the lesson.
		12.df.25^		Конечно!|Sure

	12.df.25@4@d-om-7@<i>А Оливия прикольная... Ходит без трусов дома, валяется со мной на своей кровати в коротенькой юбочке...</i>|<i>Olivia is pretty cool... And she's not wearing any panties while lying right next to me in her short skirt...</i>
		12.df.26^		<i>заниматься</i>|<i>study</i>

	12.df.26@3@d-om-8@<i>Может быть, если я проявлю инициативу, то... Не попробую - не узнаю!</i>|<i>How would she react it I try something? There's only one way to find out!</i>
		12.df.27^		<i>далее</i>|<i>continue</i>

	12.df.27@142@d-om-9@Вот мы и закончили! Спасибо тебе, Макс! Ты опять меня выручил... Не знаю, что бы я без тебя делала. Сидела бы до ночи, наверное...|And we're done! Thank you, Max! You are really helping me out. I don't know what I would've done without you. I'd probably had to sit here and study well into the night...
		12.df.28^		Обращайся!|Any time

	12.df.28@143@Обязательно! Мне нравятся наши уроки и то, как ты себя ведёшь... Так сдержанно, но я догадываюсь, что ты чувствуешь...|Sure will! I like our lessons and how serious you are... I wonder how you really feel...
		12.df.29^		<i>попытаться её поцеловать</i>|<i>try to kiss her</i>

	12.df.29@141@d-om-13@Стоп. Ты слишком торопишь события... И я не такая, как некоторые говорят в школе... Давай сделаем вид, что ничего не было, хорошо?|Wait. Don't be so quick, Max, I'm not as easy as you might have heard from my classmates... Let's just pretend it didn't happen, okay?
		12.df.30^		Хорошо...|Sure...

	12.df.30@142@d-om-9@Ты мне нравишься, правда... Но я не хочу стать для тебя очередной девчонкой, к которой ты просто залез под юбку...|I like you, Max, but... But I don't want to be just another notch on your belt.
		12.df.31^		Я тоже не такой!|I'm not like that!

	12.df.31@143@Да? Значит, Лиза немного приврала... И это очень хорошо... Ну всё, Макс, тебе пора...|You're not? Maybe Lisa exaggerated... I like that... But it's time for you to leave, Max.
		leave!set_otn_7!time_2^		Хорошо. Пока, Оливия!|Okay. Bye, Olivia



# --- 0.12: Визит к Оливии домой №3

	12.df.32@142@d-om-33@Дом, милый дом... Надеюсь, мамы нет дома...|Home, sweet home. I hope mom isn't around.
		12.df.33^		Что ты так её боишься?|Why are you so afraid of her all the time? She's not going to eat me... Right?

	12.df.33@143@d-om-2@Да я не боюсь... Но пока наши отношения могут остаться в тайне...|I'm not afraid, but I don't want her to know about us.
		12.df.34^		Отношения?|Us?

	12.df.34@141@Э... В смысле, занятия. Конечно, я про твою помощь с уроками... Ладно, присаживайся на кровать...|I... I mean our lessons. Yes, I was talking about your tutoring. You can sit on the bed now.
		12.df.35^		Ну да...|Sure

	12.df.35@142@d-om-4@Если сегодня поможешь мне поскорее разобраться с уроками, может быть, ещё чем-то займёмся...|If we clear our homework fast enough, maybe we'll have enough time to do something else...
		12.df.36^		Тогда, давай быстрее!|Let's hurry up then!

	12.df.36@56@d-om-40@Упс! Кто это тут у нас?! Оливка, ты почему не сказала, что у нас гости?|Oh! Who's that? Why didn't you tell me we have guests, Olivia?
		12.df.37^		Э... Я Макс...|Hey... I'm Max

	12.df.37@144@d-om-41@Да, мам... Это Макс, брат моей одноклассницы... Помогает мне с уроками... А это мама, Диана...|Hi, mom... This is Max, he's a brother of one of my classmates... He's helping me out with my homework. This is my mom, Diane.
		12.df.38^		Очень приятно!|Very nice to meet you!

	12.df.38@57@Мне тоже... Надеюсь, Оливка тебя предупредила насчёт... наших убежданий?|Me too. Did Livvy warn you about our lifestyle?
		12.df.39^		Да, я...|Yes, I've heard

	12.df.39@141@Вот этого я и боялась... Мам, ну прикройся! И почему ты дома?|That's exactly what I was afraid of... Cover yourself, mom! Why are you home so early?
		12.df.40^		<i>далее</i>|<i>continue</i>

	12.df.40@52@Да, прошу прощения за мой вид... На людях мы обычно одеваемся скромнее... точнее, одеваемся... Всё, не буду вас смущать...|Oops... I'm sorry for looking like this. We usually dress up more conservatively when we have guests... By dressing up... Okay, I'll go now.
		12.df.41^		<i>далее</i>|<i>continue</i>

	12.df.41@141@d-om-5@Вот ты и познакомился с моей мамой... Чего-то такого я и боялась, потому и не хотела, чтобы она тебя видела...|And that, kids, is how he's met my mother... This is what I was afraid of and why I didn't want you to meet her.
		12.df.42^		И долго ты планировала меня от неё скрывать?|And for how long were you hoping to hide me from her?

	12.df.42@142@Столько, сколько это возможно! Но уже поздно. Похоже, ты ей понравился... Хотя, ей все мальчики нравятся. Даже к Алексу приставала...|For as long as I could! Well, it's all spilled milk now... I think she likes you. She likes all guys, though. She even hit on Alex...
		12.df.43^		Даже?|Even?

	12.df.43@141@d-om-4@Ну блин, Макс, он же мой одноклассник... Да и парнем я его тогда считала... Но ей это ни капли не помешало флиртовать, да ещё как!|I mean, he was my classmate, my boyfriend, and a grade A moron on top of that. And none of that stopped her from flirting with him!
		12.df.44^		Хм...|I see

	12.df.44@143@Думаю, сегодня с уроками я сама справлюсь. У тебя всё равно мысли все не о том, похоже... Какой-то ты заторможенный сразу стал...|I think I'll finish this by myself today. You won't be able to focus on our lessons anyway. You act like all of your blood suddenly went away from your brain somewhere else...
		12.df.45^		Не, тебе показалось...|No I don't!

	12.df.45@142@d-om-5@Кстати, мама нашла деньги и я записалась к репетитору.|By the way, mom has found some money to get me a tutor.
		12.df.46^		Когда будешь ходить?|When are the lessons?

	12.df.46@140@Сразу после школы, каждый день...|Every day right after school.
		12.df.47^		Значит, моя помощь больше не нужна?|Does this mean you don't need my help anymore?

	12.df.47@142@d-om-4@Почему же? Мне нравится с тобой заниматься. Всё становится понятно. Да и репетитор у меня по одному предмету, а ты и с другими помочь можешь...|No, it doesn't. I like spending time with you, you're good at explaining things. Plus I only have a tutor for one class, you can always help me with the rest if you want.
		12.df.48^		А как мы будем встречаться теперь?|Okay, when are we going to study then?

	12.df.48@141@Так... ну самые сложные предметы в школе у меня в среду и понедельник. Поэтому, лучше заниматься также, во вторник и пятницу, но после репетитора...|My hardest classes are on a Monday and Wednesday, so we should keep studying on Tuesday and Friday, but not right after school.
		12.df.49^		И куда мне приходить?|Where will we study?

	12.df.49@142@d-om-5@Раз уж для моей мамы ты больше не секрет, то можешь приходить ко мне домой, часиков в 5 вечера. Дорогу же запомнил?|Well, since there's no point in hiding you from mom anymore, you can visit here. How about 5 p.m.? Do you remember the way here?
		12.df.50^		Конечно!|Yes

	12.df.50@143@Тогда, до встречи, Макс!|Till next time then, Max.
		leave!set_otn_8!set_poss.oli_4!set_can.go.oli_1!set_dcd.lilo_2!time_2^			Пока, Оливия!|Bye, Olivia



# --- 0.12: Макс приходит к Оливии домой один

	12.dg.0@0@d-om-34@<i>Внутри включен свет, значит, кто-то есть дома...</i>|<i>The light is on, someone's home...</i>
		otn=8&12.dg.1^		<i>постучаться</i>|<i>knock</i>
		otn=9&12.dh.0^		<i>постучаться</i>|<i>knock</i>
		otn=10&12.di.0^		<i>постучаться</i>|<i>knock</i>
		otn=11&12.dj.0^		<i>постучаться</i>|<i>knock</i>
		otn=12&12.dk.0^		<i>постучаться</i>|<i>knock</i>



# --- 0.12: Визит №1

	12.dg.1@53@d-om-35@Макс... Рада тебя видеть! Ты к Оливке?|Glad to see you, Max. Are you here for Livvy?
		12.dg.2^		Здравствуйте...|Hi

	12.dg.2@57@Со мной лучше на ты. Особенно после того, как ты видел меня голой...|I hope I didn't scare you away after you saw me naked.
		12.dg.3^		Хорошо...|No, you didn't
		12.dg.3b^		А почему вы... ты одета?|Can I ask you why you aren't naked now?

	12.dg.3b@51@Что, разочарован? Меня Оливка отчитала за тот раз, так что, я больше не смущаю её друзей. Ну и я видела тебя в окно, накинула халатик...|Are you disappointed I'm not? Livvy scolded me after last time, so I'm going to try not to make you uncomfortable. I've noticed you from the window and put on the robe.
		12.dg.3^		Ясно...|I see

	12.dg.3@53@Ой, что это я тебя держу в дверях. Проходи, Макс. Оливка наверху, только что вернулась...|Oh, sorry for keeping you outside, please, come in. Livvy is upstairs, she just came back.
		12.dg.4^		Хорошо...|Okay

	12.dg.4@4@d-om-36@<i>Не очень-то она и заигрывает со мной... Видимо, Оливка... Оливия ревнует. Интересно, какие у них отношения?</i>|<i>I didn't notice much flirting right now... Maybe Livvy... Olivia is just jealous. I wonder what kind of relationship they have.</i>
		12.dg.5^		<i>войти в комнату Оливии</i>|<i>enter Olivia's room</i>

	12.dg.5@142@d-om-2@Ой, Макс! Так здорово, что ты сегодня пришёл! У меня такое сложное задание, я никак не могу разобраться...|Hi, Max, I'm so grad you came! I have a problem here, could you explain it to me, please?
		12.dg.6^		Давай помогу...|Let me see

	12.dg.6@146@d-om-3@Я бы переоделась, но... у меня даже нет домашней одежды. Так что, буду в этой дурацкой форме, хорошо?|I'd change, but... I don't really have “home” clothes, you know? Is it okay with you, if I'll stay in my school uniform?
		12.dg.7^		Можешь её снять...|You can take it off, if you want

	12.dg.7@141@Ого! Макс умеет шутить? Сниму. Обязательно сниму. Но потом... Присаживайся.|Oh, I definitely will... But now right now. Let's move on the bed.
		12.dg.8^		Ух...|<i>continue</i>

	12.dg.8@140@d-om-4@Как тебе моя мама?|So, what do you think about my mom?
		12.dg.9^		В каком смысле?|What do you mean?

	12.dg.9@142@Ну, ты видел её голой... Понравилась?|You've seen her naked. Did you enjoy it?
		12.dg.10^		Ну... д-да, красивая...|Oh... Y-yeah, she's pretty...
		12.dg.10b^		Ничего так...|Oh yeah, she's hot

	12.dg.10b@143@Ничего так? Она моя мама! И очень красивая, правда?|She's my mom, Max, don't forget about it. But she's very pretty, don't you think?
		12.dg.10^		П-правда...|Yeah

	12.dg.10@141@d-om-5@Так я и думала! И тебя она очаровала своими сиськами... Алекс тоже заикался два дня... Ой, не будем о нём больше... Давай заниматься?|I knew it! She charmed you with her boobs already... Alex lost his speech for like two days after he saw her for the first time... I'm sorry, I'll try not to bring him up anymore... Let's study.
		12.dg.11^		Конечно!|Sure

	12.dg.11@4@d-om-7@<i>Интересно, а о чём ещё я должен теперь думать, когда одна девчонка рядом со мной без трусиков, а её мама ходит по дому голой? Эх...</i>|<i>How am I supposed to concentrate on studies when there's a beautiful girl without panties right next to me and another naked one in the same house...?</i>
		12.dg.12^		<i>заниматься</i>|<i>study</i>

	12.dg.12@55@d-om-21@Дети, у вас всё хорошо? Может быть, принести какие-то напитки?|How are you two doing over here? Do you want something to drink or some snacks?
		12.dg.13^		<i>далее</i>|<i>continue</i>

	12.dg.13@141@d-om-22@Мам, у нас всё хорошо, спасибо, не надо... А ты не могла найти покороче халатик? Я же просила тебя...|We're fine, mom, thanks. Is this the shortest robe you have? Couldn't you find something more appropriate?
		12.dg.14^		Да всё в порядке...|It's fine...
		12.dg.14^		<i>промолчать</i>|<i>keep quiet</i>

	12.dg.14@58@Оливка, хватит меня отчитывать! Я же оделась, как ты и просила. А если не нравится, то я могу и снять...|Stop nagging, Livvy. I'm wearing something, just like you asked me. If you don't like what I'm wearing, I can take it off.
		12.dg.15^		<i>далее</i>|<i>continue</i>

	12.dg.15@141@Мам, ты не могла бы оставить нас одних? Мы тут как бы занимаемся делом...|Can you please leave us alone? We're trying to study here.
		12.dg.16^		<i>далее</i>|<i>continue</i>

	12.dg.16@57@d-om-21@Я хотела как лучше. Но ладно, ладно, ухожу... А вы... не шалите!|I just wanted to offer some snacks, that's all. Fine, fine, I'm leaving. Be good!
		12.dg.17^		Хорошо...|Okay

	12.dg.17@142@d-om-9@Вот она всегда такая... То грудь у её «случайно» вывалится, то «забудет» одеться... Не знаю, почему её это забавляет...|She's always like this. Either her breast would “accidentally” pop out, or she'd “forget” to put her clothes on... I don't know what's so funny about it...
		12.dg.18^		Да не парься!|Just don't react to it and she'll stop doing it

	12.dg.18@143@Я и не парюсь. Как только ты уйдёшь, мы обе разденемся и всё будет как обычно... Но когда кто-то приходит, мама превращается в какого-то суккуба...|No she won't, she's not doing it to annoy me. She's more of a... succubus.
		12.dg.19^		Ого...|Wow

	12.dg.19@141@Даже подружек соблазняла, представляешь? При них вообще не одевалась, притворялась «убеждённой натуристкой»...|She even tried to seduce my girl friends, can you imagine? She doesn't even bother wearing anything at all with them, she just pretends to be a “devoted naturist”...
		12.dg.20^		И что плохого?|And how do you friends react to this kind of behavior?

	12.dg.20@146@А то, что теперь ко мне никто толком и не ходит. Подруги считают, что мама с приветом...|No one ever comes to my house anymore, that's how. All my girl friends think my mom is super weird.
		12.dg.21^		А парни?|And what about boy friends?

	12.dg.21@140@Парни? Какие? Я сейчас ни с кем не встречаюсь. Если не считать тебя, конечно. Но ты же не мой парень, верно?|I don't have those. Well, no one but you. But you're not my boyfriend, are you?
		12.dg.22^		Мог бы быть...|I could be

	12.dg.22@142@Правда? А тебе этого хочется?|Really? Would you want to be?
		12.dg.23^		Конечно!|Of course!

	12.dg.23@141@Даже несмотря на мою озабоченную маму?|Despite my perverted mom?
		12.dg.24^		Вообще не проблема! <i>(даже наоборот)</i>|Oh, that is <i>not</i> a problem

	12.dg.24@142@Ты мне тоже нравишься... Но мы отвлекаемся, кажется... Продолжим?|I like you too... But we're here for the lessons. Should we continue?
		12.dg.25^		<i>поцеловать Оливию</i>|<i>kiss Olivia</i>

	12.dg.25@4@d-om-10@<i>В этот раз она не стала возражать... Наоборот, даже потянулась сама... Ох, какие горячией губки, язычок... Определённо, ей нравится...</i>|<i>No complains this time... She's kissing me back... Her lips are so hot...</i>
		12.dg.26^		<i>продолжать</i>|<i>continue</i>

	12.dg.26@3@d-om-11@<i>Кажется, мы можем делать это вечно... Неужели, у меня появится девушка? Ещё одна? Прикольно!</i>|<i>I could do this forever... Do I have a girlfriend now? Another one? That's cool!</i>
		12.dg.27^		<i>далее</i>|<i>continue</i>

	12.dg.27@141@d-om-13@Макс... хватит... а вдруг, мама снова зайдёт? И... мы уж точно закончили с уроками... Давай, в другой раз продолжим?|We should stop, Max... What if mom comes in? And since we're done with today's lesson... Let's stop for today, okay?
		12.dg.28^		Конечно!|Sure

	12.dg.28@142@d-om-9@Кажется, тебе пора... Макс. Буду ждать... этого другого раза...|I think you should go now, Max. I'll be waiting for our next time...
		12.dg.29^		Я тоже...|Me too

	12.dg.29@141@d-om-2@И Макс... Только не поддавайся чарам моей мамы, хорошо?|And Max... Please don't fall for mom's tricks, okay?
		leave!set_otn_9!time^		Конечно! Пока, Оливия!|Of course. Bye, Olivia



# --- 0.12: Визит №2

	12.dh.0@51@d-om-35@А, Макс! Здорово, что ты пришёл. Я как раз о тебе думала... Проходи! Оливка ещё не вернулась. Можешь подождать её в комнате...|Hi, Max. Glad to see you. I was just thinking about you... Come on in, Olivia hasn't come home yet. You can wait for her in her room.
		12.dh.1^		Хорошо, Диана...|Thanks, Diane

	12.dh.1@4@d-om-36@<i>И снова никаких намёков или приставаний... Видимо, Оливка преувеличивает... А жаль...</i>|<i>No innuendos or flirting... I guess Olivia was exaggerating... Oh, well...</i>
		12.dh.2^		<i>идти в комнату Оливии</i>|<i>go into Olivia's room</i>

	12.dh.2@2@d-om-23@<i>Ну что же, подожду Оливию здесь. Интересно, зачем ей такая большая кровать? Может быть, просто не было другой? Хм...</i>|<i>I guess I'll have to wait for Olivia for a bit. Why does she have such a huge bed... Maybe that's what was available?</i>
		12.dh.3^		<i>сесть на кровать</i>|<i>sit on the bed</i>

	12.dh.3@3@d-om-24@<i>И как долго её ждать, интересно? Хотя, я никуда не тороплюсь...</i>|<i>I wonder how long do I have to wait for Olivia... Not that I'm in rush or anything.</i>
		12.dh.4^		<i>ждать Оливию</i>|<i>wait for Olivia</i>

	12.dh.4@144@d-om-38@Макс! Что ты тут делаешь? А если бы я разделась и вошла голая? Кто тебя впустил? Мама?|Max? What are you doing here? What if I were naked? Who let you inside? Was it my mom?
		12.dh.5^		Э... Ну да...|Well, yeah...

	12.dh.5@146@Извини, я на тебя набросилась... Просто, я действительно могла сначала принять душ и войти в комнату голой...|Oh, sorry for attacking you like that... It's just, I could've decided to take a shower first and then enter my room naked...
		12.dh.6^		Ты стесняешься?|Are you shy?

	12.dh.6@140@d-om-4@Нет, не стесняюсь. Но дело не в этом... Просто, мне хочется, чтобы ты не воспринимал меня как какую-то девушку лёгкого поведения, понимаешь?|No, but I don't want you to think I'm a slut...
		12.dh.7^		Я так и не думал!|Why would I think something like this? Especially since it would've been an accident

	12.dh.7@146@d-om-9@Очень на это надеюсь, Макс... Ты мне нравишься и... я очень хочу, чтобы это не было игрой...|I hope so... It's just... I like you and I really hope it's not just a game for you...
		12.dh.8^		Я и не играю!|I'm not playing!

	12.dh.8@142@Посмотрим... А пока... Может быть, займёмся уроками? Кажется, мама ушла и нас не побеспокоит...|We'll see... But for now, how about we start our lesson? I think mom left and we won't be interrupted...
		12.dh.9^		Конечно!|Sounds great!

	12.dh.9@4@d-om-7@<i>Итак, Оливия хочет романтических отношений... Значит, нужно держать себя в руках... Или не обязательно?</i>|<i>So, Olivia wants some romance... Does this mean I have to behave like a gentleman? Or does it...</i>
		12.dh.10^		<i>заниматься</i>|<i>study</i>

	12.dh.10@141@d-om-9@Знаешь, я много думала после... того поцелуя...|I've been thinking about our... kiss...
		12.dh.11^		Я тоже...|Me too
		12.dh.11^		И что надумала?|And?

	12.dh.11@140@Может быть, мы могли бы...|Maybe we could...
		12.dh.12^		Предлагаешь встречаться?|Are you trying to ask me out?
		12.dh.12b^		Могли бы...|We could...

	12.dh.12b@141@Ты о чём?|What are you talking about?
		12.dh.12b.2^	А ты?|What are <i>you</i> talking about?

	12.dh.12b.2@140@Ну я то знаю о чём я, а ты? Или будешь ждать, пока я скажу?|I know what I'm talking about but, but I don't know what you are talking about. Or are you going to wait until I say it first?
		12.dh.12^		Предлагаешь начать встречаться?|Are you trying to ask me out?

	12.dh.12@141@Я предлагаю? Может быть, это ты хотел предложить?|Me? Are you sure you're not the one who's trying to ask me out?
		12.dh.13a^		Хотел бы...|Yes I am...
		12.dh.13b^		Может быть...|Maybe...

	12.dh.13a@142@Если хотел бы, то предложил бы, правда?|So, are you trying or are you asking?
		12.dh.13^		Ты хочешь быть моей девушкой?|Do you want to be my girlfriend?

	12.dh.13b@143@Может быть? А может и не быть? Или может быть, ты наконец-то сам скажешь?|Maybe? Or maybe not? Or maybe you finally say it properly?
		12.dh.13^		Ты хочешь быть моей девушкой?|Do you want to be my girlfriend?

	12.dh.13@142@Неужели, я от тебя это услышала? Невероятно! Хотя, если ты бы не сказал это, я сама предложила бы... прямым текстом...|Did I finally manage to pry it out of you? Hooray! I almost had to ask you myself...
		12.dh.14^		Ух ты!|I'm glad you feel the same way

	12.dh.14@143@Да, я согласна, конечно. Просто, обычно всё не так происходит... Как мне кажется... И ситуация эта и обстановка... и... а, не важно...|Oh, yeah, obviously. That might be not the most... traditional way to ask someone out, but... Who cares anyway.
		12.dh.15^		Значит, ты моя девушка?|So, you're officially my girlfriend now

	12.dh.15@141@Ну да! А ты мой парень... Не знаю, что теперь...|Yes, and you are my boyfriend. So, now what?
		12.dh.16^		<i>поцеловать Оливию</i>|<i>kiss Olivia</i>

	12.dh.16@4@d-om-11@<i>А вот что! Итак, у меня две девушки... Интересно, Лиза не будет возражать? Или ей пока не обязательно об этом знать?</i>|<i>This! I have two girlfriends now... I hope Lisa doesn't have anything against this idea... Not that she needs to know...</i>
		12.dh.17^		<i>далее</i>|<i>continue</i>

	12.dh.17@3@d-om-10@<i>Интересно, а то, что она теперь моя девушка, даёт мне право сделать... вот так...</i>|<i>So, if Olivia is now my girlfriend, does this mean I can do... this?</i>
		12.dh.18^		<i>обнять Оливию</i>|<i>hug Olivia</i>

	12.dh.18@4@d-om-14@<i>Ого... Моя рука на её попке и... она не против? Любопытно... А если вот так...</i>|<i>Wow, my hand is on her ass and... she doesn't mind? Interesting... And what if I...</i>
		12.dh.19^		<i>опустить руку ниже</i>|<i>go lower</i>

	12.dh.19@3@d-om-15@<i>Ох, какая нежная кожа... Так и хочется запустить руку под эту юбку... А если...</i>|<i>Her skin is so smooth... I want to touch her under her skirt... What if I...</i>
		12.dh.20^		<i>далее</i>|<i>continue</i>

	12.dh.20@148@d-om-12@Эй! Макс! Что ты себе позволяешь? То, что мы теперь вместе не значит, что я стала... и я... блин...|Hey, Max! What do you think you're doing!? We just started dating, like, five minutes ago, hold your horses!
		12.dh.21^		Извини, Оливия, я просто подумал...|Sorry, I got lost in the moment

	12.dh.21@141@Да я уже поняла, что именно ты подумал... Но нет, так нельзя... Ты слишком торопишься, я не хочу, чтобы было как с Алексом... Ой, опять о нём...|Yes, well, keep yourself in check. You can't do this right away... I don't want us to do it like we did with Alex... I'm sorry I brought him up again...
		12.dh.22^		<i>далее</i>|<i>continue</i>

	12.dh.22@146@d-om-9@Извини, не буду о нём больше... Ты мне нравишься. И я хочу быть с тобой, но... не спеши, ладно?|I'm sorry, I won't mention him again. I like you and I want to be with you, but... We'll get there, okay?
		12.dh.23^		Конечно, Оливка!|Of course, Livvy

	12.dh.23@141@Оливка? Так меня мама зовёт... И Алекс звал... Давай я буду для тебя Оливией, хорошо?|Livvy? That's how my mom calls me... And how Alex called me... Can you please call me Olivia?
		12.dh.24^		Хорошо, как скажешь...|Okay, I will

	12.dh.24@142@И ещё... Кажется, тебе пора. Сейчас может прийти мама и... я не хотела бы, чтобы она... В общем, не важно...|And... I think you should go. Mom is going to return soon and I don't want her to... You know...
		12.dh.25^		Я всё понял...|Okay, I'll go

	12.dh.25@143@d-om-2@Спасибо тебе за помощь, Макс! И... Буду ждать с нетерпением следующего раза!|Thanks again for the help, Max! I'll be waiting for your next visit!
		leave!set_otn_10!set_dcd.lilo_1!time^			Конечно! Пока, Оливия!|Of course. Bye, Olivia



# --- 0.12: Визит №3

	12.di.0@51@d-om-35@А, Макс! Здорово, что ты пришёл. Увидела тебя в окно и оделась... Ты же не против?|Hi, Max. I'm glad you came. I've seen you in the window and put on this robe. You don't mind, do you?
		12.di.1^		Э... нет...|Em... no

	12.di.1@55@Такой стеснительный... Ну, беги в комнату к Оливке... Правда, её пока нет, но скоро придёт...|So shy... Well, run along to Livvy's room. She's not there yet, though.
		12.di.2^		Ага...|Okay

	12.di.2@4@d-om-36@<i>А вот и намёки появились... Интересно, ей просто нравится флиртовать или это всё... с какой-то целью?</i>|<i>That sounded like innuendo... I wonder if she just likes flirting or is there a point to all this...</i>
		12.di.3^		<i>идти в комнату Оливии</i>|<i>go to Olivia's room</i>

	12.di.3@2@d-om-24@<i>Что-то долго нет Оливии... Но я никуда не спешу, можно ещё подождать...</i>|<i>Olivia still isn't here... Not that I'm in a hurry...</i>
		12.di.4^		<i>ждать Оливию</i>|<i>wait for Olivia</i>

