# --- 0.3: Приезд Киры|Kira's Ankunft

	specialevent.4@75@e-meet-eric-1@Ну что, дети, дождались? Встречайте, к нам приехала тётя Кира!|He, Kinder, kommt her! Hier ist Tante Kira!
		kira.oldstory.15^		А после?|Und danach?

	kira.oldstory.15@100@А после... Мы как-то поссорились и я потребовала, чтобы она сделала за меня домашнюю работу... И представляешь, она покорно согласилась! Я тогда подумала, что просто повезло.|Und nachdem.... Einmal hatten wir einen Streit und ich verlangte von ihr, dass sie meine Hausaufgaben macht.... Und das tat sie! Zuerst dachte ich, ich hätte Glück gehabt.
		kira.oldstory.16^		Видимо, не в этом дело?|Aber es ist nicht der Fall, oder?

	kira.oldstory.16@103@Да. Однажды, когда нашей мамы не было дома, мы позвали друзей на ночь, устроили вечеринку. Хорошо отдохнули, но на утро весь дом был вверх дном. И я потребовала, чтобы Аня прибралась сама...|Nein. Ein anderes Mal war unsere Mutter nicht zu Hause, also luden wir Freunde über Nacht ein und feierten. Es war eine tolle Party, aber am nächsten Morgen stand das ganze Haus auf dem Kopf. Und ich forderte sie auf, alles alleine aufzuräumen.
		kira.oldstory.17^		Видимо, она и прибралась?|Und das tat sie?

	kira.oldstory.17@112@Именно! Представляешь? Вот тогда я и поняла, что она стала с радостью подчиняться чужой воле. Так что, я думаю, что тут дело не в вашем Эрике, а скорее, в самой маме...|Ja, kannst du dir das vorstellen? Und da wurde mir klar, dass sie sich gerne dem Willen von jemandem unterwirft. Also denke ich nicht, dass Eric das Problem ist, es ist wahrscheinlich deine Mom....
		kira.oldstory.18^		Но Эрик всё равно козёл!|Aber Eric ist immer noch ein Arschloch!

	kira.oldstory.18@114@А кто спорит? Одно другому не мешает. Зато теперь ты лучше понимаешь что творится в голове твоей мамы. Ну или как минимум, что-то разъяснилось, верно?|Ich stimme zu, aber die beiden sind nicht die einzigen. Jetzt solltest du deine Mom besser verstehen.
		kira.oldstory.19^		Значит, если я прикажу что-то, то она сделает?|Du sagst also, wenn ich ihr befehle, dass sie auf mich hört?

	kira.oldstory.19@113@Что-то я сомневаюсь. Вы же её дети и к вам у неё особое отношение. К тому же, тут сильнее всего материнский инстинкт... Постой, а что ты собрался ей приказывать?|Das bezweifle ich. Du bist ihr Sohn, sie hat eine besondere Beziehung zu dir. Ihr mütterlicher Instinkt wird sie überzeugen.... Warte, welchen Befehl wolltest du ihr geben?
		kira.oldstory.20^		Нет, нет, ничего...|Nichts Besonderes....

	kira.oldstory.20@114@Понятно. Ну, хотела бы я посмотреть, как ты пытаешься. Спорим, по заднице получишь в тот же момент!|Richtig. Nun, ich würde gerne sehen, wie du es versuchst. Sie würden sich wahrscheinlich sofort ihren Arsch versohlen lassen!
		kira.oldstory.21^		Да, есть такое подозрение...|Ja, wahrscheinlich

	kira.oldstory.21@101@Кстати, нас в детстве тоже пороли. Правда, до гола не заставляли раздеваться. Видимо, это уже инициатива Эрика. Кстати, забавная инициатива и вроде даже эффективная...|Übrigens, als wir Kinder waren, wurden wir auch verprügelt. Aber nicht nackt. Ich schätze, es ist Erics Initiative. Irgendwie lustig, obwohl, und sieht so aus, als wäre es effektiv.
		kira.oldstory.22^		И это очень унизительно!|Das ist sehr erniedrigend!

	kira.oldstory.22@114@Да, да, я именно так и сказала. Ну это уже не моё дело. Как вас воспитывать будет решать ваша мама. Я могу лишь понаблюдать со стороны на всё это...|Ja, das habe ich gesagt. Wie auch immer, es geht mich nichts an. Deine Mom entscheidet, wie sie dich großzieht, nicht ich. Ich kann nur zusehen.
		kira.oldstory.23^		Ясно. Ну, спасибо за историю. Теперь многое стало понятно!|Ich verstehe. Nun, danke für die Geschichte, sie erklärt so viel!

	kira.oldstory.23@113@Да не за что. Мне кажется, что ты должен знать. Может быть, теперь сможешь лучше понять свою маму и не будешь так резко реагировать на эти её отклонения...|Gern geschehen. Ich denke, du hättest es wissen müssen. Vielleicht verstehst du deine Mom besser und reagierst nicht so stark, wenn sie sich.... seltsam verhält.
		leave!set_poss.aunt_12!set_dcd.kiratalk_1^		Да, спасибо!|Ja, vielen Dank!



# --- 0.4: Спрашиваем у Киры насчёт травки|Fragen an Kira wegen Gras

	kira.aboutganja.init@0@У меня к тебе есть одно дело...|Ich habe ein Problem
	kira.aboutganja@101@Рассказывай, какое...|Okay, erzähl mir davon.
		kira.aboutganja.step.2^			Я не уверен, что с тётей стоит о таком говорить...|Ich weiß nicht, ob ich mit meiner Tante darüber reden soll....

	kira.aboutganja.step.2@109@Макс, я не пойму... ты шутишь? Давай, выкладывай, что там у тебя за проблема.|Machst du Witze, Max? Sag es mir einfach.
		kira.aboutganja.step.3^			В общем, мне нужно раздобыть немного травки...|Ich brauche etwas Gras....

	kira.aboutganja.step.3@102@Ты же не о той траве, что для газонов, да? Шучу, я тебя поняла... Постой, ты куришь?!|Du redest nicht über Gras vom Rasen, oder? Nur Spaß, ich verstehe dich... Warte, rauchst du?
		kira.aboutganja.step.4^			Это не для меня...|Es ist nicht für mich.

	kira.aboutganja.step.4@104@Ладно, не буду мучать тебя вопросами. Ну да, в наше время всё можно достать. Только ты же понимаешь, что это не дёшево?|Okay, ich werde dich nicht mit Fragen belästigen. Nun, wir leben in einer wunderbaren Zeit und du kannst alles bekommen, was du willst. Du weißt, dass es nicht billig ist, oder?
		kira.aboutganja.step.5^			А сколько это стоит?|Wie viel kostet es?

	kira.aboutganja.step.5@102@Сейчас? Понятия не имею. Я давно не баловалась... Ладно, дай мне несколько дней. Я поспрашиваю у своих и что-нибудь придумаем. Хорошо?|Jetzt gleich? Ich weiß nicht, ich habe lange nicht geraucht.... Gib mir ein paar Tage. Ich frage herum und wir überlegen uns was, okay?
		kira.aboutganja.step.6^			Конечно! Ты - лучшая!|Natürlich! Du bist die Beste, Tantchen!

	kira.aboutganja.step.6@103@Ну если так, то может быть вместе с тобой покурим... Хотя, нет, что я говорю. Да и ты не куришь...|Vielleicht rauchen wir es sogar zusammen.... Obwohl es wahrscheinlich nicht die beste Idee ist. Und du rauchst sowieso nicht....
		leave!set_poss.ganja_5!set_dcd.kiraganja_3^		Как знать...|Wer weiß....



# --- 0.4: Кира договорилась насчёт травки|Kira hat Gras bekommen.

	kira.doneganja.init@0@Есть какие-то новости насчёт... ну, ты знаешь...|Hast du irgendwelche Neuigkeiten über.... du weißt schon....
	kira.doneganja@101@Понятия не имею о чём речь, Макс! Шутка. Да, я обо всём договорилась...|Ich habe absolut keine Ahnung, wovon du redest! Ich mache nur Spaß. Ja, ich habe eine Grasquelle für dich gefunden, kein Problem.
		kira.doneganja.step.2^			Вау! Супер! Рассказывай!|Wow! Super! Sag mir

	kira.doneganja.step.2@100@В общем, один мой хороший знакомый выращивает её для себя, но не только. И часть продаёт своим людям. Ты теперь один из них... Я за тебя поручилась.|Nun, mein guter Freund baut etwas an. Vor allem für sich selbst, aber auch für seine guten Freunde. Und jetzt bist du einer von ihnen, ich habe mich für dich verbürgt.
		kira.doneganja.step.3^			Круть! А подробности...|Großartig! Was noch?

	kira.doneganja.step.3@103@У него есть свой сайт. Там оплачиваешь, а домой к тебе уже обычный курьер принесёт твой... заказ.|Nun, er hat seine Website, du bezahlst, und der Kurier bringt deine Bestellung zu dir nach Hause.
		kira.doneganja.step.4^			А курьер знает, что там?|Und weiß der Kurier, was drin ist?

	kira.doneganja.step.4@101@Понятия не имею. Я не в теме. Но это всё работает и работает хорошо. Цен не знаю, посмотришь на сайте. Но не слышала, чтобы кто-то жаловался...|Ich habe keine Ahnung. Aber das System funktioniert, und es funktioniert gut. Ich kenne keine Preise, du wirst alles auf der Seite sehen. Aber ich habe noch nie eine Beschwerde gehört.
		kira.doneganja.step.5^			Кира - ты лучшая!|Du bist die Beste, Tantchen!

	kira.doneganja.step.5@113@Макс... Ты повторяешься. Мог бы придумать какие-то новые комплименты. Ведь я не только спасла тебя от неприятностей, но и помогла с таким деликатным вопросом...|Du wiederholst dich, Max. Du hättest dir ein paar neue Komplimente einfallen lassen können, ich habe dir nur so viel geholfen....
		kira.doneganja.step.6^			Ты - супер!|Du bist so toll!
		kira.doneganja.step.6^			Ты - умничка!|Du bist fantastisch!
		kira.doneganja.step.6^			Ты - великолепна!|Du bist perfekt!

	kira.doneganja.step.6@114@Ладно, сойдёт. Ну, если будут ещё вопросы или проблемы, не стесняйся, делись. Может быть ещё с чем-то смогу помочь...|Eh, gut genug. Nun, wenn du noch mehr Fragen hast, frag einfach.
		leave!set_poss.ganja_6^			Обязательно!|Natürlich!



# --- 0.4: Разговор с Кирой насчёт проблемы Кати|Gespräch mit Kira über Kates Problem

	kira.aboutlesbi.init@0@Я хочу кое-что обсудить...|Ich möchte etwas besprechen....
	kira.aboutlesbi@113@Конечно, Макс! Для тебя у меня всегда время найдётся. Так в чём дело?|Natürlich, Max, ich habe immer Zeit für dich. Worum geht es dabei?
		kira.aboutlesbi.step.2^			Ты знаешь, как мама относится к... однополой любви?|Weißt du, was Mom mit Schwulen macht?

	kira.aboutlesbi.step.2@114@Ого, Макс, на мальчиков потянуло? Ты меня удивляешь!|Wow, Max. Willst du etwas Boylove probieren? Du überraschst mich!
		kira.aboutlesbi.step.3^			Блин. И ты туда же... Нет, конечно!|Nicht du auch noch.... Nein, so etwas will ich nicht!

	kira.aboutlesbi.step.3@104@Хорошо. Тогда к чему этот вопрос? Тебе просто любопытно как твоя мама вообще относится к геям и лесбиянкам или что-то конкретное?|Okay, worum geht es dann in dieser Unterhaltung? Bist du nur neugierig auf die Haltung deiner Mom zu Schwulen und Lesben oder hast du etwas Bestimmteres im Sinn?
		kira.aboutlesbi.step.4^			Ну, да, к лесбиянкам, например...|Ja, speziell über Lesben....

	kira.aboutlesbi.step.4@113@Ну ты можешь сам её об этом спросить. Представляю, куда она тебя пошлёт...|Nun, du kannst sie selbst fragen. Ich kann mir vorstellen, was sie dir sagen wird....
		kira.aboutlesbi.step.5^			Вообще-то уже послала. Значит, знаешь...|Das hat sie bereits. Also, du weißt schon....

	kira.aboutlesbi.step.5@114@Конечно! Она же моя сестра. Я всё о ней знаю. Но ты так и не ответил, к чему это всё?|Natürlich tue ich das! Sie ist meine Schwester, ich weiß alles über sie. Aber du hast mir immer noch nicht gesagt, worum es hier geht.
		kira.aboutlesbi.step.6^			А её можно переубедить по этому вопросу?|Können wir ihre Meinung zu diesem heißen Thema ändern?

	kira.aboutlesbi.step.6@104@Макс! Мне же любопытно. Хочу всё знать! Что ты задумал?|Ich will wissen, warum du das willst, Max.
		kira.aboutlesbi.step.7^			<i>рассказать всё про Катю и Алису</i>|<i>erzähl ihr alles über Kate und Alice.</i>

	kira.aboutlesbi.step.7@100@Хм... Удивительно, что они с тобой этим поделились...|Hm.... Ich habe nicht erwartet, dass sie das mit dir teilen....
		kira.aboutlesbi.step.8^			Постой... Ты всё знала?!|Warte, du wusstest es!?

	kira.aboutlesbi.step.8@114@Конечно! Я же лучшая в мире тётя! Алиса от меня не очень много скрывает. К тому же, они у меня ночевали несколько раз и там я всё сама поняла...|Natürlich. Ich bin die beste Tante der Welt, erinnerst du dich? Alice verbirgt nicht viel vor mir. Außerdem sind sie ein paar Mal bei mir übernachtet, also habe ich es damals herausgefunden.
		kira.aboutlesbi.step.9^			Ого...|Wow...

	kira.aboutlesbi.step.9@104@Значит, ты вызвался помочь Кате, получил отказ от мамы и пришёл ко мне за советом?|Also, du hast beschlossen, Kate zu helfen, hast eine negative Reaktion von deiner Mom bekommen und bist zu mir gekommen um dir Rat zu holen, richtig?
		kira.aboutlesbi.step.10^		Ну... Или помощью...|Nun, das oder Hilfe....

	kira.aboutlesbi.step.10@113@Забавно. А как ты хочешь, чтобы я помогла? Провела разъяснительную беседу среди твоей мамы, что лесбиянки это нормально и её дочь трахается с одной из них?|Lustig. Also, welche Art von Hilfe schwebt dir vor? Willst du, dass ich deine Mom in irgendeiner Art von Maßnahme erziehe, dass es völlig in Ordnung ist, schwul zu sein, und es ist nichts falsch daran, dass ihre Tochter ein anderes Mädchen fickt?
		kira.aboutlesbi.step.11^		А можно?|Kannst du das?

	kira.aboutlesbi.step.11@114@Ох, Макс... К такому не подготовить вот так одним разговором. Это нужен комплексный подход. Целый план! Вот скажи, у тебя есть план?|Oh, Max.... Man kann die Weltanschauung einer Person nicht in einem einzigen Gespräch ändern. Wir brauchen einen Plan. Hast du einen?
		kira.aboutlesbi.step.12^		Нет...|Nein...

	kira.aboutlesbi.step.12@113@А у меня есть! Всё равно делать нечего, а эта твоя просьба для меня как вызов! Ух, как она возмущалась, когда увидела, как я целовалась с её подругой...|Das tue ich. Ich habe sowieso nichts zu tun, und das ist eine schöne Herausforderung.... Oh, wie sie schrie, als sie sah, wie ich ein anderes Mädchen küsste....
		kira.aboutlesbi.step.13^		Подругой?! Какой ещё подругой?|Welches Mädchen!

	kira.aboutlesbi.step.13@114@Ой, Макс, забей! Это старая история и к делу отношения не имеет. В общем, я пообщаюсь с твоей мамой. О результатах дам знать...|Egal, es ist eine alte und irrelevante Geschichte. Wie auch immer, ich werde mit deiner Mom reden und dir die Ergebnisse mitteilen.
		kira.aboutlesbi.step.14^		Спасибо!|Danke!

	kira.aboutlesbi.step.14@113@Вот только... У меня вопрос. А тебе это зачем, Макс? Не похоже, что ты пытаешься подкатить к Кате. Учитывая, её ориентацию...|Ich habe jedoch eine Frage. Warum interessiert dich das, Max? Es sieht nicht so aus, als würdest du Kate anmachen, weil sie eine Lesbe ist und so....
		kira.aboutlesbi.step.15^		Просто хочу помочь...|Ich will nur helfen.
		kira.aboutlesbi.step.15^		Да так...|Eh...

	kira.aboutlesbi.step.15@114@Ясно. Секреты. Ну да ладно, это твоё дело. В общем, можешь на меня расчитывать...|Ich verstehe. Es ist ein Geheimnis. Gut, du kannst dich trotzdem auf mich verlassen.
		leave!set_dcd.kiralesbitalk_2!set_poss.guest_3^		Супер!|Super!



# --- 0.4: Кира пообщалась с мамой и решает ещё немного подумать|Kira sprach mit Ann

	kira.amlt.init@0@Ты разговаривала с мамой насчёт...|Hast du mit Mom über....
	kira.amlt@113@Ага. Прощупывала почву насчёт её отношения к любви между девочками. Как я и предполагала, ничего не изменилось. Она всё также непреклонна и считает это всё неправильным...|Ja. Ich habe etwas nachgeforscht. Wie ich erwartet hatte, hat sich nichts geändert, sie denkt immer noch, dass es falsch ist.
		kira.amlt.step.2^			Значит, шансов нет?|Also haben wir keine Chance?

	kira.amlt.step.2@101@Ну почему нет шансов... Всегда можно повлиять на человека, просто нужно найти правильный подход. В крайнем случае, всегда можно пойти ва-банк...|Nein, das habe ich nicht gesagt.... Man kann jeden beeinflussen, wenn man es richtig macht. Und wenn es hart auf hart kommt, könnte ich immer noch all-in gehen....
		kira.amlt.step.3^			А ты почему так загорелась этой идеей?|Warte, warum bist du so begeistert von dieser Idee?

	kira.amlt.step.3@113@Ну во-первых, ты сам меня попросил о помощи. Я тебе когда-нибудь отказывала с чем-то, что для тебя важно? Во-вторых, мне и самой любопытно, получится или нет повлиять на твою маму по этому вопросу...|Zuerst hast du mich um Hilfe gebeten. Habe ich dich jemals mit etwas Wichtigem im Stich gelassen? Zweitens will ich wissen, ob ich es schaffe....
		kira.amlt.step.4^			Ясно...|Ich verstehe

	kira.amlt.step.4@114@В общем, я ещё подумаю и расскажу какие мысли есть на этот счёт...|Wie auch immer, ich werde darüber nachdenken und dir dann meine Ideen mitteilen....
		leave!set_dcd.kiralesbitalk_2!set_poss.guest_4^			Хорошо...|Okay



# --- 0.4: Кира придумала коварный план, как она думает...|Kira hatte eine Idee.

	kira.plan.init@0@Ну как, что-то придумала насчёт мамы?|Also, hast du dir etwas wegen Mom ausgedacht?
	kira.plan@113@О да, Макс. Мой план очень коварен. Если всё получится, то твоя Катя точно сможет спокойно приходить и мама не будет возражать...|Ja, Max. Ich habe mir einen schlauen Plan ausgedacht. Wenn wir es schaffen, dann kann deine Kate leicht rüberkommen, und Mom wird nicht dagegen sein, dass sie hier ist....
		kira.plan.step.2^			Невероятно!|Unglaublich!

	kira.plan.step.2@114@Ага! Суть его такова. Чтобы твоя мама не считала близкие отношения с девушками чем-то неприличным или неправильным... нужно сделать так, чтобы она сама это испытала!|Ja! Um die Weltanschauung deiner Mom zu verändern, müssen wir.... sie das Gleiche erleben lassen!
		kira.plan.step.3^			Э... не понял... Ты хочешь сделать из мамы лесбиянку?|Em.... Was....? Willst du damit sagen, dass du Mom in eine Lesbe verwandeln willst?

	kira.plan.step.3@101@Нет... хотя... нет. Достаточно просто сделать так, чтобы её саму можно было в этом обвинить. Ведь если она сама испытает такую близость, то не сможет запрещать это другим. Верно?|Nein.... Obwohl.... Nein. Wir schaffen nur eine Situation, in der wir ihr die Schuld geben können. Wenn sie so etwas erlebt, dann wird sie nicht in der Lage sein, anderen Leuten das Gleiche zu verbieten, oder?
		kira.plan.step.4^			Не представляю как это вообще возможно!|Ich kann mir nicht vorstellen, dass du das wirklich durchziehst.

	kira.plan.step.4@114@Ну если совсем коротко, то всё просто. Напоить и соблазнить. Да, соблазнять должна девушка... Возможно даже я. Но так сразу это не получится, либо придётся очень сильно напоить...|Im Grunde genommen müssen wir sie nur betrunken machen und sie dann von jemandem verführen lassen. Offensichtlich muss es eine Frau sein.... Vielleicht sogar ich. Aber ich kann es nicht einfach ohne Vorbereitung machen, es sei denn, sie ist super besoffen....
		kira.plan.step.5^			И тогда она всё забудет... И всё будет зря...|Und dann wird sie entweder alles auf Alkohol oder auf dich schieben.

	kira.plan.step.5@101@Хм. Ты прав. Дурацкий план. Ладно, я ещё подумаю об этом всём... Если что-то придумаю, расскажу.|Hmmmmmm.... Ja, du hast Recht. Das ist eine dumme Idee. Okay, ich werde weiter nachdenken.... Ich sage dir, wenn mir etwas einfällt.
		leave!set_dcd.kiralesbitalk_2!set_poss.guest_5^			Хорошо...|Okay



# --- 0.4: Кира придумала комплексный план|Kira hatte einen komplexen Plan.

	kira.newplan.init@0@Ну как, придумала новый план?|Also, hast du dir einen neuen Plan ausgedacht?
	kira.newplan@101@Ну почему сразу новый. Я усовершенствовала старый. А точнее, добавила некоторые детали...|Nein, ich habe nur den alten verbessert. Oder, genauer gesagt, mit einigen feinen Details erweitert.
		kira.newplan.step.2^		Хорошо, рассказывай.|Okay, ich höre zu.

	kira.newplan.step.2@100@Если мы просто напоим твою маму и я её соблазню, то это и правда может получиться как-то противоестественно, да ещё и забудет на утро всё... Но можно к этому всему плавно подводить...|Du hast Recht, ich kann es nicht einfach in einem einfachen Schritt tun, es wird wahrscheinlich nach hinten losgehen und die Dinge für alle Beteiligten noch schlimmer machen. Wir werden sie da ein wenig lockerer machen müssen.
		kira.newplan.step.3^		Слушаю...|Ich höre

	kira.newplan.step.3@101@Нужно действовать по всем фронтам. Во-первых, твоя мама немного стеснительная. Я попробую начать её убеждать, что это всё глупости, а лучше начну внедрять в неё идеи нудизма, натуризма, всего такого...|Das wird ein komplexer Plan sein. Zuerst ist deine Mom zu schüchtern. Ich werde damit anfangen, sie in die Welt des Naturismus einzuführen.
		kira.newplan.step.4^		Ого! Класс!|Wow!

	kira.newplan.step.4@113@Не сомневаюсь, что тебе это понравится. Но именно ты главная причина, почему сделать это будет не просто. Думаю, перед Лизой и Алисой она без труда разделась бы, но ты - другое дело... Ладно, подумаем.|Ich bin sicher, du wirst es lieben. Aber Sie sind das Haupthindernis in diesem Teil des Plans. Ich bin sicher, sie kann sich vor Alice und Lisa ausziehen, aber du.... Wir werden darüber nachdenken.
		kira.newplan.step.5^		А что ещё?|Was noch?

	kira.newplan.step.5@101@Во-вторых, думаю, нужно создавать почаще различные пикантные ситуации, которые снизят её скромность и приблизят, например, к моему телу... Но я что-то придумаю на этот счёт...|Zweitens müssen wir pikante Situationen schaffen, in denen sie ihre Schüchternheit verliert. Ich werde später über Einzelheiten nachdenken.
		kira.newplan.step.6^		Ясно. Что-то ещё?|Okay. Sonst noch etwas?

	kira.newplan.step.6@114@Ну а последний этап - это мой изначальный план. Чуть-чуть добавить алкоголя, женской ласки и любви... В общем, совратить...|Und der letzte Schritt ist meine erste Idee. Etwas Alkohol, weibliche Note und Liebe und.... Verführt sie im Grunde genommen.
		kira.newplan.step.7^		Кажется, ты давно этого хочешь?|Sieht so aus, als wolltest du das schon eine ganze Weile.

	kira.newplan.step.7@100@Что ты имеешь в виду?|Was meinst du damit?
		kira.newplan.step.8^		У тебя глаза горят, когда ты об этом говоришь...|Du hast diesen Funken in den Augen....

	kira.newplan.step.8@114@Ну да, ты меня поймал... Я в себе очень уверена и мне кажется, что могу соблазнить любого или даже любую... И твоя мама отличный вызов. Может быть, если я смогу это сделать с ней, то точно смогу с любой...|Du hast mich erwischt. Ich würde gerne glauben, dass ich so ziemlich jeden verführen kann, und deine Mom ist eine große Herausforderung. Wenn ich es mit ihr machen kann, kann ich es vielleicht mit jedem machen.
		kira.newplan.step.9^		Ну, не буду тебе мешать...|Nun, ich werde dir definitiv nicht im Weg stehen.

	kira.newplan.step.9@101@Вот только тебе нужно не только не мешать, но и активно помогать!|Das ist nicht genug, du wirst mir dabei aktiv helfen!
		kira.newplan.step.10^		Я согласен, но как?|Ich bin dabei, was muss ich tun?

	kira.newplan.step.10@100@Даже если я уговорю твою маму на что-то, например, быть более... открытой... Она должна почувствовать адекватную реакцию с твоей стороны. Если ты будешь бегать с озабоченным видом, это её спугнёт...|Selbst wenn ich deine Mom davon überzeugen werde, offener zu sein, muss sie eine angemessene Reaktion von dir sehen. Wenn du ihre Titten ansiehst und die ganze Zeit ein Ständer hast, dann wird sie zu ihrer prüden Art zurückkehren.
		kira.newplan.step.11^		И с каким видом надо бегать?|Und was soll ich tun?

	kira.newplan.step.11@101@Дело не в твоём виде. Ты должен сблизиться со своей мамой, понимаешь? Ей должно стать комфортно в твоём обществе, даже если на ней будет меньше одежды, чем обычно...|Du musst näher an deine Mutter herankommen, sie sollte sich in deiner Gesellschaft wohl fühlen, auch wenn sie weniger Kleidung als sonst hat.
		kira.newplan.step.12^		Было бы здорово, но... как?|Klingt toll, aber was soll ich tun?

	kira.newplan.step.12@100@Самый надёжный способ через массаж. Возможно, ты что-то умеешь. Ну там пяточки помассировать или ножки, ручки... Но это не то, что требуется в данном случае.|Ich denke, Massage ist der beste Weg. Vielleicht kennst du schon einige grundlegende Körpermassagen, wie Hand- oder Fußmassage, aber wir brauchen etwas anderes....
		kira.newplan.step.13^		А что требуется?|Was dann?

	kira.newplan.step.13@101@Я бы порекомендовала тебе пройти курсы эротического массажа. Я бы и сама тебя чему-то научила, но лучше воспользуйся помощью профессионалов.|Ich möchte, dass du eine sinnliche Massage lernst. Ich könnte es dir selbst beibringen, aber es ist besser, wenn du von einem Profi lernst.
		kira.newplan.step.14^		Онлайн-курсы?|Also Online-Kurse?

	kira.newplan.step.14@100@Ну да. Почему бы и не попробовать. Когда пройдёшь эти курсы, приходи, подскажу как дальше действовать.|Sicher, versuch das mal. Sprich mit mir, wenn du den Kurs abgeschlossen hast und ich sage dir, was du als nächstes tun sollst.
		leave!set_dcd.kiralesbitalk_2!set_poss.guest_6!set_can.erocourse_1^			Всё понял!|Hab's kapiert



# --- 0.4: Макс рассказывает Кире, что прошёл курсы эротического массажа|Max berichtet an Kira über sinnliche Massagekurse

	kira.aftercourse.init@0@Я прошёл кое-какие курсы!|Ich habe den Kurs abgeschlossen.
	kira.aftercourse@113@Эротического массажа? Здрово, Макс! Как-нибудь продемонстрируешь?|Du sprichst von sinnlicher Massage, oder? Toll, Max. Willst du zeigen, was du gelernt hast?
		kira.aftercourse.step.2^		Да хоть сейчас!|Jederzeit!

	kira.aftercourse.step.2@114@Соблазнительно, но нет, не сейчас. Предлагаю тебе попрактиковаться на Алисе. Она же любит загорать? Отличный повод сделать массаж, нанося крем для загара...|Verlockend, aber nicht jetzt. Du solltest stattdessen Alice anprobieren. Sie hat sich gerne gebräunt, oder? Du kannst sie massieren, während du sie mit Sonnencreme einreibst.
		kira.aftercourse.step.3^		Без проблем, а что потом?|Keine Probleme, was dann?

	kira.aftercourse.step.3@101@Потом, если Алисе понравится, я подведу разговор к этому с твоей мамой. Она должна услышать от Алисы, что ты делаешь превосходно массаж. То, что он эротический - это формальность и не думаю, что Алиса расскажет...|Wenn Alice deine Massage gefällt, rede ich mit deiner Mom darüber. Dann wird sie von Alice hören, wie gut deine Massage ist. Ich glaube nicht, dass Alice ihr sagt, dass die Massage sinnlich ist....
		kira.aftercourse.step.4^		А ты хитра, тётя Кира...|Du bist knifflig, Tante Kira....

	kira.aftercourse.step.4@114@Очень! Ты ещё меня плохо знаешь... Ну так вот, после этого стоит подгадать подходящий момент...|Du hast keine Ahnung.... Wie auch immer, dann wirst du den richtigen Moment finden....
		kira.aftercourse.step.5^		О! Вечером после душа?|Nach der Dusche am Abend?

	kira.aftercourse.step.5@113@Да, отличная мысль. Лучше, чтобы без посторонних глаз. Думаю, несколько процедур с твоими навыками сделают её более податливой. Может быть, она сама начнёт этого ждать даже...|Ja, das funktioniert großartig. Es ist besser, es in Ruhe zu tun. Ich denke, ein paar Massagen werden uns wirklich helfen, ihre Einstellung zu ändern. Vielleicht freut sie sich sogar darauf....
		kira.aftercourse.step.6^		Я всё понял!|Hab's kapiert!

	kira.aftercourse.step.6@101@Отлично! Но начни с Алисы. Сначала нужно получить положительный отзыв от неё. И только после этого уже я поболтаю с твоей мамой и тогда... Ты всё знаешь.|Großartig. Aber fang bei Alice an. Zuerst musst du ein paar gute Empfehlungen von ihr bekommen, und dann rede ich mit deiner Mom.
		kira.aftercourse.step.7^		Хорошо. Спасибо!|Großartig, danke!

	kira.aftercourse.step.7@114@Не за что. Главное - никому ни слова, даже Лизе. А то весь наш сложный план полетит к чертям... Как и мы сами...|Gern geschehen. Aber denk dran: Kein Wort zu irgendjemandem, auch nicht zu Lisa. Oder unser ganzer Plan geht in die Hose, und wir auch.
		leave!set_poss.guest_7!set_can.massagealisa_1^			Конечно!|Natürlich!



# --- 0.4: Макс ловит Киру, трахающуюся с Эриком (в первый раз)|Max erwischt Kira beim Ficken mit Eric zum ersten Mal.

	kira.fck1.eric@8@<i>Что?! Какого чёрта? Эрик трахает мою тётю?! Вот подонок!</i>|<i>Was!? Was zum Teufel? Eric fickt meine Tante!? Dieser Bastard!</i>
		kira.fck1.eric.step.2^			Эй! Какого хрена происходит?!|Hey! Was zum Teufel ist hier los!?

	kira.fck1.eric.step.2@92@n-ek-2@Пошёл вон, Макс! Не видишь, мы заняты!|Verpiss dich, Max! Siehst du nicht, dass wir beschäftigt sind?
		kira.fck1.eric.step.3^			Блин, Кира!|Was zum Teufel, Kira?

	kira.fck1.eric.step.3@103@Макс... Это не совсем то, о чём ты думаешь...\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Max.... das ist nicht das, wonach es aussieht....\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Gelegenheit gefunden!</i></color>
		kira.fck1.eric.step.4^			Я думаю, что вы трахаетесь! Разве не так?|Sieht aus, als würdest du ficken! Liege ich falsch?

	kira.fck1.eric.step.4@109@Ну... Если ты так вопрос ставишь, то да... И было бы неплохо, если бы ты где-то погулял, пока мы... Я потом... тебе всё объясню...|Nun, wenn man es so ausdrückt.... Ich möchte, dass du uns vorerst in Ruhe lässt.... Ich erkläre dir alles später....
		kira.fck1.eric.step.5^			Но... тётя Кира...|Aber.... Tante Kira....

	kira.fck1.eric.step.5@84@n-ek-1@Слышал свою тётю? А теперь свалил отсюда нахрен, пока я тебе шею не свернул!|Du hast deine Tante gehört, verpiss dich, bevor ich dir das Genick breche!
		leave!set_poss.sac_1!lock^		Отстой!|Scheisse!



