# --- Алиса спит|Alice schläft.

		ak.voy.7.step.4^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.7.step.4@152@Алис, всё в порядке. Мы с Максом разговаривали и я его пригласила к нам присоединиться. Да и тебе я намекала кое на что, забыла?|Es ist okay, Alice, Max und ich haben uns unterhalten und ich habe ihn eingeladen. Weißt du nicht mehr, wie ich das angedeutet habe?
		ak.voy.7.step.5^			Вот видишь!|Siehst du!

	ak.voy.7.step.5@29@n-kx-9@Кать, но он же мой брат. Это же извращение! Давай найдём какого-нибудь другого парня, почему именно его? Ну пожалуйста, Кать...|Aber er ist mein Bruder, Kate! Es ist falsch! Lass uns jemand anderen finden, warum muss er es sein? Bitte, Kate....
		ak.voy.7.step.6^			А я уже здесь...|Aber ich bin schon da!

	ak.voy.7.step.6@152@Вот именно! Кроме того, ты сама упоминала, что у него большой... талант. Вот и посмотрим. Ты же не хочешь меня огорчить отказом, да Лисик?|Das ist richtig. Außerdem hast du selbst gesagt, dass er ein großes.... Talent hat. Mal sehen. Du willst mich doch nicht mit deiner Weigerung enttäuschen, oder, Alice?
		ak.voy.7.step.7^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.7.step.7@20@Тебя не хочу огорчить... А вот его готова убить! Блин... ну ладно. Только давай ему завяжем глаза. Я не хочу, чтобы он видел меня с тобой...|Nein, ich will dich nicht enttäuschen.... Aber ich bin bereit, ihn zu töten! Mist.... Schön. Aber halten wir ihm die Augen zu, ich will nicht, dass er uns sieht....
		ak.voy.7.step.8^			Э... нет. Что угодно, только не глаза...|Em.... nein. Alles außer das....

	ak.voy.7.step.8@159@Отличная идея, Макс! Что угодно, значит... Садись на стул, мы тебя привяжем. Пока будешь просто зрителем! И ты обещал не возражать. Иначе помнишь, две разгневанные девушки могут сделать с тобой такое...|Tolle Idee, Max! Alles, was Ich sage.... Setz dich auf diesen Stuhl, wir fesseln dich. Du wirst vorerst ein Zuschauer sein. Du hast versprochen, nicht zu streiten, oder wir können etwas tun, was du bereuen wirst....
		ak.voy.7.step.9^			Ну, ладно...|Schön...

	ak.voy.7.step.9@20@n-kx-10@Вот, так крепко. Точно не выберется... Но я бы ему ещё и глаза завязала... И кляп в рот! А то будет гадости болтать, всю атмосферу разрушит...|Okay, fesselt ihn ordentlich, damit er sich nicht selbst befreien kann.... Ich würde ihm auch gerne die Augen binden.... Und knebelt ihn! Oder er ruiniert die Atmosphäre mit seinem dummen Mund....
		ak.voy.7.step.10^			Буду нем как рыба!|Ich bin ganz still!

	ak.voy.7.step.10@159@Это нас устроит. Ну, Лисик, что ты там хотела со своим непослушным братиком сделать? Мне уже нести те большие игрушки? Только вот жаль, смазку дома забыла. Придётся насухо... Извини, Макс, ты попал...|Okay, Alice, was wolltest du mit deinem kleinen Bruder machen? Soll ich jetzt das große Spielzeug holen? Schade, dass ich kein Gleitmittel dabei habe, es muß trocken gehen.... Tut mir leid, Max, du wirst es jetzt bekommen....
		ak.voy.7.step.11^			ЧТО?!|WAS!?

	ak.voy.7.step.11@20@А я тебе говорила, что кляп нужен. Он же тут орать будет, ещё Лизу разбудит...|Ich sagte dir, wir sollten ihn knebeln. Wenn er schreit, weckt er Lisa auf....
		ak.voy.7.step.12^			КАКОГО ХРЕНА?!|WAS ZUM TEUFEL!?

	ak.voy.7.step.12@159@n-kx-9@Кажется, он поверил, прикинь, Лисик! Прикольный у тебя братишка. Ладно, Макс, выдыхай. Мы пошутили. Можешь смотреть, но молчи, твои комментарии нам не нужны.|Okay, sieht so aus, als wäre er darauf reingefallen. Dein Bruder macht Spaß, Alice. Du kannst dich entspannen, Max, wir haben nur Spaß gemacht. Du kannst zusehen, aber wir wollen keine Kommentare hören, verstehst du?
		ak.voy.7.step.13^			Х-хорошо...|O-okay...

	ak.voy.7.step.13@25@n-kx-11@Кать, я что-то стесняюсь при нём это делать. Может и правда завяжем ему глаза. Так пофантазирует хоть...|Ich bin mir nicht sicher, ob ich etwas vor ihm tun will. Bist du sicher, dass wir seine Augen nicht verdecken können? Er kann hier sitzen und sich vorstellen, was wir stattdessen tun....
		ak.voy.7.step.14^			Алиса! Мы договорились!|Das war nicht der Deal, Alice!

	ak.voy.7.step.14@152@Так, всё, Алиса, не отвлекайся. Кажется, ты хотела продолжить... Не забыла?|Genug, Alice, konzentriere dich. Weißt du noch, wo wir waren?
		ak.voy.7.step.15^			Продолжить что?|fortfahren mit was?

	ak.voy.7.step.15@157@n-kx-12@Макс, заткнись... Лисик, а ты, как всегда... молодец... да... так...|Halt die Klappe, Max.... Alice, du bist toll, wie immer.... ja....
		ak.voy.7.step.16^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.7.step.16@154@Это... Ого! Лисик, ты конечно говорила, что у твоего брата большой, но что настолько!|Wow! Du hast gesagt, er ist groß, Alice, aber ich hätte nie gedacht, dass er so groß ist!
		ak.voy.7.step.17^			Может быть со мной поиграете?|Willst du mit mir spielen?

	ak.voy.7.step.17@151@n-kx-9@Так, всё, Макс. Ты много болтаешь... Мы же договорились.|Okay, das reicht, Max. Du redest zu viel.... Wir hatten eine Abmachung.
		ak.voy.7.step.18^			Молчу, молчу...|Okay, ich werde schweigen

	ak.voy.7.step.18@150@Ага, только на сегодня шоу окончено. Иди погуляй. Без разговоров. Алиса, развяжи его.|Zu spät, die Show ist vorbei. Um eine Fortsetzung zu machen. Binde ihn los, Alice.
		leave!set_girlz.scene_8!set_kate.talk_8!set_girlz.sleep_2!lock^			Ну блин...|Mist...



# --- 0.4: Подглядываем за девчонками в комнате. Периодический эвент, где Макса выгоняют. Прогресса не будет пока не поговорит с Катей после этого.|Spionieren von Mädchen im Raum, periodisches Ereignis, bis Max mit Kate spricht.

	ak.voy.8@120@n-kx-7@<i>Девчонки опять отжигают! Эх, надо поучаствовать!</i>|<i>Die Mädchen sind wieder dabei! Ich sollte mich einmischen!</i>
		ak.voy.8.step.2^			<i>выглянуть из-за угла</i>|<i>Blick um die Ecke</i>

	ak.voy.8.step.2@30@n-kx-8@Макс! Тебя, кажется, сегодня не звали...|Max! Ich glaube nicht, dass wir Dich heute eingeladen haben.
		ak.voy.8.step.3^			Как так?|Wie kommt's?

	ak.voy.8.step.3@150@n-kx-9@Ну да, на сегодня мы же не договаривались. Или думаешь, что можешь приходить в любое время? Очень зря... Мы хотим побыть одни. А тебе пора спать.|Ich habe mich heute auf nichts eingestellt. Oder glaubst du, du kannst jederzeit hierher kommen? Wir wollen allein sein, geh schlafen.
		leave!lock^					Эх. Ладно...|Schön...



# --- 0.4: Подглядываем за девчонками в комнате. Второе приглашение.|Spionieren von Mädchen in ihrem Zimmer, zweite Einladung

	ak.voy.9@159@n-kx-9@О, а вот и Макс крадётся. А ты говорила, не придёт... Заходи, Макс, присаживайся. Руки назад. Лисик, привяжи его...|Oh, hier ist Max, und du hast gesagt, dass er nicht kommen wird.... Komm rein, Max, setz dich. Hände auf den Rücken. Fessel ihn, Alice.
		ak.voy.9.step.2^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.9.step.2@31@n-kx-10@Я сегодня удивлена, Кать. Ты ему что-то вколола, чтобы не болтал или до него дошли правила игры?|Ich bin überrascht, Kate. Hast Du ihn betäubt, um ihn zum Schweigen zu bringen, oder hat er die Regeln herausgefunden?
		ak.voy.9.step.3a^			Всё до меня дошло!|Ich habe alles herausgefunden!
		ak.voy.9.step.3b^			<i>промолчать</i>|<i>schweigen</i>

	ak.voy.9.step.3a@151@Что-то не похоже... Тебя не спрашивали, а значит молчи. Это последнее предупреждение!|Sieht nicht so aus.... Du wurdest nicht angesprochen, also halt die Klappe. Das ist Ihre letzte Warnung.
		ak.voy.9.step.3b^			<i>молча кивнуть</i>|<i>schweigend nicken</i>

	ak.voy.9.step.3b@31@Дрессированный братик. Мечта! Ладно, чем займёмся, Катюш?|Gut ausgebildeter Bruder, perfekt! Okay, was sollen wir jetzt tun, Kate?
		ak.voy.9.step.4^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.9.step.4@156@n-kx-13@Ну, можем... Оу. Ты смотри, твой братик возбудился. Блин, какой он большой! Может быть, и правда поиграешь с ним?|Nun, wir könnten.... Schau, dein Bruder ist aufgeregt. Er ist so groß! Wie wäre es, wenn du mit ihm spielst?
		ak.voy.9.step.5^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.9.step.5@26@И как именно ты хочешь, чтобы я с ним... поиграла? Ты точно этого хочешь, Катюш?|Und was soll ich tun? Bist du sicher, dass du es willst?
		ak.voy.9.step.6^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.9.step.6@152@Ага. Снимай с него шорты и... немного подрочи своему братику. Меня такие вещи заводят...|Jaja, zieh seine Shorts aus und.... wichse deinen Bruder aus. Ich würde das gerne sehen....
		ak.voy.9.step.7^			<i>о да, детка...</i>|<i>Oh, ja...</i>

	ak.voy.9.step.7@22@n-kx-14@Ну, если заводит, то...|Nun, wenn Du es sehen willst....
		ak.voy.9.step.8^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.9.step.8@4@<i>Вот это кайф! Такими темпами и до групповушки дойдём! О да... продолжай... Кажется, Катя и правда завелась... Что она делает?!</i>|<i>Das ist so toll! Ich frage mich, wohin uns das führen wird.... Oh, Jaja.... weitermachen.... Ich denke, Kate ist jetzt wirklich geil.... Was macht sie denn da??</i>
		ak.voy.9.step.9^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.9.step.9@3@n-kx-15@<i>Вау! Она реально себя ласкает у меня на глазах! Какая у неё симпатичная киска... Вот бы к ней подобраться... Да к любой уже, в конце концов! Ого, Алиса ускоряется...</i>|<i>Wow, sie spielt mit sich selbst direkt vor meinen Augen! Sie hat eine süße Muschi.... Ich würde gerne in sie eindringen.... Oder irgendeine andere, was das betrifft. Alice nimmt Fahrt auf....</i>
		ak.voy.9.step.10^			<i>кончить!</i>|<i>Wichse!</i>

	ak.voy.9.step.10@7@<i>Да! Я кончаю! О да! У Алисы такие ловкие ручки... Да ещё Катюха передо мной... Тут любой не выдержал бы... О да...</i>|<i>Ja, ich komme! Alice hat tolle Hände.... Und Kate direkt vor mir.... niemand würde es lange aushalten....</i>
		ak.voy.9.step.11^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.9.step.11@151@n-kx-9@Ну что, Макс, доволен? Теперь можешь идти. Похоже, ты неплохо вымотался... Лисик, развяжи его...|Also, Max, gefällt es dir? Du kannst jetzt gehen. Du siehst müde aus.... Binde ihn los, Alice.
		ak.voy.9.step.12^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.9.step.12@159@n-kx-20@Ну а у нас ещё есть планы на вечер... И не вздумай подглядывать... Вообще, вали спать! Тебе давно пора.|Und wir haben noch einige Pläne für den Abend.... Und denk nicht mal dran, zu spannen. geh schlafen.
		leave!set_kate.talk_10!set_girlz.scene_10!sleep^		<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Подглядываем за девчонками в комнате. Третье приглашение.|Spionage auf Mädchen in ihrem Zimmer, dritte Einladung

	ak.voy.10@159@n-kx-9@Ой, кто это тут у нас? Заходи, третьим будешь... Правила знаешь. Молчи, садись, слушайся.|Bist du es, Max? Setzen Sie sich zu uns.... Du kennst die Regeln, sei still und tu, was ich sage.
		ak.voy.10.step.2^			<i>сесть</i>|<i>hinsetzen</i>

	ak.voy.10.step.2@31@n-kx-10@Какие сегодня пожелания, Катюш?|Was willst du heute machen, Kate?
		ak.voy.10.step.3^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.10.step.3@151@Ты знаешь... Мне кажется, сегодня пришло время сделать Максу приятное...|Weißt du, ich denke, es ist Zeit, Max etwas Freude zu bereiten....
		ak.voy.10.step.4^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.10.step.4@20@Но я уже делала. В прошлый раз, ручками...|Aber das habe ich bereits. Letztes Mal, mit meinen Händen....
		ak.voy.10.step.5^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.10.step.5@159@Именно! На этот раз тебе придётся поработать головой. Буквально. Я хочу, чтобы ты отсосала своему брату у меня на глазах. Приступай!|Genau. Jetzt solltest du deinen Kopf benutzen. Buchstäblich. Ich will, dass du deinem Bruder vor meinen Augen einen bläst.
		ak.voy.10.step.6^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.10.step.6@26@n-kx-13@Но... Кать. Может, не надо? Это же извращение - делать такое со своим братом... Я конечно сделаю всё что ты хочешь, но может передумаешь?|Aber.... Kate. Ist das nicht pervers? Ich tue, was immer du mir sagst, aber bist du sicher, dass du deine Meinung nicht änderst?
		ak.voy.10.step.7^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.10.step.7@151@Нет, Лисик. Когда ты это сказала, я поняла, что хочу увидеть как ты будешь делать... такое извращение со своим братом. Очень хочу. Приступай!|Ja, Alice. Ich will sehen, wie du.... perverses Zeug mit deinem Bruder machst. Das tue ich wirklich, wirklich. Also fang an.
		ak.voy.10.step.8^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.10.step.8@159@n-kx-17@Молодец, Лисик... Глубже. Понимаю, это не просто... Но делай это так, чтобы Максу понравилось!|Gute Arbeit, Alice.... Tiefer. Ich verstehe, dass es nicht einfach ist, aber tu dein Bestes für Max.
		ak.voy.10.step.9^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.10.step.9@22@n-kx-16@Блин, Катюш, я не могу. Его член даже больше того страпона, а помнишь как тяжело было его заглотить? Но я не отказываюсь, просто... Ладно...|Es tut mir leid, Kate, ich kann nicht. Sein Schwanz ist noch größer als der Strap-on, weißt du noch, wie sehr ich damals gekämpft habe? Ich lehne dich nicht ab, aber.... Okay....
		ak.voy.10.step.10^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.10.step.10@159@n-kx-17@Какая смышлённая девочка. Сама догадалась, что останавливаться не стоит. Ой... кажется, Макс сейчас кончит. Давай, не останавливайся! И смотри, чтобы ни капли мимо!|Gutes Mädchen. Du hast die richtige Wahl getroffen, als du dich fürs Fortfahren entschieden hast.... Sieht aus, als würde Max kommen. Hör jetzt nicht auf! Und verpassen ihn nichts!
		ak.voy.10.step.11^			<i>кончить!</i>|<i>spritzen!</i>

	ak.voy.10.step.11@4@<i>О да! Всё прямо ей в рот! Какой же это кайф! Если бы меня не привязали, я бы сейчас упал...</i>|<i>Oh, Ja! Alles direkt in ihren Mund! Wenn ich nicht an einen Stuhl gefesselt wäre, würde ich jetzt fallen....</i>
		ak.voy.10.step.12^			<i>далее</i>|<i>fortfahren</i>

	ak.voy.10.step.12@23@n-kx-18@Кать, ну зачем ты меня заставила это сделать? Как я потом ему в глаза смотреть буду? К тому же, из него похоже литр спермы вылился. Я наелась на неделю...|Warum hast du mich dazu gezwungen, Kate? Wie soll ich ihm jetzt in die Augen sehen? Und er kam wie eine verdammte Gallone Sperma in mich rein. Jetzt habe ich eine Woche lang keinen Hunger mehr....
		ak.voy.10.step.13^			<i>улыбнуться</i>|<i>lächeln</i>

	ak.voy.10.step.13@159@Лисик, ну ты чего жалуешься, это же здорово, на еде сэкономишь! Ладно, развязывай его. А у нас с тобой ещё свои дела есть. Или ты думала, что отсосала брату и всё? Есть ещё я!|Warum beschwerst Du dich dann, Alice? Dann spart Ihr etwas Geld beim Essen! Okay, bindet ihn los, wir haben ein unerledigtes Geschäft. Du dachtest doch nicht, dass du deinem Bruder einfach einen bläst und der Abend ist vorbei, oder? Jetzt bin ich dran.
		ak.voy.10.step.14^			А можно я посмотрю?|Kann ich zusehen?

	ak.voy.10.step.14@151@n-kx-19@Нет, Макс, знай меру. Нам с Лисиком предстоит ещё длинная ночь. Я прилично заведена и только она может мне помочь своим ловким язычком, верно?|Nein, Max, du hast deins. Alice und ich haben eine lange Nacht vor uns. Ich bin jetzt wirklich geil und sie ist die Einzige, die mir mit ihrer Zunge helfen kann, richtig?
		leave!set_kate.talk_12!set_girlz.scene_11!sleep^		<i>уйти</i>|<i>verlassen</i>



# --- 0.4: Подглядываем за девчонками в комнате. Без приглашения 1|Spionage von Mädchen in ihrem Zimmer ohne Einladung 1

	ak.voy.11@120@n-kx-21@<i>Ого! Девчонки развлекаются... Кажется, лучше к ним сейчас не лезть, а то используют эту штуку совсем не по назначению...</i>|<i>Wow! Mädchen haben Spaß.... Ich denke nicht, dass ich zu ihnen gehen sollte, oder sie werden dir das Ding bei mir geben....</i>
		ak.voy.11.step.2^					<i>смотреть</i>|<i>beobachten</i>
		leave!set_girlz.scene_12!lock^		<i>тихо уйти</i>|<i>leise verschwinden</i>

	ak.voy.11.step.2@4@n-kx-22@<i>Это у Алисы новый наряд рабыни или что? Ого... она может эту штуку заглотить?! А жаловалась на мой член... Похоже, они давно... тренируются... Ладно, пора валить отсюда</i>|<i>Ist Alice in einem Gummianzug oder so? Wow.... sie kann das Ding schlucken!? Und sie hat sich über meinen Schwanz beschwert.... Sieht aus, als hätte sie viel Übung.... Ich sollte jetzt gehen.</i>
		leave!set_girlz.scene_12!lock^		<i>тихо уйти</i>|<i>leise verschwinden</i>



# --- 0.4: Подглядываем за девчонками в комнате. Без приглашения 2. тройничок|Spionage auf Mädchen in ihrem Zimmer ohne Einladung 2, Dreiergruppe

	ak.voy.12@120@n-kx-23@<i>Обалдеть! Вот это картина! Жаль, что нет фотоаппарата под рукой. Вот бы Алису потроллить компроматом... Кажется, они меня не заметили. Лучше бы уйти, пока не поздно, а то...</i>|<i>Was für ein Anblick! Schade, dass ich keine Kamera dabei habe. Ich würde sie gerne damit erpressen.... Ich glaube nicht, dass sie mich bemerkt haben. Ich sollte gehen, bevor es zu spät ist.</i>
		ak.voy.12.step.2^					<i>тихо уйти</i>|<i>leise verschwinden</i>

	ak.voy.12.step.2@30@n-kx-24@Что? Макс?! Мы тебя не звали сегодня! Вали отсюда!|Bist du das, Max? Wir haben dich heute nicht eingeladen! Raus hier!
		ak.voy.12.step.3^					Но... Я просто смотрел...|Ich habe nur zugesehen.

	ak.voy.12.step.3@159@n-kx-25@Ладно, Алиса, успокойся. Раз уж он здесь, давай повеселимся втроём. У меня есть одна идейка. Макс, повернись и... немного наклонись...|Entspann dich, Alice. Da er schon hier ist, lass uns etwas Spaß haben. Ich habe eine Idee. Dreh dich um und bück dich, Max.
		ak.voy.12.step.4^					В третий раз не смешно!|Es war nicht lustig beim ersten Mal, es war nicht lustig beim zweiten Mal, und es ist nicht lustig beim dritten Mal.

	ak.voy.12.step.4@150@А я и не шучу! Или шучу? Ладно, садись. Лисик, свяжи его...|Und ich bin nicht lustig. Oder bin ich das? Wie auch immer, nimm Platz. Fessel ihn, Alice....
		ak.voy.12.step.5^					<i>сесть</i>|<i>hinsetzen</i>

	ak.voy.12.step.5@22@n-kx-26@Дурацкая затея... Я хотела побыть с тобой наедине, а теперь придётся опять ему отсасывать?|Ich wollte mit dir allein sein, und jetzt muss ich ihm wieder einen blasen?
		ak.voy.12.step.6^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.12.step.6@152@Мне показалось или ты жалуешься? Давай, на колени и бери член своего брата в рот. Но тебе будет не скучно, обещаю...|Hast du dich gerade bei mir beschwert? Auf die Knie, fang an, deinem Bruder einen zu blasen. Du wirst dich nicht langweilen, ich verspreche....
		ak.voy.12.step.7^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.12.step.7@30@n-kx-27@Что? Ты хочешь меня трахать, пока я... своему брату? Кать... Ну так же... нельзя... Ой... Хорошо...|Was? Wirst du mich ficken, während ich.... meinem Bruder einen blasen werde? Kate.... wir können nicht.... oh.... gut...
		ak.voy.12.step.8^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.12.step.8@153@n-kx-28@Ну как, Макс? Нравится? Только учтите, что я вам обоим запрещаю трахаться без моего участия! Либо так, либо никак... Поняли?|Also, Max, gefällt es dir? Übrigens, ich verbiete euch beiden, ohne mich zu ficken! Entweder du machst es mit mir oder du machst gar nichts, verstanden?
		ak.voy.12.step.9^					Ага...|Jaja...

	ak.voy.12.step.9@4@<i>Это самая безбашенная Алискина подружка! О таком и мечтать нельзя было, а сейчас... Старшая сестрёнка заглатывает мой член, пока её трахает подружка... Обалденно!</i>|<i>Das ist die beste und verrückteste Freundin von Alice! Ich konnte nie davon träumen, und jetzt.... Meine ältere Schwester gibt mir deepthroating, während ihre Freundin sie von hinten fickt.... Das ist so cool!</i>
		ak.voy.12.step.10^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.12.step.10@151@n-kx-29@Лисик! Ты халтуришь! Давай глубже, активнее... Я верю в тебя, ты сможешь взять в рот полностью даже этот член... Мы же так долго тренировались на игрушках...|Nicht nachlassen, Alice! Tiefer, schneller.... Ich glaube an dich, du kannst ihn ganz reinbringen.... Wir haben so viel dafür trainiert....
		ak.voy.12.step.11^					<i>кончить!</i>|<i>spritzen!</i>

	ak.voy.12.step.11@152@n-kx-30@Так, Лисик, Макс кончает! Давай, не вынимай его член, глотай всё до последней капли! Вот так... Молодец, Лисик. У тебя получается всё лучше и лучше!|Sieht aus, als würde Max kommen! Nimm nicht seinen Schwanz raus, schluck jeden Tropfen runter! Gute Arbeit, Alice. Du wirst besser darin!
		ak.voy.12.step.12^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.12.step.12@159@n-kx-26@Ты сегодня молодец, Лисик. Горжусь тобой! Кажется, твой братик тоже в восторге, посмотри на него...|Das hast du heute gut gemacht, Alice, ich bin stolz auf dich! Dein Bruder scheint es auch zu genießen, sieh ihn dir an....
		ak.voy.12.step.13^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.12.step.13@23@n-kx-25@Мой организм не готов принимать столько спермы... Но вроде в этот раз получилось и правда лучше...|Mein Körper kann so viel Sperma nicht vertragen.... Aber dieses Mal ist es besser, ja....
		ak.voy.12.step.14^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.12.step.14@152@Согласна. Хорошо получилось. Ладно, развязывай его... Всё, Макс, вали спать. А у нас ещё есть планы друг на дружку...|Okay, jetzt bindet ihn los.... geh schlafen, Max, Alice und ich haben ein paar Pläne füreinander....
		leave!set_kate.talk_14!set_girlz.scene_13!sleep^	Спокойной ночи...|Gute Nacht



# --- 0.4: Подглядываем за девчонками в комнате. Без приглашения. Регулярный эвент.|Spionieren von Mädchen in ihrem Zimmer ohne Einladung, regelmäßige Veranstaltung

	ak.voy.13@120@n-kx-23@<i>Ого! Девчонки сегодня опять в ударе! Как она её трахает... Кажется, Алиса чуть ли не кончает... Блин. Попробовать к ним присоединиться или не мешать?</i>|<i>Die Mädchen sind wieder dabei! Sie fickt sie so hart.... Ich glaube, Alice steht kurz davor.... Soll ich versuchen, reinzugehen?</i>
		ak.voy.13.step.2^					<i>выйти из-за угла</i>|<i>zeige dich</i>
		leave!lock^							<i>тихо уйти</i>|<i>leise verschwinden</i>

	ak.voy.13.step.2@30@n-kx-24@Что? Макс?! Мы тебя не звали сегодня! Вали отсюда! Быстро!|Was, Max!? Wir haben dich heute nicht eingeladen, verschwinde sofort!
		ak.voy.13.step.3^					Но...|Aber...

	ak.voy.13.step.3@150@n-kx-25@Да, Макс, давай. Не сегодня...|Jaja, Max, geh. Heute nicht...
		leave!lock^							Эх, жаль...|Schön...



# --- 0.4: Получено особое приглашение от Кати.|Besondere Einladung von Kate

	ak.voy.14@120@n-kx-23@<i>Красота! Кажется, сегодня они начали без меня...</i>|<i>Wunderschön! Sieht aus, als hättet ihr heute ohne mich angefangen....</i>
		ak.voy.14.step.2^					<i>тихо уйти</i>|<i>leise verschwinden</i>

	ak.voy.14.step.2@25@n-kx-24@А, Макс... Ну... заходи...|Oh, Max.... komm rüber....
		ak.voy.14.step.3^					Развлекаетесь...|Spaß haben....

	ak.voy.14.step.3@159@n-kx-25@Ну мы не знали, придёшь ты или нет, решили немного разогреться...|Wir wussten nicht, ob du heute zu uns kommst, also haben wir ohne dich angefangen.
		ak.voy.14.step.4^					Молодцы. Ну, я готов...|Gut. Nun, ich bin bereit.

	ak.voy.14.step.4@150@Отлично. Правила ты знаешь. Молчи, садись. Лисик, а ты ему руки завязывай... Всё как обычно...|Toll, du kennst die Regeln.
		ak.voy.14.step.5^					<i>сесть</i>|<i>hinsetzen</i>

	ak.voy.14.step.5@22@n-kx-26@До чего мы докатились... Макс, ну чего ты ухмыляешься!|Wie sind wir in diese Situation gekommen.... Warum grinst du, Max?!
		ak.voy.14.step.6^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.14.step.6@152@Лисик, не ворчи! Давай, на колени и бери член своего брата в рот. А я тебе помогу нашим розовым другом...|Meckere nicht, Alice. Komm schon, auf die Knie, nimm den Schwanz deines Bruders in den Mund. Ich helfe dir mit unserem rosa Freund....
		ak.voy.14.step.7^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.14.step.7@30@n-kx-27@Катюш... Только нежнее, а то ты в прошлый раз меня так оттрахала, что я...|Sei heute sanfter, okay, Kate? Letztes Mal hast du mich so sehr gefickt, dass ich....
		ak.voy.14.step.8^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.14.step.8@153@n-kx-28@Давай не ворчи, а то сейчас в попку вставлю и отдеру тебя как следует! Молодец... Давай, соси лучше!|Hör auf zu nörgeln, oder ich fick dich in den Arsch....! Gute Arbeit, aber gib dir mehr Mühe!
		ak.voy.14.step.9^					Ага...|Jaja...

	ak.voy.14.step.9@4@<i>Старшая сестрёнка заглатывает мой член, пока её трахает подружка... Это просто мечта!</i>|<i>Meine ältere Schwester lutscht meinen Schwanz, während ihre Freundin sie von hinten fickt.... Ich bin in einem Traum!</i>
		ak.voy.14.step.10^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.14.step.10@151@n-kx-29@Лисик! Не расслабляйся! Давай бери член глубже, работай активнее... А то ты сосредоточилась не на том... Максу нужно больше любви и ласки... Покажи как ты его любишь...|Konzentriere dich, Alice! Bring ihn tiefer rein.... Du konzentrierst dich auf das Falsche.... Max braucht mehr Liebe.... Zeig ihm, wie sehr du ihn liebst....
		ak.voy.14.step.11^					<i>кончить!</i>|<i>spritzen!</i>

	ak.voy.14.step.11@152@n-kx-30@Так, Лисик, Макс кончает! Давай, не вынимай его член, глотай всё до последней капли! Вот так... Молодец, Лисик. У тебя получается всё лучше и лучше!|Sieht aus, als würde Max kommen! Nimm nicht seinen Schwanz raus, schluck jeden Tropfen runter! Gute Arbeit, Alice. Du wirst besser darin!
		ak.voy.14.step.12^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.14.step.12@159@n-kx-26@Ты сегодня молодец, Лисик. Горжусь тобой! Кажется, твой братик тоже в восторге, посмотри на него...|Das hast du heute gut gemacht, Alice, ich bin stolz auf dich! Dein Bruder scheint es auch zu genießen, sieh ihn dir an....
		ak.voy.14.step.13^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.14.step.13@23@n-kx-25@Да можно и не смотреть на него. И так всё понятно...|Ich muss ihn nicht ansehen, um zu wissen, wie glücklich er ist....
		ak.voy.14.step.14^					<i>далее</i>|<i>fortfahren</i>

	ak.voy.14.step.14@152@Ладно, развязывай его... Всё, Макс, вали спать. А у нас ещё есть планы друг на дружку...|Okay, bindet ihn los.... geh jetzt schlafen, Max. Wir werden ohne dich weiter machen....
		leave!set_kate.talk_17!set_girlz.scene_13!sleep^	Спокойной ночи...|Gute Nacht...



# --- 0.4: Алиса ведёт свой блог|Alice bloggt

	alisa.newblog@121@<i>В это время Алиса занимается своим блогом. Обычно она не закрывает дверь...</i>|<i>Alice sollte jetzt an ihrem Blog arbeiten. Normalerweise schließt sie ihre Tür nicht....</i>
