# --- Interrupt: Лиза возвращается из новой школы в первый раз|Lisa kehrt zum ersten Mal von der Schule zurück

		leave!set_poss.sed_13!set_item.playboy_0!set_dcd.lizamentor_1^			Посмотрю, что можно сделать...|Ich werde sehen, was ich tun kann.



# --- 0.3: Макс дарит Лизе симкарту|Schenken einer SIM-Karte

	liza.sim.init@0@Хочешь уметь заходить на любые сайты?|Du willst also in der Lage sein, jede Website zu durchsuchen?
	liza.sim@41@Конечно! А кто не хочет? Честно говоря, наш провайдер излишне печётся о нас... Даже через телефон никуда толком не зайти... А что ты придумал?|Natürlich! Wer tut das nicht? Unser Provider ist viel zu schützend.... Also, hast du dir was einfallen lassen?
		liza.sim.next.1^				У меня есть для тебя особая сим-карта!|Ich habe eine spezielle SIM-Karte für dich!

	liza.sim.next.1@48@И что в ней особенного? Она не подходит к моему телефону?|Und was macht sie so besonders?
		liza.sim.next.2^				Она взломанная и у неё безлимитный интернет!|Sie ist gehackt und hat einen unbegrenzten Internetzugang!

	liza.sim.next.2@50@Ого! Наверное, кучу денег стоит? А это законно?|Wow! Es kostet wahrscheinlich ein Vermögen! Ist es legal?
		liza.sim.next.3^				Я это не выяснял, но думаю, что не важно.|Ich habe es nicht überprüft, aber ich denke nicht, dass es wichtig ist.

	liza.sim.next.3@43@Макс, ну ты меня постоянно удивляешь. Очень крутой подарок, спасибо!|Du überraschst mich immer wieder, Max. Das ist ein sehr gutes Geschenk, danke!
		liza.sim.next.4^				Теперь можешь и на сайты для взрослых заходить, если захочешь...|Ja, jetzt kannst du jederzeit auf Erwachsenen-Websites surfen.

	liza.sim.next.4@41@Как знать... Может быть, и захочу... Классный подарок! Спасибо!|Wer weiß.... vielleicht werde ich.... Das ist ein tolles Geschenk, danke!
		leave!set_poss.sed_15!add_liza.mood_200!set_dcd.lizamentor_3!set_item.simcard_0^			Да не за что...|Gern geschehen...



# --- 0.3: Разговор с Лизой спустя 3 дня после симкарты|Gespräch nach der Übergabe einer SIM-Karte an Lisa

	liza.aftersim.init@0@Ну как, интернет работает?|Also, wie funktioniert das Internet?
	liza.aftersim@41@Да, всё в порядке, спасибо! Оказывается, в мире столько всего, что нам запрешает провайдер. Кстати, я узнала, это по маминой инициативе у нас всё фильтруется и даже в телефонах ограничения...|Alles ist toll, danke! Es stellte sich heraus, dass so viele Sachen dort drüben von unserem Provider blockiert wurden! Außerdem, wie sich herausstellt, ist all dieses Zeug durch Moms Bitte blockiert.
		liza.aftersim.next.1^			Видимо, пыталась нас оберегать...|Ich schätze, sie hat versucht, uns zu beschützen.

	liza.aftersim.next.1@43@Ты прав, пыталась. Теперь то я такого увидела... Молодец, что нашёл способ это всё обойти.|Ja, versucht. Ich habe so viel gesehen.... Danke, dass du einen Weg gefunden hast, auf alles zuzugreifen.
		liza.aftersim.next.2^			Кстати, а когда ты успеваешь порнушку смотреть? Я что-то не замечал...|Übrigens, wann siehst du dir das alles an? Ich habe dich noch nie Pornos schauen gesehen.

	liza.aftersim.next.2@41@Макс, у девочек свои секреты! Не буду же я это делать при тебе...|Komm schon, Max, Mädchen sollen Geheimnisse haben. Außerdem werde ich mir keine Pornos direkt vor deinen Augen ansehen.
		liza.aftersim.next.3^			Стесняешься меня, после всего, что было?|Bist du schüchtern nach allem, was wir getan haben?

	liza.aftersim.next.3@48@Может быть... А что, у нас что-то было? Ты ничего себе не придумал? Или ты о тех поцелуях? Кстати, что-то твои курсы быстро закончились...|Vielleicht.... Und wir haben nichts getan, wovon redest du überhaupt? Hast du dir etwas vorgestellt? Oder redest du von Küssen? Und während wir bei diesem Thema sind, waren deine Lektionen sehr kurz.
		liza.aftersim.next.4^			Кстати, об этом... Нам надо решить одну проблему.|Ja, deswegen. Wir müssen uns mit einem Problem auseinandersetzen.

	liza.aftersim.next.4@41@У нас разве есть какие-то проблемы? Ну давай, рассказывай...|Welches Problem?
		liza.aftersim.next.5^			Мне кажется, что ты зря меня стесняешься.|Ich denke, wir sollten etwas gegen deiner Schüchternheit tun.

	liza.aftersim.next.5@40@И что ты предлагаешь?|Und was schwebt dir vor?
		liza.aftersim.next.6a^			Покажи сиськи!|Zeig mir deine Brüste!
		liza.aftersim.next.6b^			Ну, есть одна идея...|Nun, ich habe eine Idee....

	liza.aftersim.next.6a@42@Фу, Макс, вот бываешь же ты иногда придурком. Кроме того, мы договаривались, что ты будешь вести себя корректно!|Sei kein Idiot, Max! Wir hatten eine Abmachung, und du wolltest ein Gentleman sein!
		liza.aftersim.next.6c^			Да, верно, извини...|Du hast Recht, tut mir leid.

	liza.aftersim.next.6b@41@Наверняка, такая же безумная, как всё это обучение... Ладно, рассказывай!|Wahrscheinlich so verrückt wie der Rest der ganzen Sache.... Okay, schieß los.
		liza.aftersim.next.7^			Что, любопытно?|Oh, neugierig?

	liza.aftersim.next.6c@40@Ладно... Так что именно ты ещё выдумал? Рассказывай!|Schön. Also, was schwebt dir vor? Sag es mir.
		liza.aftersim.next.7^			Что, любопытно?|Oh, neugierig?

	liza.aftersim.next.7@43@Ты знаешь, сначала меня эта твоя идея... с обучением немного раздражала даже, но сейчас я всё время думаю о... не важно. В общем, да, мне любопытно!|Weißt du, am Anfang schien diese ganze Lehridee dumm und nervig, aber jetzt kann ich nur noch daran denken.... Macht nichts. Wie auch immer, Ja, ich bin neugierig.
		liza.aftersim.next.8^			Скажи, ты меня стесняешься?|Okay. Wie auch immer, wegen dem Problem. Ich denke, du bist zu schüchtern.

	liza.aftersim.next.8@49@Ну, да. Как любая девочка любого мальчика... Разве это неправильно?|Nun, vielleicht ein bisschen.... Worauf willst du hinaus?
		liza.aftersim.next.9^			А как ты будешь со своим парнем себя вести? Тоже будешь стесняться?|Und wie würdest du dich in der Nähe deines Freundes verhalten? Wirst du auch schüchtern sein?

	liza.aftersim.next.9@40@Не знаю... Макс, ты уже достал! Ты всё вокруг, да около ходишь. Что ты предлагаешь?|Ich weiß nicht.... Hör auf, um den heißen Brei herumzureden, Max! Sag mir einfach deine Idee!
		liza.aftersim.next.10a^			Предлагаю тебе спать голой!|Du solltest nackt schlafen.
		liza.aftersim.next.10b^			Предлагаю тебе спать в одних трусиках!|Du solltest nur in deinem Höschen schlafen.
		liza.aftersim.next.10с^			Предлагаю раздеться прямо сейчас!|Du solltest dich sofort ausziehen!

	liza.aftersim.next.10a@50@Ах... Вот это идея! Ты долго придумывал? А хочешь, я прямо сейчас до гола разденусь?|Oh.... Tolle Idee! Soll ich mich jetzt auch ausziehen?
		liza.aftersim.next.11^			Хочу!!!|Ja!

	liza.aftersim.next.10b@50@Да ладно?! Может быть, мне прямо сейчас раздеться до гола, что скажешь?|Wirklich? Vielleicht sollte ich mich jetzt einfach ausziehen?
		liza.aftersim.next.11^			Да! Отличная мысль!|Ja, das wäre Großartig!

	liza.aftersim.next.10с@50@Да ты что? Это и есть твоя идея? Может быть, мне ещё и сделать для тебя что-то?|Das ist deine Idee? Soll ich auch etwas für dich tun?
		liza.aftersim.next.11^			О, это было бы чудесно!|Das wäre Großartig!

	liza.aftersim.next.11@41@А вот фиг тебе, Макс. Более дурацкой идеи я не слышала... Долго придумывал? А скорее всего, ещё дольше фантазировал, как это будет, да?|Fick dich, Max. Ich habe noch nie eine dumme Idee von dir gehört. Wie lange hat es gedauert, bis du darauf gekommen bist? Und du hast wahrscheinlich fantasiert, wie es laufen wird, oder?
		liza.aftersim.next.12^			Ну я могу тебя попытаться хотя бы убедить?|Darf ich dich bitten, das zu überdenken?

	liza.aftersim.next.12@40@Макс, иди в баню. Не буду я перед тобой раздеваться. Ты какой-то озабоченный! Всё, разговор окончен...|Nein, Max, ich werde mich nicht vor dir ausziehen. Du bist so ein Perverser! Dieses Gespräch ist beendet!
		leave!set_dcd.lizamentor_2!add_liza.mood_-50!set_poss.sed_16^			Ладно, может быть ещё передумаешь...|Okay, ich lasse dich jetzt in Ruhe.



# --- 0.3: Следующая попытка убедить Лизу спать голой или в одних трусах|um Lisa zu überreden, nackt oder in Höschen zu schlafen.

	liza.nop.init@0@Ну как, передумала?|Also, hast du deine Meinung geändert?
	liza.nop@40@Насчёт чего?|Über Was?
		liza.nop.next.1^				Я про предложение побороть твою скромность...|Ich rede von deiner Schüchternheit.

	liza.nop.next.1@41@Ты ведь не успокоишься, да? Может быть, маме рассказать, на что ты меня уговариваешь?|Du wirst es nicht aufgeben, oder? Soll ich Mom erzählen, was ich tun soll?
		liza.nop.next.2^				Не, не, не. Маме не надо!|Nein, nein, nein, nein, das solltest du definitiv nicht tun!

	liza.nop.next.2@46@Ну тогда перестань меня доставать с этой своей дурацкой идеей.|Dann hör auf, mich mit deiner blöden Idee zu belästigen!
		liza.nop.next.3^				А ведь я столько для тебя сделал...|Aber ich habe so viel für dich getan....

	liza.nop.next.3@48@Это верно. Но, Макс... Это как-то уже слишком. А что мама скажет, если увидит меня голой на соседней с тобой кровати?|Hast du, Max.... Aber denkst du nicht, dass es ein bisschen zu viel ist? Was wird Mom sagen, wenn sie mich nackt in meinem Bett neben deinem sieht?
		liza.nop.next.4^				Придумаю, что-нибудь...|Wir werden uns was einfallen lassen.

	liza.nop.next.4@40@Нет, Макс. Мне кажется, что это перебор...|Nein, Max, ich denke, das ist zu viel.
		liza.nop.next.5^				Тебе придётся искать парня, который сможет дружить с такой зажатой девушкой...|Du wirst es schwer haben, einen Freund zu finden, der bereit ist, eine Freundin zu haben, die so schüchtern ist wie du....

	liza.nop.next.5@49@Макс! Ну хватит уже, а. Я понимаю, что излишняя скромность иногда вредит, но я стесняюсь делать такое...|Komm schon, Max. Ich verstehe, dass Schüchternheit ein Problem sein könnte, aber ich kann das nicht....
		liza.nop.next.6^				Ну сама подумай, чего я там не видел?|Denk darüber nach, ich habe es sowieso schon gesehen.

	liza.nop.next.6@43@Вот это довод. Ну сразу меня убедил! Нет, Макс. Я не могу и не хочу. Как-нибудь само всё получится.|Nein, Max. Ich kann und werde nicht.
		liza.nop.next.7^				Как знаешь. Но парням зажатые девушки не нужны.|Wie du willst. Aber Jungs mögen dieses Verhalten nicht.

	liza.nop.next.7@49@Ну... Ладно, я подумаю ещё. Но ничего не обещаю. Хорошо?|Nun ja.... Ich werde darüber nachdenken. Aber ich verspreche nichts, okay?
		leave!set_dcd.lizamentor_1!set_can.asklizasleepnaked_1^		О большем я и не прошу!|Das ist alles, worum ich bitte.



# --- 0.3: Периодическая попытка убедить Лизу спать в одних трусах|periodischer Versuch, Lisa davon zu überzeugen, nur in Höschen zu schlafen.

	liza.trynop.init@0@Ну, ты готова спать голой?|Also, bist du bereit, nackt zu schlafen?
	liza.trynop@50@Говори тише, Макс! С ума сошёл? Если кто-то узнает, что мы это обсуждаем, оба получим...|Ruhe, Max! Bist du verrückt? Wenn es jemand hören würde, wären wir beide in Schwierigkeiten!
		liza.trynop.so.1^			Ну так...|So...

	liza.trynop.so.1@49@Не знаю, Макс. Мне кажется, я ещё не готова к таким экспериментам...|Ich weiß nicht, Max, ich bin nicht sicher, dass ich für diese Art von Experimenten bereit bin.
		random.social.1=1&liza.trynop.so.ok^			Я хочу тебе помочь! [skill.social_1]|Ich will dir helfen! [skill.social_1]
		random.social.1=0&liza.trynop.so.no^			Я хочу тебе помочь! [skill.social_1]|Ich will dir helfen! [skill.social_1]

	liza.trynop.so.no@46@<color=orange><i>Убеждение не удалось!</i></color>\nНет, Макс, я пока не готова. Давай обсудим это в другой раз... И не дави на меня.|<color=orange><i>Überzeugung gescheitert!</i></color>\nNein, Max, ich bin nicht bereit. Lass uns ein anderes Mal darüber reden. Und dräng mich nicht.
		leave!set_dcd.lizamentor_1^						Без проблем...|Schön...

	liza.trynop.so.ok@48@<color=lime><i>Убеждение удалось!</i></color>\nНу ладно, ладно. Но я сделаю это при одном условии... Нет, при двух! И ты точно не выполнишь второе...|<color=lime><i>Überzeugung erfolgreich!</i></color>\nSchön, Schön. Ich mache es unter einer Bedingung. Nein, warte, unter zwei Bedingungen! Und bei der zweiten wirst du definitiv nicht zustimmen.
		liza.trynop.so.next.2^							Да ради такого я всё могу!|Ich werde alles tun!

	liza.trynop.so.next.2@48@Условие первое: я не буду полностью раздеваться, спать буду в одних трусиках. А вот второе ты явно не сможешь выполнить...|Erste Bedingung: Ich werde nicht nackt schlafen, ich behalte mein Höschen an. Und du wirst dich nie auf meine zweite Bedingung einigen....
		liza.trynop.so.next.3^							На слабо берёшь? Какое второе условие?|Du forderst mich heraus? Was ist die zweite Bedingung?

	liza.trynop.so.next.3@41@Я разденусь только в том случае, если ты тоже это сделаешь!|Ich tue es nur, wenn du es auch tust!
		liza.trynop.so.next.4^							Да без проблем! Я и так могу спать в одних трусах.|Ich kann nur in meiner Hose schlafen, kein Problem.

	liza.trynop.so.next.4@43@Так не считается. Ты должен спать... без трусов, иначе я не сниму верх! Ну что, облом, Макс?|Nein, das zählt nicht. Du musst komplett nackt schlafen. Oder ich lasse mein Oberteil an! Also, ist das das Ende der Unterhaltung?
		liza.trynop.so.next.5a^							А ты не боишься увидеть Большого Макса?|Hast du keine Angst, den Big Max zu sehen?
		liza.trynop.so.next.5b^							А тебя саму не смутит то, что ты увидишь?|Und es wird dir nicht peinlich sein, was Du wirst sehen?

	liza.trynop.so.next.5a@41@У тебя что-то с головой, Макс. И ничего я не боюсь, кстати. Я просто не буду смотреть! К тому же, ты на это явно не согласишься.|Mit dir stimmt etwas nicht, Max. Und ich habe vor nichts Angst, ich will nur nicht hinsehen. Du wirst mir sowieso nicht zustimmen.
		liza.trynop.so.next.6^							Боюсь тебя огорчить, но... я согласен!|Es tut mir leid, Sie zu enttäuschen, Schwesterherz, aber ich bin dabei.

	liza.trynop.so.next.5b@41@Ну, я же могу и не смотреть. Главное, что ты на это точно не согласишься и вроде как я уже ничего не должна...|Ich muss nicht hinsehen. Und du wirst dem nie zustimmen, so dass ich dich sowieso nicht ausgezogen ansehen muss.
		liza.trynop.so.next.6^							Боюсь тебя огорчить, но... я согласен!|Es tut mir leid, Sie zu enttäuschen, Schwesterherz, aber ich bin dabei.

	liza.trynop.so.next.6@50@Что?! Ты будешь спать голый? И тебе не стыдно будет? А если кто-то зайдёт? Блин, я думала, что ты не настолько озабочен...|Was!? Du willst nackt schlafen? Schämst du dich nicht? Was, wenn jemand den Raum betritt? Ich hätte nie gedacht, dass du so pervers bist....
		liza.trynop.so.next.7^							Сделка - есть сделка!|Deal ist deal!

	liza.trynop.so.next.7@49@Ну ладно...Ты доволен? Добился своего? Только если окажется, что ты пристаёшь или какие-то грязные шуточки начнёшь откалывать, я закутаюсь в паранджу и вообще больше ничего не увидишь!|Schön. Bist du glücklich? Hast du bekommen, was du wolltest? Und wenn du anfängst, mich zu belästigen oder irgendein lustiges Geschäft zu machen, werde ich mich in eine Burka einwickeln und du wirst nie wieder etwas sehen!
		leave!set_dcd.lizamentor_3!set_poss.sed_17!lizatopless^		Обещаю!|Ich verspreche es!



# --- 0.3: Ночной эвент с мастурбирующей Лизой (первая ночь)|Nachtveranstaltung mit masturbierender Lisa, erste Nacht

	liza.night.m1@10@e-liza-nm-1@<i>Что такое? Кто-то не спит? Откуда свет? Ого, что Лиза вытворяет! Интересно, она знает, что я подглядываю? Конечно, нет, что за глупости... Ну, Лиза, ты даёшь! Ладно, не буду её тревожить...</i>|<i>Was ist passiert? Wo kommt das Licht her? Wow, Lisa macht etwas sehr Interessantes! Ich frage mich, ob sie weiß, dass ich sie beobachte. Nein, natürlich nicht.... Wow, Lisa, du gehst, Mädchen! Ich sollte sie aber nicht stören....</i>
		leave!sleep!set_poss.sed_18!set_dcd.lizamentor_2!set_midnight_0^		<i>спать до утра</i>|<i>bis zum Morgen schlafen</i>



# --- 0.3: Ночной эвент с мастурбирующей Лизой (вторая ночь)|night event with masturbating Lisa, second night

	liza.night.m2@10@e-liza-nm-1@<i>Любопытно... Лиза опять это делает при мне... Хм... Может быть, немного пошуметь, чтобы она поняла, что я не сплю? Или же не отвелкать её от такого... интересного дела?</i>|<i>Sieht so aus, als ob Lisa sich wieder anfasst.... direkt neben mir.... Soll ich etwas Lärm machen, damit sie merkt, dass ich zuschaue? Oder vielleicht sollte ich sie nicht davon ablenken.</i>
		liza.night.m2.next.1^									<i>дать понять Лизе, что я не сплю</i>|<i>lass Lisa wissen, dass ich sie beobachte</i>
		leave!sleep!set_dcd.lizamentor_2!set_midnight_0^						<i>спать до утра</i>|<i>bis zum Morgen schlafen</i>

	liza.night.m2.next.1@4@e-liza-nm-2@<i>Кажется, она уже поняла, что я не сплю, но сама не остановилась... Вот это да! Кажется, она заведена до предела...</i>|<i>Sieht aus, als würde sie nicht aufhören! Sie muss zu geil sein!</i>
		liza.night.m2.next.2^									Тебе помочь?|Brauchst du Hilfe?

	liza.night.m2.next.2@40@Просто... Не... не мешай... Спи.|Nein.... nur.... unterbreche mich nicht....geh schlafen.
		leave!sleep!set_poss.sed_19!set_dcd.lizamentor_2!set_midnight_0^		<i>спать до утра</i>|<i>bis zum Morgen schlafen</i>



# --- 0.3: Ночной эвент с мастурбирующей Лизой (третья ночь)|Nachtveranstaltung mit masturbierender Lisa, dritte Nacht

	liza.night.m3@10@e-liza-nm-1@<i>Кажется, это уже входит в традицию... Она это делает у меня на глазах и ни капли не смущается! Видимо, из-за перевозбуждения...</i>|<i>Das sieht aus wie der Beginn einer schönen Tradition.... Sie berührt sich direkt vor meinen Augen! Sie muss wirklich geil sein....</i>
		liza.night.m3.next.1^									<i>продолжать смотреть</i>|<i>weiter zusehen</i>

	liza.night.m3.next.1@4@e-liza-nm-2@<i>Ого, она смотрит на меня! Сказать что-то или не надо... А может быть, раз она это делает, то и мне заняться тем же самым? Отличная идея!</i>|<i>Sie sieht mich an! Sollte ich etwas sagen? Oder vielleicht kann ich dasselbe tun!</i>
		liza.night.m3.next.2^									<i>дрочить у Лизы на глазах</i>|<i>vor Lisa zu wichsen anfangen</i>

	liza.night.m3.next.2@3@<i>Она не останавливается! Ей нравится на меня смотреть? А мне на неё! Мы нашли друг друга... Может быть, ей предложить делать это на одной кровати?</i>|<i>Sie hält nicht an! Macht es ihr Spaß, mir zuzusehen? Ich genieße es definitiv, ihr zuzusehen! Wir haben uns gefunden.... Soll ich ihr anbieten, es auf dem gleichen Bett zu tun?</i>
		liza.night.m3.next.3a^									Если хочешь, можешь лечь рядом...|Du kannst dich neben mich legen, wenn du willst....
		liza.night.m3.next.3b^									<i>продолжить</i>|<i>fortsetzen</i>

	liza.night.m3.next.3a@49@Макс, ты всё испортил. Я же просила ничего не говорить... Ладно, побаловались и хватит. Пора спать.|Max, du hast alles ruiniert. Ich sagte, du sollst still sein.... Okay, genug für heute. Geh schlafen.
		leave!sleep!set_poss.sed_20!set_dcd.lizamentor_2!set_midnight_0^		Да, точно...|Okay...

	liza.night.m3.next.3b@4@e-liza-nm-3@<i>Я и не думал, что моя сестрёнка такая горячая... Ого... Она сняла трусики! Кажется, она совсем меня не стесняется... Она что, кончает?! А... Кажется, я тоже...</i>|<i>Mein Schwesterherzter ist so heiß.... Sie zieht ihr Höschen aus! Ich denke, es ist sicher anzunehmen, dass ihre Schüchternheit behandelt wird.... Ist sie am Kommen? Ich... Ich komme auch....</i>
		leave!sleep!set_poss.sed_20!set_dcd.lizamentor_2!set_midnight_0^		<i>Ух... Ну всё, теперь спать...</i>|<i>Wow.... Nun, es ist Zeit zu schlafen</i>



# --- 0.3: "одноклассник", путь Оливии: первый разговор после выбора этого пути|Klassenkameradin, Route 3, Schritt 1

	liza.oli.init@0@Ну, как наш коварный план?|Berichte über den Fortschritt unseres listigen Masterplans.
	liza.oli@41@О да, Макс. План очень коварен! Но пока никакого прогресса. Я ещё не знаю как к ней подступиться и подружиться.|Alles läuft nach Plan, mein General!\nAber nicht wirklich. Ich weiß nicht, wie ich an sie rankommen soll.
		liza.oli.next.1^		Ну а какие у неё вкусы?|Was mag sie?

	liza.oli.next.1@43@Кроме Алекса? Не знаю... Она для меня загадка. С одной стороны выглядит скромной девочкой, но парни за Оливией бегают толпой. И я никак не могу понять почему...|Außer Alex? Ich weiß nichts über sie. Sie sieht schüchtern aus, aber sie hat eine Armee von Verehrern und ich muss wissen, warum.
		liza.oli.next.2^		И что, никаких идей?|Was, keine Ideen?

	liza.oli.next.2@49@Нет... Может быть, что-то посоветуешь?|Nein. Hast du etwas im Sinn?
		liza.oli.next.3^		Ну для начала можно выяснить её секрет.|Nun, du solltest zuerst ihr Geheimnis erfahren.

	liza.oli.next.3@41@Спасибо, Шерлок! А то я не догадалась... Но как?|Ohne Scheiß, Sherlock. Wie soll ich das machen?
		liza.oli.next.4^		Да это же очевидно! Спроси у кого-нибудь...|Elementar, mein lieber Watson! Fragen doch jemanden

	liza.oli.next.4@43@У кого же? Или ты думаешь мне теперь нужно подружиться с кем-то, кто бегает за Оливией, чтобы узнать её секрет, чтобы подружиться с ней, чтобы... Ну ты понял...|Wer? Oh, meinst du, ich sollte mich mit einem ihrer Verehrer anfreunden und alles über sie lernen?
		liza.oli.next.5^		Именно! Даже я бы лучше не сказал!|Genau! Ich hätte es selbst nicht besser sagen können!
		liza.oli.next.5^		Ты такая умная, Лиза!|Du bist so klug, Lisa!

	liza.oli.next.5@41@Спасибо. Ладно, попробую...|Danke. Ich werde es versuchen, schätze ich....
		leave!set_poss.swap_40!set_dcd.lizatalkswap_6^		Держи меня в курсе...|Halte mich auf dem Laufenden...



# --- 0.3: "одноклассник", путь Оливии: первая информация насчёт Оливии|Classmate Gelegenheit, Route 3, Schritt 2, einige neue Infos über Olivia

	liza.oli.1st.init@0@Что-нибудь узнала про Оливию?|Also, hast du etwas Neues über Olivia gelernt?
	liza.oli.1st@41@Ага... Только не знаю как это мне поможет...|Ja, ja...... Ich bin nicht Sicher, ob es mir hilft....
		liza.oli.1st.next.1^	Рассказывай!|Sag es mir, sag es mir!

	liza.oli.1st.next.1@49@В общем, я подружилась с одним мальчиком, который просто бегает за этой самой Оливией...|Jedenfalls lernte ich einen von Olivias Freier kennen....
		liza.oli.1st.next.2^	Ну и?|Und?

	liza.oli.1st.next.2@41@Не перебивай. Мальчик этот когда станет взрослым, я уверена, превратится в маньяка. Уж слишком он помешанный на ней... Ну так вот. У Оливии есть одна... фишка, если можно так сказать...|Unterbrich mich nicht. Eines Tages wird dieser Kerl ein Serienvergewaltiger oder so, er ist super gruselig. Er ist so besessen.... Wie auch immer, ich lernte ihr Geheimnis, sozusagen....
		liza.oli.1st.next.3^	Да говори уже!|Sag es einfach!

	liza.oli.1st.next.3@43@Ты чего такой нервный, Макс? Я же и рассказываю! В общем, Оливия не носит нижнее бельё... Вот. И я думаю, что это бесполезная информация...|Warum bist du so aufgeregt, Max? Ich sage es jetzt gleich. Wie auch immer, Olivia trägt keine Unterwäsche. Ich bin ziemlich sicher, dass diese Information nutzlos ist.
		liza.oli.1st.next.4a^	И этот парень бегает за Оливией из-за этого?|Und der Typ ist deswegen in sie verknallt?
		liza.oli.1st.next.4b^	Это повод подружиться с Оливией поближе!|Dies ist eine Gelegenheit für die Freundschaft mit Olivia!
		liza.oli.1st.next.4c^	Это всё объясняет...|Das erklärt alles

	liza.oli.1st.next.4a@41@Ну да. Я же сказала, маньяком станет! Хорошо, что он не на меня запал, а то прямо мурашки по коже... Но для нас это бесполезная информация, как я уже сказала...|Ja, dieser Typ wird sich in einen Sexualstraftäter verwandeln, das garantiere ich dir. Gut, dass er nicht auf mich steht.... Aber, wie gesagt, diese Information ist nutzlos für uns.
		liza.oli.1st.next.4b^	Это повод подружиться с Оливией поближе!|Dies ist eine Gelegenheit für die Freundschaft mit Olivia!
		liza.oli.1st.next.4c^	Это всё объясняет...|Das erklärt alles

	liza.oli.1st.next.4c@48@В том плане, что теперь ясно почему все мальчики бегают за Оливией? Ну да... Но что с этим знанием делать?|Du meinst, das erklärt, warum so viele Typen ihren Rock jagen? Ich schätze.... Aber was könnte ich mit diesen Informationen machen?
		liza.oli.1st.next.4b^	Это повод подружиться с Оливией поближе!|Dies ist eine Gelegenheit für die Freundschaft mit Olivia!

	liza.oli.1st.next.4b@49@Это как? Типа: «Оливия, у нас столько общего, я тоже не ношу трусы, давай дружить... так?» Глупее идеи не слышала...|Wie kommt's? "Hey, Olivia, wir haben so viel gemeinsam, ich trage auch kein Höschen, lass uns Bffs sein!"? Es ist eine dumme Idee....
		liza.oli.1st.next.5a^	Ты же носишь трусы...|Aber du trägst ein Höschen.
		liza.oli.1st.next.5b^	Ну почему же, не обязательно так...|Du musst es nicht so sagen.

	liza.oli.1st.next.5a@41@Вот, тем более! И снимать их ради этого я не собираюсь. Подозреваю, что ты был бы очень доволен, но нет. Даже не мечтай...|Umso mehr Gründe, warum das nicht funktionieren wird! Und dafür ziehe ich mein Höschen nicht aus. Du wärst wahrscheinlich sehr glücklich, aber nein. Denk nicht mal dran.
		liza.oli.1st.next.5b^	Ну почему же, не обязательно так...|Du musst es nicht so sagen.

	liza.oli.1st.next.5b@43@Ну а как? Я тебя не понимаю...|Wie denn dann?
		liza.oli.1st.next.6^	Теперь ты можешь поинтересоваться у Оливии почему она не носит нижнее бельё!|Kannst du Olivia nicht fragen, warum sie keine Unterwäsche trägt?

	liza.oli.1st.next.6@41@Ну и она ответит что-то из серии «а я так хочу»... И что потом?|Sie wird wahrscheinlich so etwas wie "Ich habe keine Lust" sagen. Was dann?
		liza.oli.1st.next.7^	А ты спроси. Потом будем думать...|Du solltest sie zuerst fragen. Was hast du zu verlieren?

	liza.oli.1st.next.7@43@Ну ладно. Если потом будем думать... В любом случае, других идей нет. А Алекс мне очень нравится... Хорошо, я попробую спросить.|Schön. Es ist nicht so, als hätten wir eine Fülle von Ideen.... und ich mag Alex.
		leave!set_poss.swap_41!set_dcd.lizatalkswap_2^		Держи меня в курсе...|Halt mich auf dem Laufenden



# --- 0.3: "одноклассник", путь Оливии: Лиза узнала почему Оливия не носит трусы|Klassenkameradin, Route 3, Lisa erfuhr, warum Olivia keine Unterwäsche trägt.

	liza.oli.2nd.init@0@Ну как, узнала про трусы Оливии?|Also, hast du etwas über Olivias Höschen gelernt?
	liza.oli.2nd@41@Ты же понимаешь, что этот вопрос без контекста звучит очень... странно, да?|Hörst du dir überhaupt zu, wenn du solche Sachen sagst? Habst Du eine Ahnung, wie das ohne Zusammenhang klingt?
		liza.oli.2nd.next.1^	Догадываюсь. Ну так как?|Ist mir egal, niemand kann uns hören. Also, irgendwelche neuen Informationen?

	liza.oli.2nd.next.1@43@Ты был прав, эта информация оказалась не такой уж и бесполезной! Оливия была рада поболтать на эту тему и рассказала, что она из семьи натуристов...|Du hattest Recht, keine Unterwäsche-Information erwies sich als nützlicher, als ich erwartet hatte. Olivia war glücklich darüber zu sprechen und stellte sich heraus, dass sie aus einer Familie von Naturisten stammt.
		liza.oli.2nd.next.2^	Это кто такие?|Wer?

	liza.oli.2nd.next.2@41@В общем, они сторонники всего натурального или как-то так. Я не поняла... Но главная особенность в том, что они дома все ходят голые, представляешь!|Ich denke, diese Typen sind wirklich in der Natur oder so.... Aber das Wichtigste ist, dass sie alle immer nackt zu Hause sind, kannst du dir das vorstellen?
		liza.oli.2nd.next.3a^	Обалдеть!|Wow!
		liza.oli.2nd.next.3b^	А к ним можно в гости?|Kannst du uns eine Einladung zu ihrem Haus besorgen?

	liza.oli.2nd.next.3b@43@Очень смешно, Макс! Вот придёт к нам в гости и будешь её тут уговаривать раздеться...|Sehr witzig, Max. Du wirst deine Chance bekommen, sie zu bitten, sich auszuziehen, wenn sie vorbeikommt.
		liza.oli.2nd.next.3a^	Да уж...|Ja, ja....

