# --- 0.11: Диалог с Алисой насчёт того, что она решила делать с компроматом. Ключевой диалог, запускающий цепочку, открывающую контент 0.11

	11.aa.0.init@0@Так что ты решила насчёт того видео?|Also, hast du entschieden, was wir tun sollen?
		11.ea.26^		<i>далее</i>|<i>fortfahren</i>

	11.ea.26@21@b-tv-20@Нужно будет придумать для вас что-нибудь... более интересное... Но в другой раз... Ладно, одевайтесь, идите...|I need to come up with something more... exciting... Another time, though. You can dress and go now.
		leave!set_sexz_0!max_poss.rol_11!time^		<i>одеться</i>|<i>get dressed</i>



# --- 0.11: Ответвление №1, где Анна ловит Алису, наказывающую Макса и Лизу

	11.ea.27@68@b-tv-19@Не поняла... Это что такое? Что здесь происходит? Кто-нибудь объяснит?|Wha... What is this? What's going on in here?
		11.ea.28^		Упс..|Oops

	11.ea.28@26@b-tv-18@Мам... Не переживай, это не то, что ты думаешь... Я их... наказываю... Также, как это делаешь ты обычно, просто сразу обоих...|Don't worry, mom, it's not what it looks like. I'm, eh... I'm punishing them. You know, same way you do, but both of them at once.
		11.ea.29^		<i>далее</i>|<i>fortfahren</i>

	11.ea.29@62@b-tv-19@И что же они сделали такого, что их нужно наказывать... вот так?|And what did they do to deserve... this?
		11.ea.30^		<i>далее</i>|<i>fortfahren</i>

	11.ea.30@20@b-tv-18@Они сами знают. Ты же нам обычно не рассказываешь за что. Вот и тут за дело, но они постесняются рассказывать... Так что...|Oh, they know what they did. You don't tell everyone what we do when you punish us, same thing here. I doubt they want you to know why they're being punished. And since they've already been punished, everything is okay, right?
		11.ea.31^		<i>далее</i>|<i>fortfahren</i>

	11.ea.31@60@b-tv-19@Макс, Лиза, вы что-то можете сказать? Действительно есть за что? Или это Алиса решила поиграть... в какие-то нездоровые игры?|Max, Lisa, do you have something to add? Did you really deserve a punishment and it's not some kind of sick game?
		11.ea.32^		Мы заслужили...|We deserved it
		11.ea.32b^		Ну...|Well...

	11.ea.32b@21@Мам, не слушай Макса. Мы заслужили. Оба. Просто, мы сделали кое-что, за что Алиса на нас очень злая... Ну и... вот...|Don't listen to Max, we deserved it. We did something that made Alice angry, so here we are.
		11.ea.33^		Ну да...|Yeah

	11.ea.32@49@Угу... Мы просто... как это... накосячили... да. Вот Алиса и решила преподать нам урок. Нам очень стыдно, но мы всё поняли!|Yes, we, em... screwed up. And Alice just decided to punish us herself. We're very ashamed and we learned our lesson!
		11.ea.33^		Угу...|Yeah

	11.ea.33@62@b-tv-18@Ну ладно, если так... Хотя, я не очень понимаю почему Макс... такой возбуждённый... Лиза, не смотри!|Okay, I guess... But why is Max so hard... Don't look, Lisa!
		11.ea.34^		Это само...|I didn't do that on purpose...

	11.ea.34@60@Ладно, я пойду, а вы тут заканчивайте. И Макс, Лиза, больше не давайте Алисе повод так вас наказывать... И прикройтесь, хоть чуть-чуть...|Okay, I'll go. Don't repeat whatever it is you did, Max, Lisa, so Alice won't have to punish you. And cover yourselves...
		11.ea.35^		Угу...|Okay

	11.ea.35@21@b-tv-15b@Ну что, в этот раз вы легко отделались... Хотя, спасибо, что не стали жаловаться. А то начался бы скандал и я бы... показала то видео...|Looks like you got off easy this time. Good thing you had enough common sense and didn't complain to mom. We wouldn't want to start telling on each other...
		11.ea.36^		Хорошо, что всё обошлось...|Yeah, I doubt anyone wants mom to know we were punished because Alice forbade us from fucking <i>without her</i>

	11.ea.36@40@b-tv-20@Угу. А почему мама так странно на это всё отреагировала, кстати? Мне казалось, что она будет бегать, кричать и Алисе попадёт...|Yeah. Mom was surprisingly calm about the whole thing, though. I would think she'd start screaming and everything...
		11.ea.37^		Ну вот так...|Well, this isn't all that different from our usual family punishments, so...

	11.ea.37@21@Всё, хватит болтать. Одевайтесь, а то глядя на ваши голые попки я начинаю опять возбуждаться...|Enough talking. Start dressing before I get wet from staring at your asses...
		leave!set_mcw_2!set_sexz_0!time^		<i>одеться</i>|<i>get dressed</i>



# --- 0.11: Периодическая сцена, где Анна ловит Макса, Лиза и Алису за наказанием

	11.ea.38@62@b-tv-19@Что, опять провинились? Что же вы там такое сделали, интересно?|Another punishment? What did you do to deserve this one?
		11.ea.39^		Ну...|Well...

	11.ea.39@21@b-tv-18@Мам, они если захотят, расскажут. Если стыдно не будет... Но я сомневаюсь. Поэтому, пусть это будет на их совести. Они же не возражают? Макс?|They can tell you if they want, mom. But I wouldn't count on it. The important thing is they get punished, right? And everyone is fine with this. Right, Max?
		11.ea.40^		Нет, не возражаю...|Right, right...

	11.ea.40@62@b-tv-19@Ясно... Ну ладно, раз заслужили, продолжай. Но ты могла бы и рассказать мне и наказать их перед завтраком или ужином, как обычно...|I see... Well, if they deserved it, go on. You could just tell me and I would punish them before breakfast or dinner.
		11.ea.41^		Не надо...|No need for that...

	11.ea.41@20@Да, мам, так тоже нормально. Им стыдно и они обещают больше так не делать. Так что, не обязательно это делать перед всеми...|Yeah, mom, don't worry about it. The important thing is they are punished for their behavior. No need to bring it up before the entire family
		11.ea.42^		Угу...|Yeah

	11.ea.42@67@Поняла. Ну, не буду вам мешать... И Макс... Что же ты всегда такой возбуждённый... Ой, всё, ухожу, ухожу...|Okay. I'm gonna go now. If only Max wasn't so hard, though...
		11.ea.43^		Эх...|<i>fortfahren</i>

	11.ea.43@21@b-tv-15b@Ладно, хватит с вас на сегодня... Вы всё усвоили? Без меня не трахаться. Ясно?|Okay, that's enough for today. Have you learned your lesson? No fucking without me.
		11.ea.44^		Ясно...|We understand the rules, Alice

	11.ea.44@25@b-tv-20@Тогда одевайтесь, пока я не придумала для вас что-нибудь новенькое... Наверняка, думали уже об этом? Вот по Максу видно, что он думал о чём-то таком...|Get dressed before I think of something else... Have you been thinking about other ways I could punish you? Max looks like he did...
		leave!set_sexz_0!time^		Может быть... <i>(одеться)</i>|Maybe <i>(get dressed)</i>



# --- 0.11: Серьёзный разговор с мамой насчёт Лизы

	11.ea.45@60@b-tv-21@В каком смысле? Лиза единственный невинный ребёнок в нашей семье. Я уж не пытаюсь вам нравоучения читать, но она...|The big deal is she's the last normal kid in the family. I want to keep her from getting sucked into this vortex of perversion our family has turned into.
		11.ea.46^	Может, она тоже...|Maybe she's not as innocent as you think she is...

	11.ea.46@62@b-tv-24@Что? Я чего-то не знаю? Что она? Только не говорите, что вы и её испортили!|Was? Why would you say that? Did you corrupt her too already!?
		11.ea.47^	Нет, что ты...|No, she's just not a little girl anymore, that's all

	11.ea.47@63@Алиса, ну прикрой ты свою... Сидишь в такой позе...|Alice, if you're going to keep sitting in this pose, can't you at least cover yourself?
		11.ea.48^	Хех...|Heh

	11.ea.48@22@b-tv-22@Извини, мам... Просто я подумала, что мне нечего вас стесняться... после фильмов и, вообще...|I'm sorry, mom. It just, being shy around you feels kinda silly, after everything we've done, the movies and everything...
		11.ea.49^	<i>далее</i>|<i>fortfahren</i>

	11.ea.49@60@b-tv-23@Вот об этом я и хотела с вами поговорить. Конечно, ситуация... немного пикантная, но что делать, раз уже разговариваем...|Oh, that reminds me. I wanted to talk about this. That's not how I imagined the conversation, but since we're already here...
		11.ea.50^	<i>далее</i>|<i>fortfahren</i>

	11.ea.50@62@b-tv-22@В общем, давайте так договоримся. Вы не портите мне младшую дочь, а я закрываю глаза на эти ваши... всякие... не знаю даже как это называется...|Anyway, here's the deal. I made piece with you... doing things. I can't punish you for this behavior after pushing you into filming incest porn. But you can't drag Lisa into any of this.
		11.ea.51^	Как это не портить?|We're not!

	11.ea.51@60@b-tv-23@А так, что она остаётся девочкой. И поверьте, я узнаю, если что-то случится. А если вы как-то будете к этому причастны, то сразу скажу что вас ждёт...|Lisa's a virgin and should stay that way. I'll know if something happen to her. And if you'll have anything to do with this...
		11.ea.52^	<i>далее</i>|<i>fortfahren</i>

	11.ea.52@63@b-tv-22@Если ты, Макс, хоть пальцем тронешь Лизу, я имею в виду... сам понимаешь что, то отправлю тебя в тот лагерь, куда хотел отправить тебя Эрик...|If you ever touch her, Max—you know what I mean—I'll send you to the military camp Eric was talking about.
		11.ea.53^	Но мам!|But mom!

	11.ea.53@62@b-tv-23@Что мам? Я тебя предупредила. Если уж ты настолько распустил руки и не только, то заслуживаешь нормального воспитания, пусть и военного... Понял?|No buts. I'm warning you. If you do anything to Lisa — you go.
		11.ea.54^	Понял...|I understand

	11.ea.54@60@b-tv-24@Алиса, а ты поосторожнее со своими этими наказаниями. Лиза же видит член Макса, а у неё молодой растущий организм, гормоны, понимаешь?|And Alice, be careful with your punishments. Lisa can see Max's cock, she's a young developing girl full of hormones... You don't want to put funny ideas in her head.
		11.ea.55^	<i>далее</i>|<i>fortfahren</i>

	11.ea.55@20@Понимаю, но если заслужат, я их накажу. И ничего с Лизой не случится. Кроме того, Лиза видит член Макса каждое утро, когда у него стояк! Верно?|I understand, but if they deserve it, I'm going to punish them. Besides, Lisa probably sees Max's cock every morning anyway. Don't you get morning wood, Max?
		11.ea.56^	Ну... не знаю... может быть...|She, em... might see me. Sometimes

	11.ea.56@62@Ясно. Ну, я вас предупредила. Между собой делайте что хотите, но Лизу не трогайте. И не вовлекайте в свои... развлечения. И Алиса, ну прикройся же!|Anyway, I'm drawing the line here. You can do anything you want with each other, but Lisa is off limits. And cover yourself, Alice!
		11.ea.57^	Гы...|Heh

	11.ea.57@22@b-tv-23@Ой, я забылась... Извини, мам. Мы всё поняли. Будем вести себя аккуратно, тихо, Лизу не трогать. Не переживай, всё будет хорошо!|Sorry, I forgot. We understand, mom. We'll be careful not to get Lisa involved. Don't worry, everything will be all right.
		11.ea.58^	Да, мам!|Yes, mom

	11.ea.58@60@Ладно. Тогда делайте то, чем занимались, если хотите, я пойду по своим делам...|Okay. I'm gonna go now. You can do your thing.
		11.ea.59^	Угу...|Okay

	11.ea.59@22@b-tv-6@Да... Прикольно получилось... Похоже, мама и правда очень оберегает нашу сестрёнку. Ну, это и к лучшему...|That was loads of fun... Mom is really protective of Lisa. I'm glad we had this conversation.
		11.ea.60^	Это ещё почему?|Why is that?

	11.ea.60@21@Потому, что ты теперь понял, что я не шутила насчёт того видео. Конечно, я бы не хотела его использовать, но если придётся... Или недостаточно будешь стараться...|Because now you have official confirmation from mom: get caught with Lisa and that's that. Which means you have to do <b>everything</b> I do if you don't want mom to see that video...
		11.ea.61^	Алиса!|This is not a joking matter, Alice!

	11.ea.61@25@Да я шучу! Или нет... Посмотрим. Да не парься! Я же до сих пор вас не сдала. Может быть, и не буду... Ну всё, думаю, на сегодня мы закончили... И спасибо тебе...|Relax, Max. I haven't snitched on you yet, have I? Everything will be fine.\nI think we're done for today. Thank you, Max, even if we didn't get to finish.
		leave!set_atv_4!add_it1_1!max_cam.4.grow_300!set_mcw_3!time^	Угу...|Yeah



# --- 0.11: Ответвление в ночных сценах с Алисой (из-за паука)

	11.fa.0@33@b-alisasleep-1@Случайно, говоришь? Тогда тебе придётся передо мной извиниться... Догадываешься, как именно?|An accident, you say. Don't you think you owe me an apology then? How are you going to pay me off?
		11.fa.1^		Хм. Ну есть пара идей...|I have a couple of ideas...

	11.fa.1@21@b-alisasleep-2@Надеюсь, твой язычок будет не хуже твоих шаловливых ручек... И не спеши... Мне нравится, когда сначала медленно, нежно, а потом... Ну ты сообразишь...|I hope your tongue is as good as your hands... Start slow, Max, there's no hurry...
		11.fa.2^		<i>ласкать Алису</i>|<i>pleasure Alice</i>

	11.fa.2@4@b-alisasleep-3@<i>Похоже, она всё это спланировала с самого начала... И притворялась, что спит... А я как всегда повёлся... И поведусь снова!</i>|<i>I think she was counting on this from the beginning... Pretending to sleep, just to get here... And of course she expected me to do everything I did... And I'll gladly do it all again!</i>
		11.fa.3^		<i>продолжать</i>|<i>fortfahren</i>

	11.fa.3@25@b-alisasleep-4@Да, Макс, так... Как же хорошо... Кажется, я уже не могу обходиться без твоих... ласк... это так классно... да... можно чуть быстрее...|Yes, Max... So good... I can't live without this... This in incredible... You can speed up a bit...
		11.fa.4^		<i>продолжать</i>|<i>fortfahren</i>

	11.fa.4@26@b-alisasleep-5@Да, Макс, да! Я кончаю... да... ещё... чуть-чуть... да... ох... я не чувствую своих ног... всё... я в раю...|Yes, Max! I'm cumming... almost... Yes... oh... I can't feel my legs... I'm in heaven.
		11.fa.5^		<i>закончить</i>|<i>beenden</i>

	11.fa.5@21@b-alisasleep-2@Уж не знаю откуда у тебя такой талант... Но мне он очень нравится... Ну что, пойдёшь в свою комнату?|I don't know how you're so good at this, but I appreciate it. Should you go to your room now?
		asf=0&11.fa.6^		Может, продолжим?|Why stop now?
		asf>0&11.fa.8!max_poss.spiders_9^		Я хочу продолжение!|Why stop now?

	11.fa.6@22@Ну не знаю, Макс... Может быть, но в другой раз... Мне что-то так хорошо и я бы просто уснула...|I don't know, Max... Another time, maybe... I just want to sleep...
		11.fa.7^		Но в следующий раз с продолжением, хорошо?|Fine, but next time we'll do more, okay?

	11.fa.7@25@Ладно, ладно... Ну всё, иди...|Okay, okay... go now...
		leave!set_asf_1!max_cam.1.grow_300^	<i>уйти</i>|<i>verlassen</i>

	11.fa.8@33@Ну давай... Я бы очень хотела узнать сколько раз за ночь я могу кончить...|Why, indeed... Let's see how many times you can make me cum in one night...
		10.ba.12^		Садись сверху!|Get on top
		10.ba.15^		Поворачивайся!|Turn around



# --- 0.11: Ответвление в эвенте с курящей Алисой (если у неё есть компромат)

	11.ga.0@24@Что? А может быть это я тебя накажу? Сейчас спущу твои шорты и отшлёпаю, если будешь меня доставать...|How about I punish you instead? Stop bothering me, or I'll spank you right here.
		11.ga.1^		С чего ты такая смелая?|Why are you so brave suddenly?

	11.ga.1@21@А с того, что у меня есть видео, где ты трахаешь нашу младшую сестрёнку. Забыл? Или хочешь, чтобы я его показала маме?|Because I have a video where you're fucking our little sister. So my dirt beats yours. Now beat it before I beat you.
		11.ga.2^		Блин...|Misst...

	11.ga.2@25@Так что, тебе повезло, что я не в настроении на тебе как-нибудь оторваться... Но если будешь надоедать...|You're lucky I'm in a good mood and don't want to do anything. But if you keep bothering me...
		leave!set_dcd.alisasmoke_1!lock^		Ладно, ладно, ухожу, блин...|Schön, schön, I'm leaving



# --- 0.11: Макс интересуется у Лизы насчёт её разговора с мамой по поводу секс-обучения

	11.ha.0.init@0@Ну как, общалась с мамой насчёт уроков?|So, how is mom's sex ed going?
	11.ha.0@49@Ага, беседовали несколько раз... Похоже, она очень обеспокоена тем, что я могу попасть в плохие руки...|We talked a couple of times. She seems really worried I might get mixed into something...
		11.ha.1^		А подробнее?|What'd she say?

	11.ha.1@43@Ну, сказала держаться от тебя подальше, если ты будешь проявлять какие-то намёки... Вот скажи, когда ты меня трахаешь в попку, это считается намёком?|She said to stay away from you if you try something dirty... Do you think getting railed in my ass on a regular basis counts as something dirty?
		11.ha.2^		Гы...|Heh

	11.ha.2@41@В общем, я изображаю из себя саму невинность, беседуем на разные темы, обсуждаем разные вещи... Ну, тебе это всё знать не важно...|Basically, I'm acting all innocent, we talk about stuff... You don't have to know.
		11.ha.3^		Да как не важно?|Yes I do!
		11.ha.3^		Хочу всё знать!|Why not?!

	11.ha.3@40@Макс, ну зачем тебе знать про тонкости женского организма? Зато скоро дойдёт очередь до изучения мужского...|Mom mostly talks about how female bodies work, you wouldn't be interested. But when we start talking about male bodies...
		11.ha.4^		И что тогда?|Then Was?

	11.ha.4@43@И тогда я попрошу маму, чтобы она позвала тебя и на тебе будем изучать мужское тело. Как тебе идея?|Then I can ask mom about inviting you as a guest prop. How do you feel about that?
		11.ha.5^		Да она не согласится!|There's no way she'll say yes

	11.ha.5@41@Угу, скорее всего... Но ты же знаешь, я бываю убедительна. К тому же, скажу, что видела тебя кучу раз голым и не стесняюсь, но плохо рассмотрела...|Maybe not... But you know I can be convincing. I can say I've seen you naked a bunch of times already, but I never had a good look.
		11.ha.6^		Да уж, плохо...|Sure you hadn't

	11.ha.6@43@Ну маме это знать не обязательно. Предложу выбор - изучать тебя под её присмотром или ночью, пока ты спишь. Она точно выберет первый вариант...|Mom doesn't know that, dummy. I can say I'm either looking at you with her in the room or I can look at your cock in the middle of the night when you're asleep. I'm sure she'll choose the first option.
		11.ha.7^		Но и от второго не надо отказываться...|Those things aren't mutually exclusive...

	11.ha.7@40@Конечно! Вот только бы нас мама не поймала. Она так меня оберегает... Не могу понять почему. Насчёт Алисы же не трясётся, а тут...|Of course not. As long as mom doesn't catch us. She's so protective... I don't know why. I don't think she's worried about Alice and you...
		11.ha.8^		Да, странно...|Yeah, weird
		11.ha.8b^		Ну Алиса большая, вроде как...|Maybe it's because Alice is the older one...

	11.ha.8b@41@То есть, она думает, что с Алисой у тебя ничего быть не может, а вот меня надо беречь. Так?|And that somehow means Alice and you are incapable of doing anything? Why would she only protect me and not both of us?
		11.ha.8b.1^		Или знает, что с Алисой уже что-то было...|Maybe she already knows about Alice and me...
		11.ha.8^		Да, странно...|Yeah, weird

	11.ha.8b.1@50@Мама знает про вас с Алисой?! Да ладно? Или ты не уверен?|Mom knows about Alice and you!? And you don't get punished into oblivion? No way she'd be fine with that!
		11.ha.8b.2^		Не важно...|Yeah, no way...

	11.ha.8b.2@41@Да уж, не важно... Ну ладно. Так или иначе, мама меня бережёт. Почему-то от тебя. Насчёт моих одноклассников даже не спрашивает...|Anyway, mom is trying to protect me. And not just protect me in general, she protecting me specifically from <i>you</i> and not from my classmates or anything.
		11.ha.8^		Ага, удивительно...|Yeah, so weird...

	11.ha.8@40@В общем, буду продолжать у неё интересоваться всякими темами... И рано или поздно дойдёт очередь и до тебя...|In any case, I'm going to keep talking to her about sex. Eventually we should get to discussing you.
		11.ha.9^		Надеюсь на то...|I hope so

	11.ha.9@41@Кстати, может быть, тебе с мамой поговорить об этом? Ну, если ты и сам предложишь помощь и как-то к этому подведёшь, то будет проще...|By the way, do you want to talk to her about it too? You know, offer your help someWie?
		11.ha.10^		А не будет подозрительно?|Aren't you afraid mom will think we're conspiring behind her back?

	11.ha.10@40@А это уже зависит от того что ты будешь говорить и как... В общем, постарайся, а то нас раскроют, тебя в лагерь, а мне по жопе...|That depends on what you'll say to her. Do try not to get caught, you know what's at stake...
		11.ha.11^		Ох...|Yeah

	11.ha.11@43@Что, переживаешь насчёт моей попки? Скажу по секрету, мне начинает нравиться, когда меня шлёпают. А вот лагерь тебе вряд ли понравится...|I'll tell you a secret, Max: I'm starting to like being spanked... I doubt you'll like your punishment, though. Especially if mom goes nuclear and throws you in the military camp.
		11.ha.12^		Хм...|Yeah...

	11.ha.12@41@Так что постарайся. Ну всё, давай сменим тему... И не забудь поговорить с мамой!|You better not screw up, Max, but I still think you should talk to mom.
		leave!set_lidea_3^			Конечно!|I will



# --- 0.11: Разговор с мамой насчёт Лизы

	11.hb.0.init@0@Я хотел поговорить насчёт Лизы...|I want to talk about Lisa...
	11.hb.0@62@Хорошо. Давай поговорим. А о чём конкретно?|Okay. What do you want to talk about?
		11.hb.1^		Насчёт ваших уроков...|About your lessons

	11.hb.1@69@Ага. Она тебе рассказала? Это не совсем уроки. Так, беседуем о разном. Оказывается, она совершенно ничего не знает о сексе... Ну, не знала. Пытаюсь её подготовить...|She told you about those? They aren't really lessons, we just talk about... stuff. She doesn't know anything about sex. Well, didn't know before our talks.
		11.hb.2^		И как, получается?|And how is everything going?

	11.hb.2@62@Да. Видимо, у неё тоже гормоны, её неожиданно заинтересовала тема секса... Но сразу хочу тебя предупредить - не пытайся даже думать о ней!|Okay, I guess. She's growing up, so she's really interesting in sex... But I'm warning you, Max, don't even think that way about her!
		11.hb.3^		Мам, она же моя сестра!|But she's my sister!

	11.hb.3@60@Ну да... Алиса тоже твоя сестра. И чем вы занимаетесь? Хотя бы Лиза должна быть ограждена от твоего пагубного влияния!|Yes, and so is Alice. Stay away from Lisa, I don't want you to corrupt her!
		11.hb.4^		Почему пагубного?|Corrupt her?

	11.hb.4@69@Да потому, Макс, что ты так или иначе оказываешься причастен ко всему, что связано с разложением нашей семьи. Всё же было прекрасно и до чего мы дошли?|Don't play innocent with me, Max, you're somehow mixed into every perverted aspect of our new lives. Everything was great, but look where we are now!
		11.hb.5^		До чего?|In a great house?

	11.hb.5@62@А то ты не знаешь... То, что у вас с Алисой, съёмки в фильмах, совместные просмотры порно... Да ещё этот твой туннельный синдром...|Don't get smart with me. Things you do with Alice, the movies we make, our porn watching sessions... And your tunnel syndrome...
		11.hb.6^		А что с ним?|What about it?

	11.hb.6@69@Наверняка, и его выдумал? Хотя, Кира подтвердила, что есть у тебя такая проблема... Ладно, не хочу даже думать, что ты что-то подстроил специально...|You made it up, didn't you...? Wait, Kira was the one who told me about it... In any case, you are directly involved into every perverted thing in our house!
		11.hb.7^		Ничего я не подстраивал, честно!|Doesn't mean I'm the cause of all this!

	11.hb.7@60@Ладно. Ты извини, я не хочу тебя ни в чём обвинять, просто поделилась мыслями. Так или иначе, но Лизу не трогай, пусть растёт как обычная девочка...|... I guess... I don't want to blame everything on you, Max, it's just... She's the last normal thing I have. Can we please keep it that way? Without turning her into a porn star?
		11.hb.8^		Конечно, мам!|Of course, mom. But you have to understand she's not a little girl, she doesn't care about teddy bears and unicorns anymore. It's not my fault she's grown into a young woman

	11.hb.8@69@Очень хорошо. Но я хотела спросить ещё кое о чём. Лиза упоминала, что ты часто просыпаешься... в возбуждённом состоянии. Как она на это реагирует?|I know that...\nThere something I wanted to ask you, by the way. Lisa mentioned you often wake up... aroused. How is she reacting when this happens?
		11.hb.9a^		Ну, спокойно...|I don't know, adequately? No reaction, really
		11.hb.9b^		Ей нравится...|She likes it

	11.hb.9a@67@Это хорошо. Помню первый раз, когда она закричала, я сама была в шоке, а уж что у неё в голове было в тот момент не представляю...|Good. I remember how much screaming there was that one time... Even I was shocked. I can't imagine what she thought about when she saw you...
		11.hb.9^		То же, что и у тебя, наверное...|Same thing you did, probably

	11.hb.9b@68@В каком... в каком смысле нравится? Как ты понял?|Wha... what do you mean she likes it? How do you know?
		11.hb.9a^		Да я пошутил. Спокойно реагирует...|I don't, how could? Bad joke, sorry. She doesn't really react much

	11.hb.9@73@Вот это вряд ли... Кстати, а ты не проявлял к ней... какой-то интерес. Я имею в виду в сексуальном плане. Намёки какие-то, может быть? Говори честно!|Not likely... Okay, next question is... Have tried something with her? Maybe some sexual suggestions or something? Be honest!
		11.hb.10^		Мам, она моя сестра! Младшая! Ничего не было!|She's my little sister, mom! Nothing ever happened!

	11.hb.10@69@Ладно. Я должна была спросить, ты уж извини, просто тебя проверяла. Лиза тоже самое сказала. Значит, и правда всё хорошо...|Okay. I'm sorry for asking, but I had to know. Lisa said same thing. Looks like everything is fine.
		11.hb.11^		Я тебе так и сказал!|I've told you so!

	11.hb.11@60@Хорошо. В этом случае я могу тебя попросить об одной услуге. Сделаешь кое-что для меня, для Лизы?|Good. Then I can ask for a favor from you. Can you do something for me and your sister?
		11.hb.12^		Всё что угодно...|Anything
		11.hb.12^		А что нужно?|What do you want me to do?

	11.hb.12@69@Ты не мог бы поискать где-то в интернете учебные материалы на тему... сексуального воспитания. Для Лизы...|Could you maybe look for sex ed textbooks for Lisa?
		11.hb.13^		Зачем?|Why?

	11.hb.13@73@Ну как зачем. Одно дело - рассказывать в общих деталях обо всём. Другое, когда речь заходит о половых органах, процессе и прочем. Как на словах тут что-то объяснить?|I think some professional visualization will be able to help. Show, don't tell, you know. I'll be able to explain things better, and Lisa will be able to understand things easier.
		11.hb.14^		И что нужно, например?|So, textbooks...

	11.hb.14@69@Может быть, учебные фильмы, книги... Ну, где есть картинки подходящие...|Doesn't have to be textbooks. Educational videos will work just as well. The important part is it should have images.
		11.hb.15^		Так может быть я помогу иначе?|I don't know, sounds really expensive...

	11.hb.15@60@Как это... иначе? Есть идея лучше?|Yeah, that might be a problem... But we need it for your sister, Max. I don't know any other way to show her things.
		11.hb.16^		Ну да. Ты можешь на мне всё показывать...|I mean... you could use me as an example...

	11.hb.16@62@Макс, ну что за глупости! Я же сказала, что хочу сберечь её от тебя... И тут ты со своим членом...|Don't be ridiculous, Max! I just told you I don't want her to come close to your cock!
		11.hb.17^		Да она всё видела кучу раз!|She's seen it a hundred times already anyway!

	11.hb.17@69@Ну не знаю. Это как-то неправильно... А вдруг она сама тобой заинтересуется? В нашей семье такое бывало, знаешь ли...|I don't know, Max, it sounds wrong. What if she gets interested in you? Wouldn't be the first time for our family...
		11.hb.18^		Я буду джентльменом, обещаю!|I'll be a perfect gentleman, I promise!

	11.hb.18@73@Ну хорошо, Макс... Я подумаю. Идея очень странная, но раз Лиза и правда всё видела и ты не против. К тому же, обещаешь вести себя хорошо... То, может быть...|I don't know, Max... I'll think about it. It sounds ridiculous, but since she's seen it so many times already anyway...
		11.hb.19^		Если что - зовите!|Well, call me if you need me

	11.hb.19@69@Договорились! Но Лизе ничего не говори. Вообще, не разговаривай с ней о сексе, пожалуйста. Я хочу сама контролировать поток информации на эту тему...|Okay. But don't tell anything to Lisa. Don't tell her anything about sex, period. I want to control the information flow on this topic.
		leave!set_lidea_4^			Хорошо, мам, не переживай!|Okay, mom, don't worry



# --- 0.11: Диалог с Лизой после диалога с мамой

	11.hc.0.init@0@Я поговорил с мамой...|I've talked to mom...
	11.hc.0@43@Ну и как, когда в военный лагерь едешь?|Oh. I'm gonna miss you, Max. Will you write me?
		11.hc.1^		Да никуда я не еду!|I'm not going anywhere!

	11.hc.1@41@Вот как... Значит, всё прошло хорошо? Рассказывай!|Well that went better than expected. Any good news?
		11.hc.2^		<i>пересказать диалог</i>|<i>tell her about the conversation</i>

	11.hc.2@43@Прикольно. Значит, будешь учебным пособием? А ты не думаешь, что мама что-то заподозрит, если мы с тобой будем плохими актёрами?|Cool. So, you're going to be a teaching prop? Don't you think mom might suspect something if we won't be convincing enough?
		11.hc.3^		А ты старайся!|You better be pretty fucking convincing then!

	11.hc.3@41@А почему сразу я? Меня до сих пор не поймали ни на чём таком... А вот ты постоянно палишься! Поэтому, ты и старайся лучше.|Me? When was the last time I got caught? You're the one constantly getting in trouble by saying something dumb, Max. You should worry about your performance, not mine.
		11.hc.4^		Кстати, наш разговор - секрет!|And by the way, this conversation never happened

	11.hc.4@40@Да я поняла уже. Всё, что происходит между нами - секрет! Это и так очевидно. Ну всё, теперь надо маму плавно подвести к этому и посмотрим, какой из тебя получится манекен...|Yeah, I figured. Don't have to be a genius to know pretty much everything we do is a secret. Now I just have to convince mom you're going to be a decent enough teaching prop...
		11.hc.5^		Почему сразу манекен?|Why prop, by the way?

	11.hc.5@43@А ты думаешь, мама предложит тебе меня трахнуть... В научных целях, да? Даже и не мечтай! Будем смотреть на твой член и обсуждать как было бы здорово, если бы он был внутри...|What else? Do you think mom will have you fuck me right in front of her for the educational purposes? In your dreams, Max. We'll be looking at your cock and discussing how it could feel inside...
		11.hc.6^		Шутишь?|Are you serious?

	11.hc.6@41@Что ты... Как я могу? Конечно, шучу! А если честно, то я не знаю как всё пройдёт и что будет... Вот и увидим, чего гадать...|How would I know what we're going to do? We'll just have to wait and see.
		11.hc.7^		Угу...|I guess

	11.hc.7@40@Ну всё, давай сменим тему. В любом случае, ещё нужно маму как следует подготовить...|Let's change the subject. There's no point in guessing. And we have to talk mom into this anyway...
		leave!set_lidea_5!set_dcd.lidea_2^			Хорошо...|Okay



# --- 0.11: Ответвление в событиях клиники, первая неудача Макса

	11.ia.0@132@a-clinic-20@Так... Похоже, мой наряд не слишком тебе помогает... Я бы могла и сама тебе помочь, но это будет очень непрофессионально с моей стороны...|Looks like my outfit doesn't cut it anymore... I could help you myself, but it would be terribly unprofessional...
		11.ia.1^		Никто не узнает!|No one has to know!

