# --- Разговор с мамой по поводу инцидента в ванной|Gespräch über die Veranstaltung im Bad

	newpun.max.start.private.12@68@e-mpr-6@Помогу? С чем? С этим? Ты издеваешься? Быстро приводи себя в порядок и бегом к столу! Тоже мне, нашёл «помощницу»...|Hilfe womit? Mit deinem....? Willst du mich verarschen? Machen Sie sich salonfähig und geh sofort an den Tisch! Du können jemand anderen um "Hilfe" bitten.
		needpunish>0&newpun.start^							<i>идти к столу</i>|<i>zum Tisch gehen</i>
		needpunish=0&hour=9&breakfast.default^				<i>идти к столу</i>|<i>zum Tisch gehen</i>
		needpunish=0&hour=19&dinner.default^				<i>идти к столу</i>|<i>zum Tisch gehen</i>

	newpun.max.start@62@e-nsp-max-0@Ну, Макс, снимай шорты. Остальные просто посмотрят, что бывает, когда кто-то косячит...|Nun, Max, zieh deine Hose runter. Der Rest kann zusehen und sehen, was passiert, wenn man Mist baut.
		newpun.max.next.1^		<i>Снять шорты</i>|<i>Hose herunter ziehen</i>

	newpun.max.next.1@69@e-nsp-max-1@Хорошо. А теперь, ложись на мои колени и приступим, а то все голодные сидят...|Gut. Jetzt leg dich auf meine Knie und lass uns anfangen, alle warten.
		newpun.max.next.2^		<i>Лечь на её колени</i>|<i>Leg dich auf die Knie.</i>

	newpun.max.next.2@8@e-nsp-max-2@<i>Блин... Какой позор! И все с таким интересом меня разглядывают... Кажется, так можно весь авторитет потерять...\n<color=orange><b>Внимание:</b> Ваш авторитет среди присутствующих снизился!</color></i>|Das ist so peinlich! Alle schauen mich an.... Das kann nicht gut für meine Autorität sein\n<color=orange><i><b>Achtung:</b> Deine Autorität beir allen Anwesenden hat sich stark verringert!</i></color>
		newpun.max.next.3!add_alisa.dom_-100!add_liza.dom_-100!add_mom.dom_-100!add_count.max.spanked_1^	<i>далее</i>|<i>fortsetzen</i>

	newpun.max.next.3@62@e-nsp-max-3@Ну всё, Макс, одевайся. Надеюсь, ты сделал выводы и постараешься больше не попадать в эту унизительную ситуацию...|Okay, Max, du kannst jetzt deine Hose hochziehen. Ich hoffe, du hast deine Lektion gelernt und du wirst versuchen, nicht wieder in diese Situation zu kommen.
		needpunish>0&newpun.start^						Да, м?м...|Ja, Mom
		needpunish=0&hour=9&breakfast.default^			Да, мам...|Ja, Mom
		needpunish=0&hour=19&dinner.default^			Да, мам...|Ja, Mom

	newpun.alisa@62@e-nsp-alisa-0@Так, Алиса, раздевайся догола. Надеюсь, не надо объяснять, за что я тебя сейчас буду наказывать и сама всё понимаешь...|Jetzt, bist du dran, Alice, zieh dich aus. Ich hoffe, ich muss dir nicht sagen, warum Du bestraft wirst.
		erictaboo=0&eric.athome=0&newpun.alisa.next.1^						<i>далее</i>|<i>fortsetzen</i>
		erictaboo=0&eric.athome=1&alisa.inf>69&newpun.alisa.next.eric.1^	<i>далее</i>|<i>fortsetzen</i>
		erictaboo=0&eric.athome=1&alisa.inf<70&newpun.alisa.next.1^			<i>далее</i>|<i>fortsetzen</i>
		erictaboo>0&newpun.alisa.next.1^									<i>далее</i>|<i>fortsetzen</i>
		sispun>0&dcd.sispun=0&weekneed=0&06.npna.1^							Мам, давай сегодня я это сделаю!|Lass mich das heute für dich tun, Mom.
		spun=2&dcd.spun=0&08.dc.0!set_dcd.spun_1!set_spun.alisa_1^			Мам, я накажу Алису после ужина, хорошо?|Lass mich Alice nach dem Essen bestrafen, Mom.
		momcon=1&13.fa.0^													Нет, мам, ты неправа...|Nein, Mom, du liegst falsch.

	newpun.alisa.next.1@60@e-nsp-alisa-1@Ну как, Алиса, стыдно тебе? Молчишь? Вот подумай о своём поступке, пока я буду наказывать тебя на глазах у всех... Ложись на мои колени!|Also, Alice, schämst du dich jetzt? Nichts zu sagen? Denk darüber nach, was du getan hast, während ich dich vor allen bestrafen werde. Leg dich auf meine Knie.
		newpun.alisa.next.2^	<i>далее</i>|<i>fortsetzen</i>

	newpun.alisa.next.2@4@e-nsp-alisa-2@<i>Вот в такие моменты я не жалею, что нас наказывают голыми на глазах друг у друга! Даже порно не надо, когда такое шоу в паре метров от меня!</i>\n\n<color=lime><i><b>Внимание:</b> Ваш авторитет у Алисы немного повысился!</i></color>|<i>Momente wie dieser lassen mich denken, dass diese ganze Idee, uns nackt zu bestrafen, vielleicht doch nicht so schlimm ist! Ich brauche keinen Porno, wenn es so einen Anblick direkt vor mir gibt!</i>\n\n<color=lime><i><b>Achtung:</b> Deine Autorität bei Alice hat sich verbessert!</i></color>
		newpun.alisa.next.3!add_alisa.dom_100^	<i>далее</i>|<i>fortsetzen</i>

	newpun.alisa.next.3@62@e-nsp-alisa-3@Ну что, получила урок? Стыдно? Правильно. Должно быть стыдно. Надеюсь, это больше не повторится. А теперь, одевайся...|Hast du deine Lektion gelernt? Schämst du dich? Das solltest du auch. Ich hoffe, ich muss das nicht noch mal machen. Jetzt zieh dich an.
		needpunish>0&newpun.start^													<i>продолжить</i>|<i>fortsetzen</i>
		needpunish=0&hour=9&breakfast.default^										<i>начать завтрак</i>|<i>Frühstück anfangen</i>
		needpunish=0&hour=19&dinner.default^										<i>начать ужин</i>|<i>Essen anfangen</i>

	newpun.liza@62@e-nsp-liza-0@Лиза. Мне нужно всем объяснять за что ты сейчас будешь наказана? Молчишь? Значит, знаешь... Всё, давай раздевайся догола и быстро, без разговоров!|Lisa. Muss ich allen sagen, warum du jetzt bestraft wirst? Nichts zu sagen? Gut. Jetzt raus aus allen deinen Sachen.
		newpun.liza.next.1^		<i>далее</i>|<i>fortsetzen</i>
		can.lizabj>0&05.mlpu.0^														Лиза не виновата! Это всё моя вина!|Das ist meine Schuld, nicht die von Lisa!
		sispun>0&dcd.sispun=0&weekneed=0&06.npnl.1^									Мам, давай сегодня я это сделаю!|Lass mich das heute für dich tun, Mom.
		spun=2&dcd.spun=0&08.dc.0!set_dcd.spun_1!set_spun.liza_1^					Мам, я накажу Лизу после ужина, хорошо?|Lass mich Lisa nach dem Essen bestrafen, okay?

	newpun.liza.next.1@60@e-nsp-liza-1@Что прикрываешься, Лиза? Стесняешься? Стыдно? Вот и хорошо... А теперь ложись на мои колени. Быстро!|Warum versuchst du, Dich zu schützen? Schämst du dich? Das solltest du auch. Leg dich auf meine Knie!
		newpun.liza.next.2^		<i>далее</i>|<i>fortsetzen</i>

	newpun.liza.next.2@4@e-nsp-liza-2@<i>Обожаю такие моменты... Голые сёстры сверкают попками и сиськами... Можно смотреть и за это ничего не будет! Красота!</i>\n\n<color=lime><i><b>Внимание:</b> Ваш авторитет у Лизы немного повысился!</i></color>|<i>Ich liebe solche Momente! Ich kann auf die Titten und Ärsche meiner nackten Schwestern schauen, ohne Angst vor Strafe!</i>\n\n<color=lime><i><b>Achtung:</b> Deine Autorität bei Lisa hat sich verbessert!</i></color>
		newpun.liza.next.3!add_liza.dom_100^		<i>далее</i>|<i>fortsetzen</i>

	newpun.liza.next.3@62@e-nsp-liza-3@Лиза, надеюсь, ты извлекла урок из этого наказания. Да, тебе было стыдно и неприятно, что все пялились на тебя, но надеюсь, ты всё поняла и больше это не повторится. А теперь одевайся!|Ich hoffe, du hast daraus gelernt, Lisa. Ich verstehe, dass es erniedrigend und schmerzhaft war, aber ich hoffe, es wird Dich motivieren, meinen Regeln zu folgen, damit Ich dich nicht wieder bestrafen muss.
		needpunish>0&newpun.start^													<i>продолжить</i>|<i>fortsetzen</i>
		needpunish=0&hour=9&breakfast.default^										<i>начать завтрак</i>|<i>Frühstück anfangen</i>
		needpunish=0&hour=19&dinner.default^										<i>начать ужин</i>|<i>Essen anfangen</i>

	newpun.alisa.next.eric.1@83@Ань, давай я сам побеседую с Алисой наедине и, если потребуется, то накажу... Тоже сам...|Ann, lass mich mit Alice allein. Ich werde sie selbst bestrafen, wenn sie es braucht.
		newpun.alisa.next.eric.2a^			Алиса, не соглашайся!|Alice, stimme dem nicht zu!
		newpun.alisa.next.eric.2b^			<i>Пром?лчать</i>|<i>sei ruhig</i>

	newpun.alisa.next.eric.2a@23@e-ea-pun-1@Да всё в порядке, Макс... В любом случае, Эрик... не больно наказывает...|Es ist okay, Max. Erics Strafen.... tun nicht weh.
		newpun.alisa.next.eric.3^			<i>Жд?ть...</i>|<i>Warten</i>

	newpun.alisa.next.eric.2b@62@e-ea-pun-1@Эрик, только не жалей её. Заслужила, должна быть наказана... Хотя, ты сам разберёшься...|Bemitleide sie nicht, Eric. Sie verdient es, bestraft zu werden.... Aber ich vertraue deinem Urteilsvermögen.
		newpun.alisa.next.eric.3^			<i>Ждать...</i>|<i>Warten</i>

	newpun.alisa.next.eric.3@60@e-ea-pun-2@Что, уже? Ну как, Алиса, ты усвоила урок?|Was, jetzt schon? Hast du deine Lektion gelernt, Alice?
		newpun.alisa.next.eric.4^			<i>далее</i>|<i>fortsetzen</i>

	newpun.alisa.next.eric.4@23@Да, мам... Я всё поняла...|Ja, Mom.... Eric machte es klar....
		needpunish>0&newpun.start^													<i>продолжить</i>|<i>fortsetzen</i>
		needpunish=0&hour=9&breakfast.default^										<i>начать завтрак</i>|<i>Frühstück anfangen</i>
		needpunish=0&hour=19&dinner.default^										<i>начать ужин</i>|<i>Essen anfangen</i>



# --- 0.3: Макс рассказывает маме о том, как видел, как Эрик дрочил возле комнаты Алисы|Max erzähle Ann, dass sie Eric vor dem Zimmer der Alice beim Wichsen erwischt hat.

	mom.ericnight.init@0@Мам, я хочу кое-что рассказать...|Mom, ich möchte dir etwas sagen.
	mom.ericnight@60@О чём, Макс?|Was, Max?
		mom.ericnight.tell^								Я видел Эрика ночью...|Ich habe Eric nachts gesehen....
		leave^											Ой, это не важно... В другой раз...|Es spielt keine Rolle.... Ein anderes Mal

	mom.ericnight.tell@62@Опять сказки про Эрика выдумываешь? Что ты там видел?|Wirst du wieder über Eric lügen? Was hast du gesehen?
		mom.ericnight.tell.1^							Он стоял возле комнаты Алисы, смотрел на неё и дрочил!|Er hat in Alices Zimmer geguckt und sich einen runtergeholt!

	mom.ericnight.tell.1@64@Макс! Ты же знаешь, как я ненавижу враньё! Иди с глаз моих долой, пока я не решила тебя наказать за это!|Max! Du weißt, dass ich es hasse, wenn du mich anlügst, besonders bei solchen Sachen! Geh mir aus den Augen, bevor ich dich dafür bestrafe!
		com.ericnight=2&mom.ericnight.tell.2^			У меня есть фото, я сам сфотографировал, смотри!|Ich habe einen Fotobeweis, schau!
		leave!set_com.ericnight_0^						Эх...|Oh...

	mom.ericnight.tell.2@62@Макс, а какого чёрта ты делал ночью на нашем балконе, да ещё и с фотоаппаратом? Одно это уже заслуживает наказания...|Max, was hast du überhaupt auf dem Balkon mit einer Kamera gemacht? Du verdienst es, dafür bestraft zu werden!
		mom.ericnight.tell.3^							Ты же видишь, что он на фото делает?|Siehst du nicht, was er auf dem Foto macht?

	mom.ericnight.tell.3@60@Макс, тут ничего не разобрать. Может быть, он пошёл посмотреть всё ли в порядке, а может быть, это фотошоп. В любом случае, я не хочу больше об этом ничего слышать!|Es ist zu dunkel, Max. Vielleicht überprüft er nur, ob alles in Ordnung ist, oder es ist Photoshopping. Ich will überhaupt nicht darüber reden!
		leave!set_com.ericnight_0!add_mom.mood_-50^		Да что же это такое...|Das ist lächerlich....



# --- 0.3: Макс просит маму не наказывать его публично при всех|Max bittet darum, ihn nicht öffentlich zu bestrafen.

	mom.nop.init@0@Мам, я хотел тебя попросить не наказывать меня при сёстрах...|Mom, ich wollte dich bitten, mich vor meinen Schwestern nicht mehr zu bestrafen.
	mom.nop@62@И с чего мне сделать для тебя такое щедрое исключение? Стыдно?|Und warum sollte ich eine solche Ausnahme für Sie machen wollen? Schämst du dich?
		mom.nop.1^		Очень!|Ja!

	mom.nop.1@60@Значит, наказания работают. И какой смысл мне их отменять или не делать публичными?|Das bedeutet, dass die Bestrafung funktioniert. Warum sollte ich sie weg lassen oder privat machen wollen?
		mom.nop.2^		Я уже взрослый!|Ich bin kein kleines Kind mehr!

	mom.nop.2@75@И в чём эта взрослость проявляется? Ну, кроме понятно чего... Почему я должна относиться к тебе как к взрослому? Ты целыми днями сидишь дома, у меня на шее, полезного минимум... Ты точно взрослый?|Du zeigst das nicht wirklich.... nun, außer dem, den du nicht zeigen solltest. Warum sollte ich dich wie einen Erwachsenen behandeln? Du bleibst den ganzen Tag zu Hause, Du tust nichts Nützliches.... Bist du sicher, dass du kein Kind bist?
		mom.nop.3^		Хорошо. Как я могу тебя убедить?|Okay, wie soll ich mich dir gegenüber beweisen?

	mom.nop.3@62@Не знаю, не знаю, Макс... Это ты мне скажи. Денег в дом ты не приносишь. По дому если и делаешь, то только бассейн и заказываешь что-то в интернете, но это никак не тянет на статус взрослого...|Ich weiß nicht, Max, sag du es mir. Du bringst nichts mit auf den Tisch. Du erledigst kaum Hausarbeiten, schon gar nicht genug, um als Erwachsener zu gelten.
		mom.nop.5^		Я могу зарабатывать!|Ich kann Geld verdienen!

	mom.nop.5@67@Да ты что? И каким же это, интересно, образом? Ты же дома сидишь!|Oh, wirklich? Und wie wollen Sie das machen? Du verlässt nie das Haus!
		mom.nop.6^		У меня есть один проект в интернете...|Ich habe ein Projekt im Internet....

	mom.nop.6@62@Ого! Звучит как грандиозный план! И что же это за проект?|Wow! Hört sich groß an! Was für ein Projekt hast Du?
		mom.nop.7^		Я не могу сказать, но иногда он приносит деньги...|Ich kann es noch nicht sagen, aber ich habe eine Einnahmequelle.

	mom.nop.7@60@А этот твой проект, он законен?|Ist Dein Projekt legal?
		mom.nop.8^		Абсолютно!|Hundertprozentig!

	mom.nop.8@62@Ну ладно, допустим, поверю. Всё равно я в компьютерах этих ваших не разбираюсь. И что ты хочешь сказать, что ты сможешь зарабатывать деньги для семьи на этом своём проекте?|Gut, ich glaube dir. Es ist ja nicht so, als ob ich etwas über Computer wüsste. Wisst Du damit sagen, dass Du mit Ihrem Projekt Geld für die Familie verdienen kannst?
		mom.nop.9^		Ага! И тогда ты не будешь зависеть от Эрика!|Ja! Und du wirst dich nicht mehr auf Eric verlassen!

	mom.nop.9@75@Ты знаешь, у меня нет никаких проблем с Эриком. Но дополнительные деньги в семейный бюджет не помешают. Хорошо, я дам тебе шанс. Но я не могу тебя не наказывать совсем... Так что...|Ich habe keine Probleme mit Eric, aber ich habe nichts gegen etwas mehr Geld im Familienbudget. Gut, ich gebe dir eine Chance. Aber ich kann deine Bestrafungen nicht ganz aufhalten, also....
		mom.nop.10a^	Делай это в комнате!|Mach es in deinem Zimmer!
		mom.nop.10b^	А если много денег?|Was, wenn ich dir mehr Geld gebe?

	mom.nop.10b@62@Макс! Дело же не в деньгах... Я обязана тебя наказывать, если ты заслуживаешь это. Иначе какая я мать... Но я соглашусь делать это без свидетелей. Например, в комнате...|Es geht nicht ums Geld. Es geht darum, eine Nachricht zu senden. Ich bin deine Mutter, Max, ich muss dich bestrafen, wenn du meine Regeln brichst. Aber ich stimme zu, dich allein zu bestrafen. Ich kann es in meinem Zimmer machen.
		mom.nop.11^		От?ично!|Großartig!
	mom.nop.10a@62@Это можно. Конечно, это будет не так эффективно, но если ты ещё и пользу будешь приносить, то почему нет...|Ja, das würde funktionieren. Es wird nicht so effektiv sein, aber wenn Du dich nützlich machst, wird es sich lohnen.
		mom.nop.11^		Отлично!|Großartig!

	mom.nop.11@75@А что отличного? Ты так и не сказал, сможешь ли ты зарабатывать, допустим, $350 в неделю? Если принесёшь, то следующие 7 дней я тебя наказываю наедине. Ну а если нет, то... как всех. Ты согласен?|Zieh nicht zu schnell voreilige Schlüsse, Max, ich habe dir nicht gesagt, wie viel es dich kosten wird. Wie wäre es mit.... $350 pro Woche? Kannst du es bewältigen? Wenn Du mir $500 gibst, werde ich dich die nächsten 7 Tage unter vier Augen bestrafen. Und wenn nicht.... Keine besondere Behandlung für Dich. Abgemacht?
		mom.nop.12^		Я постараюсь...|Ich werde es versuchen.

	mom.nop.12@62@Хорошо, посмотрим на этот твой проект. Кстати, если ты такой богатый, то не стоит просить у меня карманные деньги. Если попросишь, то я аннулирую твой вклад за неделю. Договорились?|Gut, wir werden sehen, wie gut dein Projekt wird. Und da du so reich bist, bekommst du kein Taschengeld mehr. Wenn Du mich um Geld bitten, annulliere ich deinen wöchentlichen Beitrag. Abgemacht?
		mom.nop.13a^	Ты очень меркантильная, мама!|Du bist sehr kaufmännisch, Mom!
		mom.nop.13b^	Договорились!|Deal!

	mom.nop.13a@68@Ах... Макс! Надеюсь, это была шутка. Я же не для себя прошу деньги и это ты ко мне пришёл. Я даю тебе шанс доказать, что ты можешь помогать семье за особое к себе отношение...|Max! Ich hoffe, es war ein Witz. Ich bin nicht derjenige, der diese ganze Idee hatte, du bist zu mir gekommen. Ich gebe dir die Chance, dich zu beweisen, zeig mir, dass du ein verantwortungsvoller Erwachsener bist. Du bekommst eine Sonderbehandlung, wenn du der Familie hilfst.
		mom.nop.13b^	Хорошо, договорились!|Schön, deal!

	mom.nop.13b@67@Ну, я рада, что мы уладили этот вопрос...|Nun, ich bin froh, dass wir uns darauf geeinigt haben.
		leave!set_can.paymom_1^		Ага, супер!|Ja, Großartig!



# --- 0.3: Макс пытается оплатить неделю без публичных наказаний|Max versucht, für eine Woche privater Bestrafung zu bezahlen.

	mom.pay.init@0@Мам, я принёс деньги...|Hier ist das Geld, Mom....
	mom.pay@60@Хорошо. За что они?|Okay, aber wofür?
		mom.pay.1^		Ну, мы договаривались, что ты не будешь меня публично наказывать...|Hatten wir nicht eine Abmachung über private Strafen?

	mom.pay.1@67@Ага, значит, твой проект успешен? Я очень рада за тебя...|Dein Projekt ist also erfolgreich? Ich freue mich für dich.
		money>349&mom.pay.give.500!add_money_-350!set_paidnow_350^		Держи $350|Hier sind $350
		money>699&mom.pay.give.1000!add_money_-700!set_paidnow_700^		Держи $700|Hier sind $700
		money>999&mom.pay.give.2000!add_money_-1000!set_paidnow_1000^	Держи $1000|Hier sind $1000
		mom.pay.1.no^									Ой, я что-то напутал. В другой раз...|Oh, tut mir leid, ich erinnere mich gerade an etwas.... Ein anderes Mal

	mom.pay.1.no@62@Так и знала, что не всё так просто... Ладно, как будут, приноси, обсудим твои наказания...|Okay, wir besprechen deine Strafen, wenn du das Geld hast.
		leave!set_dcd.nextpaymom_1!add_mom.inf_-20^						Ага...|Ja...

	mom.pay.give.500@75@Хорошо, Макс. Будем считать, ты купил себе дополнительную неделю без публичных наказаний. Кажется, ты и правда умеешь деражть своё слово...|Okay, Max, du hast dir eine zusätzliche Woche ohne öffentliche Strafen verschafft. Sieht so aus, als ob du dein Wort halten kannst.
		leave!processpaid!set_dcd.nextpaymom_3!add_dcd.paymom_7!add_mom.inf_-30^	Конечно!|Sicher!

	mom.pay.give.1000@62@Макс, ты точно никого не ограбил? Такие деньги и сидя дома... Хотя, ты же никуда не выходишь... Ну что же, ты купил себе две дополнительные недели без наказаний...|Du hast doch niemanden ausgeraubt, oder, Max? Wie kannst du so viel Geld bekommen, wenn du zu Hause bleibst.... Andererseits ist es nicht so, dass man jemanden ausrauben könnte, ohne das Haus zu verlassen.... Nun, du hast dir weitere zwei Wochen Privatstrafe erkauft.
		leave!processpaid!set_dcd.nextpaymom_5!add_dcd.paymom_14!add_mom.inf_-40^	Супер!|Super!

	mom.pay.give.2000@68@Ничего себе, какие деньги у тебя! Видимо, твой проект и правда успешен... Ну что же, ты купил себе месяц без публичных наказаний... Поздравляю!|Wow, du hast so viel Geld, Max! Ich denke, dein Projekt ist wirklich erfolgreich.... Nun, du hast dir einen weiteren Monat privater Bestrafung erkauft, Glückwunsch!
		leave!processpaid!set_dcd.nextpaymom_7!add_dcd.paymom_30!add_mom.inf_-50^	Спасиб?, мам!|Danke, Mom!


# --- 0.3: Попытка разузнать у мамы её секрет|um nach dem Ereignis aus der Vergangenheit zu fragen.

	mom.aboutstory.init@0@Мам, Кира отправила меня к тебе...|Mom, Tante Kira hat mich zu Dir geschickt....
	mom.aboutstory@60@Кира? Для чего, я не понимаю...|Tante Kira dich geschickt? Warum?
		mom.aboutstory.1^		Она сказала, что знает почему ты так себя ведёшь и она может что-то рассказать...|Sie sagte mir, sie weiß, warum du dich so verhältst, und sie könnte es mir sagen, wenn es dir nichts ausmacht.

	mom.aboutstory.1@62@Макс, что за бред. Как я себя веду? И что она может рассказать?|Das ist lächerlich, Max. Wie verhalte ich mich? Was könnte sie wohl sagen?
		mom.aboutstory.2^		Про какой-то случай из твоего детства...|Sie sagte, es gab einen Vorfall aus deiner Kindheit....

	mom.aboutstory.2@68@Кира совсем не умеет держать язык за зубами... Макс, это точно не та история, которую я хочу тебе рассказать. Давай сменим тему.|Kira sollte ihren Mund halten. Max, das ist nicht die Art von Geschichte, die ich dir erzählen möchte. Lass uns das Thema wechseln.
		mom.aboutstory.3^		Вот теперь мне ещё больше интересно!|Jetzt will ich es wirklich wissen!

	mom.aboutstory.3@69@Макс! Я же сказала, что не хочу об этом. А теперь иди, занимайся своими делами!|Ich sagte doch, ich will nicht darüber reden. Geh und beschäftige dich woanders!
		mom.aboutstory.4^		Ну а тётя может мне рассказать об этом?|Kann mir Tante Kira diese Geschichte erzählen?

	mom.aboutstory.4@62@Нет, Макс. Это тебя не касается и я не хочу возвращаться к этой теме!|Nein, Max. Das geht dich nichts an und ich will dieses Gespräch nicht noch einmal führen!
		leave!set_poss.aunt_11^	Я понял...|Ich verstehe



# --- 0.4: Разговор с мамой по просьбе Кати|Gespräch mit Ann über Lesben

	mom.aboutlesbi.init@0@Мам, я хотел узнать твоё мнение кое о чём...|Mom, ich wollte dich um deine Meinung zu etwas bitten....
	mom.aboutlesbi@60@Да, Макс, слушаю тебя...|Klar, Max, ich höre zu.
		mom.aboutlesbi.step.2^		Что ты думаешь об однополой любви?|Was hältst du von gleichgeschlechtlicher Liebe?

	mom.aboutlesbi.step.2@68@О нет, Макс... Только не это!|Nein, Max.... Alles andere als das!
		mom.aboutlesbi.step.3^		Что?!|Warum?

	mom.aboutlesbi.step.3@69@Я так и знала, что плохо вас воспитывала... Это моя ошибка... И ведь ты мой единственный сын. Какое горе...|Ich wusste, dass ich dich falsch erzogen habe.... Es ist alles meine Schuld.... Du bist mein einziger Sohn, das ist so schrecklich....
		mom.aboutlesbi.step.4^		Мам! Я не гей!|Ich bin nicht schwul, Mom!

	mom.aboutlesbi.step.4@75@Правда?! О, Макс. Как ты меня напугал. Ты не представляешь! А то сейчас куда ни плюнь, везде эти... это... извращение. То геи, то лесбиянки. Фу, какая гадость...|Wirklich!? Oh, Max, du hast mich so erschreckt, du hast keine Ahnung! Es ist jetzt überall, diese.... Perversion. Schwule, Lesben, Ekel erregende....
		mom.aboutlesbi.step.5^		Хм...|Hmmmm...

	mom.aboutlesbi.step.5@72@Постой, а к чему был этот вопрос? Я что-то пропустила...|Warte, warum hast du mich danach gefragt?
		mom.aboutlesbi.step.6^		Нет, ничего, мам. Я просто так спросил...|Kein Grund, Mom, ich habe nur gefragt....

	mom.aboutlesbi.step.6@75@Ну ладно. И даже не общайся с ними, если увидишь. Кто знает, что у них на уме...|Gut. Sprich nicht einmal mit ihnen, wenn du sie triffst. Wer weiß, was sie denken....
		leave!set_poss.guest_2^		Ага, не буду, мам...|Ja, werde ich nicht, Mom.



# --- 0.4: Общий эвент для массажа мамы|Ann's Massage-Event Intro

	mom.massage.init@0@Мам, устала?|Du siehst müde aus, Mom?
	mom.massage@60@Ну, так... Немного... А что ты хотел, Макс?|Tja...... Ein bisschen, vielleicht.... Willst du etwas, Max?
		momas=0&mom.m.1.step.2^				Хочу предложить тебе массаж...|Ich möchte dir eine Massage geben.
		momas>0&momas<4&mom.m.2.step.2^		Хотел предложить массаж...|Ich möchte dir eine Massage anbieten.
		momas=4&mom.m.3.step.2^				Может быть, массаж ног?|Wie wäre es mit einer Fußmassage?
		momas=5&mom.m.5.step.2^				Я вижу, ты готова к массажу...|Ich sehe, du bist bereit für eine Massage....
		momas=6&mom.m.6.step.2^				Ну что, сегодня готова?|Also, bist du heute fertig?
		momas=7&mom.m.7.step.2^				Сделать тебе массаж, конечно!|Ich will dir eine Massage geben, natürlich!
		momas=8&mom.m.8.step.2^				Как всегда, массаж!|wie immer, möchte ich dich massieren.



# --- 0.4: Первый массаж|Erste Massage

	mom.m.1.step.2@62@n-rest-0@Любопытно. И давно ты научился его делать? Даже больше интересно где?|Interessant. Wo hast du gelernt, eine Massage zu machen? Und wann?
		mom.m.1.step.3^						Онлайн-курсы!|Online-Kurse

	mom.m.1.step.3@67@Понятно. Чему только в интернете не учат. Лиза рассказывала, что даже есть уроки как правильно складывать футболку, представляешь?|Ich verstehe. Im Internet kann man heute alles lernen. Lisa hat mir mal von einer Lektion erzählt, wie man ein T-Shirt richtig faltet, kannst du dir das vorstellen?
		mom.m.1.step.4^						Ага. Ну так как?|Ja. Also, wie wäre es mit einer Massage?

	mom.m.1.step.4@62@Ну не знаю, Макс... Ты не выглядишь как... массажист. Да и онлайн-курсы?|Ich weiß nicht, Max.... Du siehst nicht wirklich wie eine Masseuse aus. Und Online-Kurse?
		mom.m.1.step.5^						Ну не знаю. Алисе понравилось...|Ich weiß nicht, Alice hat es genossen....

	mom.m.1.step.5@67@Верно, она говорила, что у тебя талант... Ладно, давай посмотрим, на что ты способен... У меня немного устали ножки. Может быть, их и помассируешь?|Oh, ja, sie sagte, du hättest ein Talent.... Gut, mal sehen, wie das ist.... Meine Beine sind müde, willst du sie massieren?
		mom.m.1.step.6^						Конечно, мам!|Natürlich, Mom!

	mom.m.1.step.6@69@n-mm-0-0@Ну, давай... Только не перестарайся. Не хочу, чтобы потом у тебя руки болели, а то придётся уже мне делать для тебя массаж...|Okay. Aber ich will nicht, dass du dich überanstrengst, sonst muss ich dich massieren....
		random.massage.5=1&mom.m.1.step.7.good^			<i>продолжить</i> [skill.massage_5]|<i>fortsetzen</i> [skill.massage_5]
		random.massage.5=0&mom.m.1.step.7.bad^			<i>продолжить</i> [skill.massage_5]|<i>fortsetzen</i> [skill.massage_5]

	mom.m.1.step.7.bad@60@<color=orange><i>Маме не понравился массаж!</i></color>\nОй, Макс... Нет, что-то не то. Кажется, тебе нужно больше учиться в этом своём интернете... Давай в другой раз...|<color=orange><i>Mom mochte die Massage nicht!</i></color>\nAu, Max.... Irgendwas stimmt nicht. Ich denke, Du musst mehr in deinem Kurse lernen.... Versuchen wir es später noch einmal.....
		leave!set_dcd.momas_1!set_poss.guest_8^			Ладно, извини...|Okay, sorry...

	mom.m.1.step.7.good@75@n-mm-0-1@<color=lime><i>Маме понравился массаж!</i></color>\nОго, Макс... Алиса была права. Ты делаешь это и правда очень хорошо...|<color=lime><i>Mom mochte die Massage!</i></color>\nMax.... Alice hatte Recht. Du bist wirklich gut....
		mom.m.1.step.8!set_poss.guest_9^				Спасибо!|Danke!

	mom.m.1.step.8@67@Это здорово, Макс! Я очень рада, что ты умеешь кое-что, что в жизни может пригодится. Конечно, работа массажистом это не то, о чём я думаю, ты мечтаешь, но...|Das ist toll, Max! Ich bin froh, dass du etwas Nützliches gelernt hast. Ich bin nicht sicher, ob Masseur eine Karriere für Dich ist, von der du träumst, aber....
		mom.m.1.step.9^						Это просто хобби...|Es ist nur ein Hobby.

	mom.m.1.step.9@75@А, ну если так... То... Молодец, Макс. Кажется, мои ножки отдохнули, как будто я спала несколько часов... Я буду рада, если ты будешь делать мне такой массаж иногда...\n\n<color=lime><i><b>Внимание:</b> Ваши отношения улучшились</i></color>|In diesem Fall.... Gute Arbeit, Max. Ich glaube, meine Beine haben sich ausgeruht, als hätte ich mehrere Stunden geschlafen.... Ich würde mich freuen, wenn du das ab jetzt öfters mal machst....\n\n<color=lime><i><b>Achtung:</b> Deine Beziehungen haben sich verbessert!</i></color>
