# --- Шаблон завтрака по умолчанию|Standard-Frühstück

	bf.19.next.10@62@Кира! Хватит! Давайте сменим тему!|Genug, Kira. Lass uns das Thema wechseln.
		bf.19.next.11^			Эх...|Aw...

	bf.19.next.11@41@Только я тоже хотела спросить тётю Киру... А когда ты убираешься в костюме горничной, ты тоже без трусов? Там же короткая юбка, а при уборке нужно наклоняться... и...|Ich möchte auch etwas fragen. Trägst du Unterwäsche zu deinem Dienstmädchen-Outfit? Hat er nicht einen kurzen Rock und man muss sich bücken, um zu putzen und....
		bf.19.next.12^			О, отличный вопрос!|Ja, das ist eine tolle Frage!

	bf.19.next.12@114@Да, Лиза, тоже без трусов. Это же весело! Зато за такую... уборку... могут и доплатить...|Ja, Lisa, dann trage ich auch keine Unterwäsche. Es macht Spaß! Und vielleicht bekomme ich sogar etwas extra Geld für diese Art von Reinigung.
		bf.19.next.13^			Ух...|Wow

	bf.19.next.13@62@Так, всё, мне это надоело! Кира! Ты ни капли не изменилась. А теперь ещё и развращаешь мою семью. Завязывай с этими разговорами! Я уже кучу раз пожалела, что начала этот разговор...|Das reicht, Kira! Du hast dich überhaupt nicht verändert, und jetzt verdirbst du meine Familie! Hör auf mit diesem Gespräch. Ich bedaure, dass ich die Frage gestellt habe.
		bf.19.next.14^			<i>далее</i>|<i>fortfahren</i>

	bf.19.next.14@113@Ань, успокойся, я тебя услышала. Но твои дети уже не дети, если ты не заметила. Они вполне взрослые и это нормально, что их интересуют взрослые вопросы. Но я тебя поняла. Буду сдержаннее...|Ganz ruhig, Ann, ich verstehe dich. Aber Sie sollten daran denken, dass die Kinder jetzt alle erwachsen sind, sie sind keine kleinen Kinder mehr. Ihre Neugier ist völlig normal. Aber ich werde versuchen, zurückhaltender zu sein.
		bf.19.next.15^			<i>далее</i>|<i>fortfahren</i>

	bf.19.next.15@67@Хорошо, я рада. Всем спасибо за завтрак. Хорошего дня!|Okay, ich bin froh das zu hören. Schönen Tag noch!
		leave!time^				Ага, всем спасибо...|Danke, euch allen


















