# --- 0.6: Первый визит Оливии и Алекса вместе, но не парой|lisa spricht Erste Olivia und Alex Besuch nach der Trennung

	06.tola.0@140@m-op-0@Приветик! Это мы. Думали, больше нас не увидите? А вот и нет!|Hallo, alle zusammen! Wir sind es. Dachtest du, du siehst uns nie wieder? Hier sind wir!
		leave!set_puntabu_1!set_dcd.puntabu_7^		Хорошо!|Deal

	06.mmad.pun@75@Что, передумал? Не хочешь быть особенным? Понимаю... Ладно, раз тебе этого хочется, буду наказывать за твои косяки...|Also, hast du deine Meinung geändert? Willst du nicht mehr auffallen? Ich verstehe. Okay, wenn es das ist, was du willst, wirst du wieder bestraft.
		leave!set_puntabu_0!set_dcd.puntabu_7^		Ага, это справедливо!|Das ist fair

	06.mmad.sispun@62@Вот это запрос, Макс! Ты же знаешь, что я наказываю всех в обнажённом виде? Не слишком ли будет для тебя, когда голая девушка ляжет тебе на колени? Выдержишь?|Das ist eine ziemliche Bitte, Max! Du erinnerst dich doch, dass ich jeden nackt bestrafe, oder? Und eine nackte Dame auf deinen Knien wird nicht zu viel für dich sein?
		06.mmad.sispun.2^	К-конечно... Я думал, что ты сразу скажешь нет...|Ich schaffe das schon. Ich habe nicht erwartet, dass du ja sagst, um ehrlich zu sein.

	06.mmad.sispun.2@67@Ну да, я и хочу сказать нет. Просто намекнула, что ты не подумал даже о такой проблеме... И почему тебе хочется наказывать своих сестёр?|Ja, ich wollte ursprünglich ablehnen. Ich wollte nur von dem offensichtlichen Fehler in deiner Idee ausgehen. Wie auch immer, warum willst du deine Schwestern bestrafen?
		06.mmad.sispun.3^	Ну я, как главный мужчина в семье, должен поддерживать авторитет...|Ich bin der Mann im Haus und ich sollte die Autorität haben

	06.mmad.sispun.3@62@Это всё понятно. Но я думаю, что девочки с тобой не согласятся и придётся мне их убеждать. К тому же, придётся и тебе взять на себя какую-то ответственность...|Das verstehe ich. Aber ich bezweifle, dass die Mädchen es so sehen werden. Übrigens, du musst etwas Verantwortung übernehmen.
		06.mmad.sispun.4^	Да любую!|Alles, was du willst!

	06.mmad.sispun.4@60@Любую, говоришь? Ну, допустим... Ты знаешь, что у нашей семьи финансовые трудности, верно?|Alles, was du sagst.... Du weißt, dass unsere Familie finanzielle Probleme hat, oder?
		06.mmad.sispun.5^	Ну да, все знают...|Jeder weiß, dass

	06.mmad.sispun.5@62@Если ты будешь следить за тем, чтобы наш долг был равен нулю, я буду разрешать тебе иногда наказывать сестёр лично. Такой вариант тебя устраивает?|Wenn du dafür sorgst, dass wir schwarze Zahlen schreiben, lasse ich dich deine Schwestern persönlich bestrafen. Ist das in Ordnung für dich?
		06.mmad.sispun.6^	Если я буду помогать семье, то буду получать возможность их шлёпать?|Also, wenn ich zur Familie beitrage, werde ich meine Schwestern verhauen?

	06.mmad.sispun.6@67@Из твоих уст это звучит не очень правильно, но да. В целом всё верно. Если ты принесёшь больше денег, чем нужно на этой неделе, то я их отложу на следующую. Ничего не пропадёт и не сгорит. Я всё запишу.|Das klingt nicht sehr nett, aber ja. Wenn du uns mehr Geld gibst, als wir brauchen, überweise ich es in die nächste Woche, du brauchst dir keine Sorgen zu machen, ich schreibe alles auf.
		06.mmad.sispun.7^	Если так, то я попробую, конечно!|Ich bin fertig

	06.mmad.sispun.7@75@Ну посмотрим, насколько ты хочешь показать своим сёстрам, кто в доме хозяин...|Wir werden sehen, wie sehr du deinen Schwestern zeigen willst, wer "der Boss" ist.
		leave!set_sispun_1^	Уж я покажу!|Ich werde es ihnen zeigen!

	06.mmad.bed@62@Что, прости? У тебя же есть своя отдельная кровать в вашей с Лизой комнате...|Was? Aber du hast bereits dein eigenes Bett in deinem und Lisas Zimmer....
		06.mmad.bed.2^		Да, но я уже большой и Лиза тоже... А у тебя огромная кровать...|Ja, aber ich bin kein Kind mehr, und Lisa auch nicht. Und du hast ein riesiges Bett....

	06.mmad.bed.2@60@Макс... Но я же не всегда буду одна... Да и что там у вас за проблема с Лизой, что не можете вместе уживаться, как раньше?|Ich werde nicht für immer allein sein.... Und was für Probleme hast du mit Lisa, wenn ihr nicht mehr wie früher zusammenleben könnt?
		06.mmad.bed.3^		Просто мы растём, она видит меня, я её...|Sie kann mich sehen, ich kann sie sehen....

	06.mmad.bed.3@62@Ага, я тебя поняла... Но Макс... Ты уже взрослый и для того, чтобы спать со своей мамой. Разве тебе так не кажется?|Ich verstehe.... Aber Max, du bist kein kleines Kind, du sollst nicht mit deiner Mutter schlafen, oder?
		06.mmad.bed.4^		Но кровать то огромная!|Aber du hast ein riesiges Bett!

	06.mmad.bed.4@67@Это верно. Я была бы даже готова поменяться с тобой кроватями, но Лиза не поймёт, почему тебе выпала такая честь, а не ей... Ладно, я подумаю, что можно сделать.|Ich schätze, du hast Recht. Ich könnte sogar mit dir tauschen, aber Lisa würde nicht verstehen, warum du das Zimmer bekommst.... Okay, ich werde darüber nachdenken.
		leave!set_mombed_1^		Хорошо...|Okay



# --- 0.6: Макс решает наказать Алису|momtalk Max bestraft Alice

	06.npna.0@60@e-nsp-mom@Ну хорошо. Макс у нас единственный мужчина в доме и он имеет право сделать это вместо меня. Алиса, даже не спорь, будет только больнее!|Okay. Max ist der Mann des Hauses und er hat das Recht, das anstelle von mir zu tun. Keine Widerrede, Alice, du bekommst nur noch mehr Ärger!
		06.npna.1^		Вот-вот!|Genau!

	06.npna.1@23@t-spa-c@Но мам... Я старше Макса! Кроме того, он грязный извращенец! Ему лишь бы меня лапать!|Aber Mama, ich bin älter als er! <i>und</i> er ist ein großer Perversling! Er kümmert sich nur darum, mich überall zu befummeln!
		06.npna.2^		Мама всё сказала. Раздевайся!|Mama hat genug gesagt, zieh dich aus!

	06.npna.2@60@t-spa-n@Алиса! Я сказала тебе не спорить. Ты заслужила наказание, Макс это сделает за меня. Всё. приступайте!|Ich habe dir gesagt, du sollst nicht diskutieren, Alice. Du verdienst eine Strafe, Max wird es an meiner Stelle tun. Ende der Diskussion. Du kannst anfangen.
		06.npna.3^		Ложись ко мне на колени, Алиса!|Leg dich auf meine Knie, Alice.

	06.npna.3@4@t-spa-otk@<i>Я могу делать это вечно! Голая сестрёнка на моих коленях, да ещё у всех на глазах... И никто не спорит, как будто так и должно быть... Красота!</i>|<i>Ich könnte es für immer tun! Nackte Schwester auf meinem Schoß, alle schauen zu.... Und niemand streitet, als wäre es eine ganz natürliche Sache.</i>
		06.npna.4^		<i>закончить</i>|<i>beenden</i>

	06.npna.4@23@t-spa-spd@Мам, лучше бы ты меня отшлёпала. Это так унизительно, когда это Макс делает... Может быть и не так больно, но... Моё лицо покраснело сильнее зада...|Mom, du hättest mich bestrafen sollen. Von Max versohlt zu werden, ist so demütigend.... Er mag nicht so hart verhauen, aber.... Mein Gesicht ist roter als mein Arsch....
		06.npna.5!add_count.alisa.pun_1!set_dcd.sispun_1!add_alisa.dom_200!add_liza.dom_20!max_cam.5.grow_200^		Гы...|Heh

	06.npna.5@60@Очень хорошо, что тебе стыдно. Это значит, что в следующий раз ты будешь думать, прежде, чем делать что-то плохое. Ну всё, с тобой закончили...|Das ist sehr gut, es bedeutet, dass du zweimal darüber nachdenken wirst, deine Fehler zu wiederholen. Okay, das reicht mit dir.
		needpunish>0&newpun.start^						<i>далее</i>|<i>fortfahren</i>
		needpunish=0&hour=9&breakfast.default^			<i>далее</i>|<i>fortfahren</i>
		needpunish=0&hour=19&dinner.default^			<i>далее</i>|<i>fortfahren</i>



# --- 0.6: Макс решает наказать Лизу|momtalk Max bestraft Lisa

	06.npnl.0@60@e-nsp-mom@Ладно, пусть это сделает Макс. И да, я знаю, что это унизительно, но пусть это будет уроком для тебя, Лиза. В следующий раз будешь думать заранее...|Okay, Max kann das machen. Und ja, ich weiß, es ist demütigend, aber das ist der Punkt, Lisa. Ich hoffe, du wirst heute etwas lernen.
		06.npnl.1^		Ага...|Ja

	06.npnl.1@46@t-spl-c@Блин... Ну ладно. Макс, только не больно, хорошо? А то мне потом сидеть будет трудно...|Mist...... Okay, aber bestraf mir nicht zu hart, okay, Max? Ich will sitzen können....
		06.npnl.2^		Посмотрим, как получится. Раздевайся!|Wir werden sehen. Raus aus deinen Sachen!

	06.npnl.2@40@t-spl-n@Макс! Ну хватит глазеть, куда не надо. Мам, лучше бы ты это делала. Обязательно Макса так радовать?|Hör auf zu starren, Max! Du hättest es tun sollen, Mom. Musstest du Max so glücklich machen?
		06.npnl.3^		Без разговоров ложись на колени, а то будет больно!|Weniger reden, mehr auf den Knien liegen

	06.npnl.3@4@t-spl-otk@<i>Обожаю эту работу! Вроде бы и маме помогаю и голую сестрёнку на коленках шлёпаю... А что самое приятное - авторитет в глазах у всех растёт... Сплошные плюсы!</i>|<i>Ich liebe das! Ich helfe Mom und bestrafe gleichzeitig meine nackte Schwester.... Und sie respektieren mich mehr dafür.... Win-win-win!</i>
		06.npnl.4!add_count.liza.pun_1!set_dcd.sispun_1!add_alisa.dom_20!add_liza.dom_200!set_maskbj_1!max_cam.5.grow_200^		<i>зако?чить</i>|<i>beenden</i>

	06.npnl.4@62@t-spl-spd@Молодец, Макс. Я бы лучше тебя это не сделала. Судя по цвету пятой точки, Лиза усвоила урок. Ну или получит снова, может быть ещё сильнее... Ну всё, Лиза, одевайся.|Perfekt, Max. Ich hätte es nicht besser machen können. Nach der Farbe von Lisas Arsch zu urteilen, hat sie ihre Lektion gelernt. Oder sie bekommt es wieder, noch härter.... Das reicht, Lisa, du kannst dich anziehen.
		needpunish>0&newpun.start^						<i>далее</i>|<i>fortfahren</i>
		needpunish=0&hour=9&breakfast.default^			<i>далее</i>|<i>fortfahren</i>
		needpunish=0&hour=19&dinner.default^			<i>далее</i>|<i>fortfahren</i>



# --- 0.6: В процессе наказания Макс один раз может попросит маму о большем|momtalk Max bittet Ann um mehr, während er bestraft wird.

	06.mpun.1@68@Что? О чём ты говоришь, Макс? Как это... «иначе»?|Wovon redest du, Max? Und was meinst du mit "anders"?
		06.mpun.2^		Ну, может быть язычком или как-то так...|Ich meine, vielleicht deine Zunge benutzen?
		06.mpun.2^		Как женщина ещё может помочь мужчине?|Weißt du, eine Frau kann einem Mann in dieser Situation auf verschiedene Weise helfen....

	06.mpun.2@68@e-mpr-5@Макс! Да ты с ума сошёл! Я твоя мать, а не шлюха какая-то! Кроме того, это было наказание, а не попытка тебя ублажить. Всё! На этом закончили. Делай дальше что хочешь, а я иду к столу!|Bist du verrückt!? Ich bin deine Mutter, keine Hure! Und das sollte deine Strafe sein, ich versuche nicht, dir zu gefallen. Du kannst hier alles tun, was du willst, aber ich gehe!
		06.mpun.3!max_cam.2.grow_250!add_count.mom.hj_1!max_poss.guest_16^		Но мам...|Aber Mom...

	06.mpun.3@2@m-mph-4@<i>Ну вот... У меня аж всё упало... Это надо же было такое предложить своей маме... Очевидно, для такого ещё рано. Но кто знает, может быть однажды прокатит?</i>\n\n<i><b>Подсказка:</b> Обязательно прокатит, но не в этой версии.</i>|<i>Mist...... Ich habe sogar meine Erektion verloren.... Wie konnte ich das überhaupt fragen.... Dafür ist es viel zu früh. Wer weiß, vielleicht eines Tages....</i>\n\n<i><b>Achtung:</b> Definitiv, aber nicht in dieser Version.</i>
		needpunish>0&newpun.start^							<i>далее</i>|<i>fortfahren</i>
		needpunish=0&hour<17&breakfast.default^				<i>идти к столу</i>|<i>zu Tisch gehen</i>
		needpunish=0&hour>16&dinner.default^				<i>идти к столу</i>|<i>zu Tisch gehen</i>



# --- 0.6: 	Лиза принимает ванну. Ответвление после уроков Киры|voyer/lisatalk Lisa nimmt ein Bad, Kira's Unterrichtsroute

	06.libath.0@40@t-liza-bath-1b@Макс, чего хотел? Ты же видишь, ванная занята!|Was willst du, Max? Siehst du nicht, dass das Bad besetzt ist?
		06.libath.1^		Угу, но я к тебе...|Ja, aber ich bin gekommen, um dich zu sehen.

	06.libath.1@41@Ко мне? Соскучился? Подожди, пока я выйду, потом поболтаем...|Awww, hast du mich vermisst? Warte, bis ich komme, dann können wir reden.
		06.libath.2^		Да я не болтать пришёл...|Ich bin nicht hergekommen, um zu reden.

	06.libath.2@43@t-liza-bath-10@А зачем, тогда?|Warum dann?
		06.libath.3^		Хотел предложить тебе потренироваться...|Ich möchte eine Trainingsstunde anbieten....
		leave!lock^			Нет, я передумал <i>(уйти)</i>|Nichts, ich habe meine Meinung geändert <i>(verlassen)</i>

	06.libath.3@40@В каком смысле?|Was meinst du damit?
		06.libath.4^		Ну, ты голая, я возбуждён... Может быть, поможешь брату?|Du bist nackt, ich bin hart.... Willst du einem Bruder nicht helfen?

	06.libath.4@41@Макс... Давай в другой раз...|Oh.... Können wir das ein anderes Mal machen?
		06.libath.5^		Кира просила тренироваться, помнишь?|Tante Kira hat dir gesagt, du sollst üben, erinnerst du dich?

	06.libath.5@40@t-liza-bath-12@Помню... Как ловко ты снял шорты... Долго тренировался? Ладно. Давай его сюда, раз надо...|Das tue ich.... Das war schnell.... Wie oft am Tag lässt du deine Shorts fallen? Gut, komm her, da du so dringend gebraucht wirst....
		06.libath.6^		Ага, очень надо...|Ja, in einer verzweifelten Notlage.

	06.libath.6@43@t-liza-bath-13@Макс, только не зазнавайся. И не думай, что можешь меня об этом просить в любом момент, когда тебе захочется. Понял?|Mach dich nicht verrückt, Max. Glaub nicht, dass du mich jederzeit danach fragen kannst, verstanden?
		06.libath.7^		Понял, понял!|Ich verstehe es, ich verstehe es.

	06.libath.7@4@t-liza-bath-14@<i>Надо же! Почти не сопротивлялась... Видимо, удачный момент нашёл... Расслаблена, валяется в ванне... Может быть себя трогает... Ух... Даже мысли заводят, а когда она прикасается...</i>|<i>Nun, das war einfach! Fast kein Widerstand.... Ich schätze, ich habe mir einen guten Moment ausgesucht, sie ist entspannt in einem Bad.... Vielleicht berührt sie sich sogar selbst.... Oh.... sie ist so gut....</i>
		06.libath.8^		<i>далее</i>|<i>fortfahren</i>

	06.libath.8@3@t-liza-bath-15@<i>О да, детка! У Лизы это получается всё лучше и лучше! Скоро я без этого и дня прожить не смогу... И похоже, что ей и самой нравится, когда так хорошо получается... Нужно не забыть её похвалить...</i>|<i>Ja, Baby! Lisa wird immer besser! Bald werde ich nicht mehr ohne sie leben können! Und ich denke, sie macht auch gerne gute Arbeit.... Ich muss dieses Verhalten fördern....</i>
		06.libath.9!set_dcd.crazy_4^		<i>далее</i>|<i>fortfahren</i>

	06.libath.9@4@<i>Ох, как она это делает... Уроки Киры явно идут на пользу... Да, Лиза, да... Так... Ещё чуть-чуть и... я кончу... Такой нежный ротик явно жаждет немного моей спермы... Да!</i>|<i>Wie geht es ihr überhaupt.... Kira hat einen talentierten Schüler, das ist sicher.... Ja, Lisa.... Fast.... Lisas Mund wartet auf meine Ficksahne.... Ja!</i>
		06.libath.10^		<i>кончить Лизе в рот!</i>|<i>spritz in Lisa's Mund!</i>

	06.libath.10@43@t-liza-bath-16@Ну как, понравилось?|Also, hat es dir gefallen?
		06.libath.11a!add_liza.mood_150^	Ага, очень! Ты молодец! Лучший минет в моей жизни!|Ja! Du bist erstaunlich! Der beste Blowjob meines Lebens!
		06.libath.11^						Да, супер!|Ja, super!

	06.libath.11a@41@Даже лучший? Ну, спасибо, я старалась... Даже почти всё проглотила!|Der Beste? Danke, ich habe mein Bestes gegeben. Ich habe sogar fast alles geschluckt!
		06.libath.11!max_cam.3.grow_250^	Ого! Молодец!|Wow! Großartige Leistung!

	06.libath.11@40@t-liza-bath-1b@Ну всё, Макс. Больше тебе нечего тут делать...|Okay, Max. Du kannst jetzt gehen.
		leave!max_cam.3.grow_250!add_count.liza.bj_1!set_maxguilty_0!lock^		Ага... Пойду я...|Ja, ich gehe jetzt.



# --- 0.6: Макс входит в ванную утром, пока Лиза у зеркала|voyer/lisatalk Lisa's im Badezimmer neben dem Spiegel am Morgen

	06.limir.0@40@t-liza-bath-2@Макс, ну я же сказала, что уже скоро выхожу... Мог бы и подождать... Что у тебя там такое случилось?|Max, ich habe dir gesagt, dass ich bald rauskomme, kannst du nicht warten? Was ist passiert?
		06.limir.1^		Ну, я к тебе...|Ich bin für dich da....

	06.limir.1@43@Ко мне? Зачем? Хочешь принять душ или в туалет? Иди, я не буду смотреть... Ну или буду, не знаю ещё...|Warum? Willst du duschen oder baden gehen? Du kannst gehen, ich werde nicht hinsehen.... vielleicht....
		06.limir.2^		У меня другое предложение...|Ich habe eine andere Idee
		leave!lock^		Ладно, не буду тебе мешать...|Okay, ich werde dich nicht stören

	06.limir.2@41@t-liza-bath-3@Это какое же? Опять что-то пошлое придумал?|Und was ist das? Etwas Pervertiertes, wie immer?
		06.limir.3^		Почему пошлое... Просто мне нужна твоя помощь!|Nu-u-n-ja.... Ich brauche deine Hilfe

	06.limir.3@40@t-liza-bath-4@А сам не можешь разобраться со своим... своей проблемой?|Kannst du nicht mit deinem <i>Problem</i>selbst fertig werden?
		06.limir.4^		Кажется, ты всё правильно понимаешь|Ich denke, du weißt, wohin das alles führt.

	06.limir.4@43@Да тут кто угодно бы понял, что у тебя на уме, а кто не понял, для того есть подсказка в твоих штанах... Большая такая... подсказка...|Ja, was für ein Rätsel, nicht, dass da ein riesiger Hinweis aus deinen Shorts ragt....
		06.limir.5^		Ну так воспользуешься ею, может быть?|Also, nimmst du einen Hinweis?

	06.limir.5@41@Ну давай... У меня с утра бывает такое настроение, не знаю как объяснить... В общем, снимай шорты, чего ждёшь?|Schön.... Manchmal habe ich morgens Lust dazu.... Nun, zieh deine Hose aus, worauf wartest du noch?
		06.limir.6^		Легко!|Einfach!

	06.limir.6@43@t-liza-bath-5@Вот, так лучше... А у тебя настроение, похоже, всегда одно. Хочешь всех трахнуть, да, Макс?|Das ist besser! Du hast nur eine Stimmung, nicht wahr, Max? Willst du alle in Stimmung bringen?
		06.limir.7^		Угу. Ничего не могу с собой поделать...|Ich schätze schon. Nicht, dass ich etwas dagegen tun könnte.

	06.limir.7@40@t-liza-bath-6@Ну, давай я попробую тебе помочь с этой твоей проблемой...|Nun, lass mich dir dabei helfen....
		06.limir.8^		Супер!|Super!

	06.limir.8@4@t-liza-bath-7@<i>Как здорово, что у неё такое... особое настроение... Ух... Хоть бы никто не вошёл или не заглянул в ванную, а то будет трудно что-то объяснить про это самое настроение... Но никого нет... И это супер!</i>|<i>Gut, dass sie in der richtigen Stimmung war.... Ich hoffe, dass niemand hereinkommt oder in die Fenster schaut, ich bin mir nicht sicher, ob sie unsere "Stimmungsausrede" vernünftig finden würden.... Wir sind jetzt allein.... Super!</i>
		06.limir.9^		<i>далее</i>|<i>fortfahren</i>

	06.limir.9@3@t-liza-bath-8@<i>Ох... Лиза ещё и попкой виляет... Интересно, она намекает на продолжение или просто хочет, чтобы я сошёл с ума от удовольствия? Не могу больше сдерживаться!</i>|<i>Lisa wackelt mit ihrem Arsch.... Schlägt sie mehr vor oder will sie mich nur verrückt machen? Ich kann nicht mehr warten!</i>
		06.limir.10^	<i>кончить Лизе в ротик!</i>|<i>spritz in Lisa's Mund!</i>

	06.limir.10@4@t-liza-bath-7@<i>О да... Она всё это сразу глотает?! Да, сестрёнка у меня молодец. Далеко пойдёт... Вот только никуда её не отпущу! Такая девушка нужна самому...</i>|<i>Oh, ja.... Schluckt sie alles!? Schwesterchen ist großartig. Sie hat eine glänzende Zukunft vor sich.... Und ich behalte sie! Ich brauche so ein Mädchen in der Nähe....</i>
		06.limir.11^	<i>далее</i>|<i>fortfahren</i>

	06.limir.11@43@t-liza-bath-9@Ну что, Макс, у меня лучше получается? И заметил, ни капли мимо!|Geht es dir besser, Max? Ich habe keinen einzigen Tropfen vergossen!
		06.limir.12^	Да я вообще... тащусь... Это было так классно!|Es war unglaublich.... Du bist unglaublich!

	06.limir.12@41@Спасибо, Макс... Ну всё, хватит... И не забудь штаны, а то не удивлюсь, если с такой рожей отсюда голым выйдешь...|Danke, Max. Nun, das war's, und vergiss deine Shorts nicht, wir wollen nicht, dass du das hier vergisst....
		leave!max_cam.3.grow_250!add_count.liza.bj_1!set_maxguilty_0!max_cam.3.grow_250!set_dcd.crazy_4!lock^	Точно! Всё, я пошёл...|Richtig! Ich gehe dann mal...



# --- 0.6: Лиза принимает душ, Макс подглядывает...|voyer/lisatalk Lisa spricht eine Dusche

	06.limom.0@4@t-lizashower-1@<i>А Лиза становится всё более привлекательной девушкой... Ещё чуть-чуть и станет полноценной женщиной... Может быть, составить ей компанию?</i>|<i>Lisa wird mehr und mehr ein attraktives Mädchen... Sogar ein bisschen eine vollwertige Frau... Sollte ich ihr Gesellschaft leisten?</i>
		06.limom.1^		<i>подойти к Лизе</i>|<i>zu Lisa gehen</i>
		leave!lock^		<i>нез?метно уйти</i>|<i>leise verschwinden</i>

	06.limom.1@40@t-lizashower-2@Макс? Что ты тут делаешь. Не видишь, я душ принимаю!|Max? Was machst du denn hier? Siehst du nicht, dass ich dusche?
		momlisho=0&mom.athome=1&06.limom.2.af^		Я хочу к тебе присоединиться...|Ich möchte mit dir duschen.
		momlisho=0&mom.athome=0&06.limom.2.no^		Я хочу к тебе присоединиться...|Ich möchte mit dir duschen.
		momlisho=1&06.limom.2.ok^					Я хочу к тебе присоединиться...|Ich möchte mit dir duschen.

	06.limom.2.af@40@Макс, ты сдурел? Мама же дома, наверняка йогой занимается. Она же нас сразу увидит! Вали отсюда!|Hast du den Verstand verloren? Mom ist zu Hause! Sie macht wahrscheinlich draußen Yoga, sie wird uns sehen! Raus hier!
		06.limom.2^		Да не парься, отмажусь!|Mach dir keine Sorgen.

	06.limom.2.no@40@Макс, а если нас вместе кто-то увидит? Ты подумал, как будешь объяснять почему мы с тобой вместе голые под душем?|Was, wenn uns jemand sieht? Wie willst du das nackt unter der Dusche erklären?
		06.limom.2^		Что-нибудь придумаю!|Ich werde mir etwas einfallen lassen.

	06.limom.2.ok@40@Ох, опять ты что-то задумал...|Noch eine deiner Ideen....
		06.limom.2^		Ничего подобного!|Nichts dergleichen!

	06.limom.2@41@Ну, дело твоё. Только не приставай. Хочешь мыться - мойся, но никаких рук. Нас может кто-то увидеть...|Schön. Aber mach keine Dummheiten. Nur duschen. Wir können erwischt werden....
		06.limom.3!max_cam.3.grow_250^		Ладно, ладно...|Schön, schön

	06.limom.3@4@t-lizashower-3@<i>Жаль, что лапать нельзя, но глазеть то никто не запрещал! Так сказать, из первого ряда Лизу видно гораздо лучше, чем из-за угла...</i>|<i>Schade, dass ich sie nicht anfassen kann, aber ich kann wenigstens so viel sehen, wie ich will! Das ist so viel besser, als sich um die Ecke zu schleichen....</i>
		momlisho=0&mom.athome=1&06.limom.4.mom^		<i>продолжить</i>|<i>fortfahren</i>
		momlisho=0&mom.athome=0&06.limom.4.nomom^	<i>продолжить</i>|<i>fortfahren</i>
		momlisho=1&06.limom.4.good^					<i>продолжить</i>|<i>fortfahren</i>

	06.limom.4.mom@68@t-lizashower-4@Не поняла... Вы что, вместе принимаете душ? И когда успели? Я только отвлеклась, мылась Лиза и тут ты, Макс, нарисовался? Не стыдно вам?|Was.... Was ist hier drin los? Warum duscht ihr zusammen? Und wann ist das passiert, ich war gerade hier.... Schämst du dich nicht?
		06.limom.4.mom.2^	А мы ничего не делаем, просто моемся...|Warum? Es ist ja nicht so, dass wir irgendwas machen, wir duschen nur.

	06.limom.4.mom.2@62@Ну с Максом то всё понятно, ему нужен только повод, чтобы поглазеть. А ты, Лиза? Неужели, совсем не стесняешься светить своими прелестями перед братом, да ещё и перевозбуждённым?|Ich stelle keine Frage wegen Max, er wird keine Gelegenheit verpassen, jemanden anzugucken. Aber du, Lisa? Schämst du dich nicht, vor deinem Bruder nackt zu sein, besonders wenn er erregt ist?
		06.limom.4.mom.3^	Да это просто... утренний стояк!|Aber das ist nur.... ein Morgenlatte!

	06.limom.4.mom.3@46@Ну... мам... Чего мне его стесняться? Ты же сама нас голыми наказываешь, все уже всё видели, да и живём в одной комнате, всякое бывает...|Na ja.... Warum sollte ich mich schämen? Du bist diejenige, die uns nackt bestraft, also ist es nicht so, als hätte er nicht schon alles gesehen. Und wir sind in einem Raum, Privatsphäre ist sowieso unmöglich.
		06.limom.4.mom.4^	Вот, да!|Ja, das hat sie gesagt!

	06.limom.4.mom.4@60@Всякое бывает, говоришь... Ну да, ну да... Ладно, если не делаете никакие глупости, мойтесь дальше. Видимо, как-то не так я вас воспитываю. Я в вашем возрасте была скромнее... Даже перед Кирой не крутилась в таком виде...|Richtig... Gut, solange ihr nichts verdächtiges tut, könnt ihr zusammen duschen. Mache ich als Mutter einen schlechten Job.... Ich hatte mehr Bescheidenheit, als ich in deinem Alter war.... Sogar vor Kira....
		06.limom.4.mom.5^	Да хорошо ты нас воспитала, дружная семья!|Du bist eine tolle Mom, und wir sind eine gute, freundliche und offene Familie!

	06.limom.4.mom.5@41@Да, мам. Если уж мы друг друга не стесняемся, тебе то зачем переживать из-за нас? Ну и что, что Макс озабоченный парень. Наверняка, все такие в его возрасте... Но он мой брат. Что может случиться?|Ja, Mom. Wir schämen uns nicht, es gibt keinen Grund, uns Sorgen zu machen. Was, wenn Max ein Perverser ist, bin ich sicher, dass alle Jungs in seinem Alter so sind.... Er ist mein Bruder, nichts wird passieren.
		06.limom.4.mom.6^	Чего это я озабоченный? Вовсе нет!|Hey, ich bin kein Perverser!
		06.limom.4.mom.6^	<i>промолчать</i>|<i>sei ruhig</i>

	06.limom.4.mom.6@62@Ну, хорошо, раз у вас всё в порядке. Просто... это необычно... Макс, потом с тобой ещё об этом поговорим, хорошо? Ну всё, не буду вам мешать...|Okay, wenn du damit einverstanden bist. Es ist nur.... so ungewöhnlich.... Wir reden später darüber, Max, okay? Okay, ich lasse euch jetzt allein.
		06.limom.4.mom.7!set_moaliza_1^	Ага, удачи там с йогой...|Ja, viel Glück mit Yoga.

	06.limom.4.mom.7@41@t-lizashower-3@Не думала, что пройдёт всё так гладко... Боялась, что влетит обоим... Хотя, я тут вообще не при чём. Во всём ты был бы виноват...|Ich dachte nicht, dass alles so glatt laufen würde.... Ich hatte Angst, wir würden es beide bekommen.... Nicht, dass ich etwas falsch gemacht hätte, du bist derjenige, der hier reingeplatzt ist....
		06.limom.4.mom.8^	Но обошлось же... Кстати, ты молодец!|Aber es geht uns gut. Tolle Arbeit übrigens!

	06.limom.4.mom.8@43@Спасибо. Ну всё, пора заканчивать, а то вода не бесплатная, надо экономить...|Danke. Wir sollten das jetzt beenden, das Wasser ist nicht umsonst.
		leave!set_momlisho_1!time^		Согласен...|Einverstanden

	06.limom.4.nomom@40@Ох, Макс... Если кто-то повится, я скажу, что ты во всём виноват. Сам и расхлёбывай!|Oh, Max... Wenn sich jemand beschwehrt, werde ich sagen, dass du schuld bist. Das wirst du dann selbst erklären!
		06.limom.4.nomom.2^	Да какие могут быть проблемы? Мы же друг дружку видели... и не только...|Was ist das Problem? Wir haben uns schon gesehen.... und mehr....

	06.limom.4.nomom.2@41@Да, но... другие то об этом не знают! Да и не должны узнать. И хватит на меня пялиться, нашёл блин эротику бесплатную. Всё, я закончила и тебе советую. Хоть бы прикрыл свой... А, не важно.|Ja, aber niemand weiß davon. Das dürften sie auch nicht! Und hör auf zu starren, ich bin kein Porno. Ich bin fertig. Kannst du nicht einfach.... Vergiss es.
		leave!time^		Мне скрывать нечего! <i>закончить мыться</i>|Ich habe nichts zu verbergen! <i>fertig duschen</i>

	06.limom.4.good@40@Макс, ты как будто первый раз голую девушку увидел. Ещё перевозбудишься... Включи холодную воду, тебе не помешает...|Es ist nicht so, dass du zum ersten Mal eine nackte Frau siehst. Nimm eine kalte Dusche, das sollte helfen.
		06.limom.4.good.2^	Да тут и ледяная вода не поможет...|Selbst Eis würde hier nicht helfen.

