myroom=МОЯ\nКОМНАТА|Mein \nZimmer
poss.car.step.38=Любопытный разговор состоялся с Кирой насчёт мамы. Кажется, ей не хватает секса! Конечно, она уже давно рассталась с Эриком и даже Кира уже с ней не кувыркается в постели... И это очень, очень хорошо!|Ich hatte ein spannendes Gespraech mit Tante Kira über Mum, sie meint Mum's Sexleben kommt in letzter Zeit sehr oft zu kurz. Da ich schon vor geraumer Zeit Erik losgewurden bin und selbst Tante Kira nicht mehr mit Mum schlaeft...sollte mir das sehr in die Karten spielen!
poss.car.step.39=Тётя Кира заплатила нам за съёмки фильма. Хорошие деньги, интересная работа, всё отлично, но... она зачем-то предложила маме подрабатывать в студии. Без меня! Неужели, она будет с кем-то трахаться? Пусть и с другими девушками, но... как же я?|Tante Kira hat mir die Bezahlung für den letzten Film gegeben. Gutes Geld, scheinbar laeuft alles gut...jedoch hat sie Mum gefragt bei einen anderen Projekt für das Studio  mit zumachen. Und das ganz alleine, ohne mich! Ich will aber nicht, dass sie Sex mit anderen hat, auch nicht mit Frauen...warum nicht mir mir? Ich muss mit Tante Kira darüber reden.
poss.car.step.40=Тётя Кира успокоила по поводу моих переживаний насчёт мамы и её подработки в студии. Наоборот, это всё может сыграть мне на руку. Идея заключается в следующем: мама снимается в лесбийском порно, причём, в жанре БДСМ. Но самое интересное это то, что ей не дадут там кончать! Тётя об этом договорилась с режиссёром. А это что значит? Это значит то, что она будет приходить домой неудовлетворённая! У неё большая проблема, а у меня решение проблемы... Большое такое решение...|Tante Kira hat mir erklaert warum sie sich für ein neues Peojekt mit Mum entschieden hat. Es sollte mir sogar helfen bei meinen Zielen. Da Tante Kira Mum in Situationen bringen will, welche sie geil machen werden jedoch nicht zu einer sexuellen Befriedigung fuehren. Das sollte sie auf Dauer sehr fristrieren und mir bei meiner Mission sehr helfen!

poss.car.step.41=Ну то же, мама наконец-то устроилась в студию на постоянную работу... И даже рассказала всем об этом за завтраком. Точнее, не о том, что она теперь порнозвезда, а просто о том, что нашла работу... Лизе пока незачем знать подробности...|Also Mum hat jetzt einen Job beim Studio, sie hat uns allen davon beim Abendbrot erzaehlt. Okay, sie hat uns natuerlich nicht gesagt, dass sie jetzt als Pornodarstellerin arbeitet, sonder nur über den neuen Job erzaehlt. Lisa muss auch nichts von der ganzen Sache erfahren. Ich frage mich, ob Tante Kira mir die neuen Filme von Mum immer besorgen kann?
poss.car.step.42=Тётя Кира не обманула и мама действительно снимается в порно только с девушками в жанре БДСМ. Причём, ей не дают кончать на съёмках, а это значит, что она постоянно возбуждена... А что самое интересное... Оказывается, мама не любит мастурбировать. Ей это не доставляет такого уж большого удовольствия. Похоже, кому-то нужна моя помощь!|Tante Kira hat ihr Wort gehalten und Mum nur Rollen im BDSM gegeben mit Frauen zusammen. Was bedeutet sie hat keine sexuelle Befriedigung davon und ist nun geil den ganzen Tag. Und wie es scheint haelt sie nicht viel von Mastubation...klingt wie eine riesen Chance für meine Faehigkeiten.
poss.car.step.43=Тётя Кира подсказала ещё одну интересную мысль. На съёмках маминой попке часто достаётся и если я найду подходящий успокаивающий крем, то это даст мне повод позаботиться о ней...|Tante Kira hat mir einen guten Tueroeffner gegeben. Mum's Po wird bei jedem Film ordentlich geschlagen, bedeutet sie koennte eine lindernde Massage vertragen. Ich brauche dazu aber erst die Schmerzsalbe...
poss.car.step.44=Первый массаж маминой попки прошёл великолепно! Ей так понравились мои прикосновения, а что самое приятное - крем подействовал! Теперь я незаменим для мамы, учитывая то, чем она занимается на работе... То ли ещё будет...|Die erste Massage war sehr gut! Mum mochte meine Technik und die salbe hat auch geholfen. Das bedeutet sie wird mir mit Sicherheit beim nächsten mal nicht abgeneigt sein.
poss.car.step.45=На этот раз я немного перестарался с массажем... Мама возмутилась моими прикосновениями к её киске... Видимо, слишком тороплюсь. Ну что же, у меня полно времени!|Upps...ich habe es wohl zuweit getrieben...Mum hat mich nicht ihre Pussy anfasdrn lassen. Aber für jetzt ist das schon okay, es gibt ja immer ein nächstes Mal. Langsam naehrt sich das Murmeltier...
poss.car.step.46=И в этот раз ничего толком не получилось... Как только я прикоснулся к маминой киске, она снова возмутилась. Думаю, тётя Кира сможет её убедить. Правда, этот разговор пройдёт без меня...|Mum wollte sich schon wieder nicht beruehren lassen, irgend etwas ist da faul. Ich denke es wird Zeit für Tante Kiras Eingreifen, jetzt kann ich nur hoffen, dass sie Mum überzeugt mich helfen zulassen.
poss.car.step.47=Наконец-то! Мне удалось довести маму до оргазма своими пальчиками! В этот раз она даже не возмущалась! Похоже, тётя Кира косвенно убедила маму, что я - не такой уж и плохой вариант для решения её проблемы с перевозбуждением...|Endlich! Ich habe Mum zum Orgasmus gefingert! Dieses Mal hat sie nicht einmal einwaende erhoben, so wie es scheint hat Tante Kira ihren Teil getan und Mum denkt jetzt weniger schlecht über die Dinge welche wir zusammen tun.
poss.car.step.48=Я снова довёл маму до оргазма своими пальчиками! На этот раз мы смотрели друг на друга, глаза в глаза... Это было так... волнующе... Похоже, я на правильном пути!|Mum ist heute erneut gekommen, aber dieses Mal hat sie mir direkt in die Augen geschaut! Ich konnte die Spannung zwischen uns foermlich fuehlen...ich bin so aufgeregt...wir machen endlich grosse Fortschritte!
poss.car.step.49=В этот раз я пошёл дальше и довёл маму до оргазма... своим язычком! Ей безумно понравилось! Она даже призналась, что мечтала об этом ещё со времён наших последних совместных съёмок... Ах да, мама в благодарность и меня не оставила перевозбуждённым... |Dieses Mal bin ich noch weiter gegangen und habe Mum zum Orgasmus geleckt. Sie hat es geliebt! Sie hat mir sogar gestanden, dass sie davon getraeumt hat, seit unseren ersten Mal beim Filmdreh... Mum war mir sehr dankbar und hat mir im Gegenzug auch mit meimer Errektion geholfen.
poss.car.step.50=Ну что же, мама не может обходиться без моего массажа с помощью волшебного успокаивающего крема, а также пальчиков и ловкого язычка... Ну и мама не даёт мне заскучать. Похоже, наши отношения выходят на новый уровень!|So wie es scheint kann Mum nicht mehr ohne meine kleinen Aufmerksamkeiten auskommen, seien es die Massagen, meine Finger oder sogar meine Zunge. Ich kann mich nicht beklagen, schliesslich bekomme ich auch immer etwas im Gegenzug. Wir sind auf einen neuen Level in unserer Beziehung angekommen!\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>

poss.car.step.51=Мне кажется, что мама уже готова на... продвинутый массаж, да к чёрту условности! Я говорю о сексе, настоящем сексе! Но она всё ещё ломается... Может быть, мне поговорить с тётей Кирой на эту тему? У неё всегда есть для меня ценный совет...|I think mom is almost ready for our ... advanced massage... Why am I lying to myself? I'm talking about sex! Mom is almost ready for sex with me, but I need some extra push. Should I ask aunt Kira? She always has a good advice...
poss.car.step.52=Тётя Кира меня обнадёжила и пообещала подготовить сценарий нового фильма, где мы с мамой... ну, это самое... Посмотрим, что там будет за сюжет... Нужно лишь подождать|Aunt Kira has promised me she's going to write a new porn movie where I get to fuck mom. Now I have to wait for a couple days till she finishes the script.
poss.car.step.53=Кажется, не будет никакого фильма... Мама не будет сниматься со мной в порно со сценами настоящего секса... К счастью, тётя Кира предложила одну идею: нужно дразнить маму и не давать ей кончать во время нашего... массажа. Ну что же, попробую!|The movie idea is a bust, mom won't have sex with me on camera... Thankfully, aunt Kira had another idea: instead of satisfying mom orally I should stop before mom gets her release... Sounds promising!
poss.car.step.54=Ого! План тёти Киры работает! Ну... почти работает. Но мама так на меня смотрела, так дышала... Кажется, если я её ещё немного подразню и не дам кончать во время массажа, она сама на меня набросится!|Looks like aunt Kira's plan is working! The way mom was looking at me was... I think she's almost there!
poss.car.step.55=О да! Наконец-то! Я трахнул маму! Она так этого хотела, что даже не скрывала! Похоже, она давно об этом думала... Может быть, только об этом и думала. Не важно! Наши отношения вышли на новый уровень!\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры.</i>|Yes! Finally! I fucked my mom! She was wanted it so much she jumped me herself! Looks like she was thinking about it for a long time... The important thing is our relationship has reached a new level!\n\n\n<i><b>Attention:</b> You've reached the end of this opportunity in a current version of the game.</i>

poss.prep.name=Побочный эффект|Nebeneffekt der kleinen Helfer
poss.prep.step.1=Перед съёмками очередного фильма Кира дала мне какую-то таблетку, которая должна помочь продлевать эрекцию и не давать мне кончить раньше времени. Видимо, с целью снять фильм без лишних дублей. Таблетка и правда помогла. За весь фильм я так и не кончил... Правда, препарат этот экспериментальный, как она сказала и неизвестно какие будут последствия...|Bevor ich den nächsten Film mit Tante Kira drehe hat sie mir ein paar Pillen gegeben, welche meiner Erektion laenger anhalten lassen, was uns ermoeglicht  den Film dann in einen Rutsch zudrehen. Die Pillen haben ihren Job vorzueglich getan und mehr als das, denn ich bin nicht gekommen...überhaupt nicht! Hoffen wir das es nicht ein Schuss in den Offen war und der Effekt für immer bleibt.
poss.prep.step.2=Похоже, этот препарат действует достаточно долго... Когда мы с мамой решили посмотреть особый фильм и я возбудился, она предложила помощь. Это так мило с её стороны... Но проблема в том, что мне так и не удалось кончить. Её рука устала, а я остался неудовлетворённым...|Die Pillen sind doch staerker als angenommen. Als ich wieder mit Mum einen Erotikstreifen gesehen habe, hat sie mir ihr Hilfe angeboten...super lieb von ihr. Jedoch konnte ich partout nicht kommen, Mum musste aufgeben und mich mit geschwollenen Eiern zurueck lassen.
poss.prep.step.3=Очевидно, что этот препарат не так прост, как кажется. С одной стороны, я перестал кончать сразу, как только ко мне прикасается мама. С другой стороны - иногда это не приводит вообще ни к чему... Может быть, пройдёт?|Ich werde aus der Droge nicht schlau. Auf der einen Seite komme ich jetzt nicht bei der ersten Beruehrung, auf der anderen Seite kann ich teils garnicht kommen. Bitte lass es weggehen!
poss.prep.step.4=Блин. Вышло так неловко. У меня встал прямо во время завтрака перед всеми. Лиза не увидела, ну или сделала вид, что ей ничего не видно, а вот мама разозлилась... кажется. Чёртов препарат...|Super jetzt bekomme ich sogar einen Steifen waehrend des Fruehstuecks, zum Glueck koennte es Lisa nicht sehen...aber Mum war stink sauer. Bloede Pillen...
poss.prep.step.5=Второй раз! Второй раз у меня встал перед семьёй во время завтрака. Если так пойдёт и дальше, то кушать мне придётся отдельно от всех. Ну или приматывать член изолентой к ноге? Даже не знаю что делать...|Und es ist schon wieder passiert! Mum hat mir angedroht mich zum Doktor zubringen, sollte das Problem nicht weggehen. Aber was soll ich denn machen, ist ja nicht so als koennte ich mir meinen Schwanz einfach an Bein binden, was mach ich nur?
poss.prep.step.6=После третьего инцидента за завтраком мама взяла меня за руку и отвела к своей знакомой в клинику. Ева оказалась интересной, симпатичной девушкой, которая почти не смутилась даже когда мама начала мне дрочить у неё на глазах! Ева взяла кровь и сперму на анализ. Через неделю должны быть готовы результаты... Посмотрим, что там...|Mum hat mich jetzt zum Arzt gebracht, nachdem ich zum dritten Mal nacheinander einen Harten beim Fruehstueck hatte. Eve hat sich als nette und hübsche Frau herrausgestellt, die auch kein Problem hat, dass Mum mir hilft einen Runterzuholen in ihrer Anwesenheit! Die Ergebnisse bekommen wir erst nächste Woche.
poss.prep.step.7=Я посетил клинику, на этот раз один. Ева была мне рада и попросила сдать ещё немного спермы на анализ. Пришлось сделать это прямо перед ней... Она даже немного расстегнула халатик! Теперь можно заглянуть к ней через несколько дней и узнать, что получилось...|Ich bin dieses Mal alleine zur Klinik gegangen. Eve hat sich gefreut mich zusehen und hat gleich nach einer weiteren Probe gefragt. Ich musste mir direkt vor ihr einen Runterholen, aber sie hat mir auch geholfen indem sie ihren Mantel einbisschen geoeffnet hat! Ich soll in ein paar Tagen nochmal vorbeikommen.
poss.prep.step.8=Во время второго посещения клиники Ева рассказала об особенностях этого препарата и предложила мне немного подзаработать. Мне нужно лишь приходить раз в несколько дней и сдавать сперму. Другими словами, дрочить у неё на глазах, а за это мне ещё и заплатят! Конечно, я согласился!|Eve hat mir mehr über die experimentellen Pillen erzaehlt und mir angeboten ein paar Dollar nebenbei zuverdienen. Dafür muss ich nur aller drei Tage vorbeikommen und in einen Becher wichsen, natuerlich unter ihrer Aufsicht! Und dafür bekomme ich dann Geld, da bin ich sowas von dabei!
poss.prep.step.9=Третий визит Евы был весьма интригующим. Она полностью расстегнула халат и показала своё нижнее бельё. Это было весьма... интересно. Конечно, я сразу же кончил. Кстати, эта моя маленькая подработка ещё и полезна для того, чтобы я научился контролировать свою эрекцию. Так что, всё складывается просто отлично!|Der dritte Besuch war sogar noch besser, sie hat ihren Mantel komplett geoeffnet und mir einen Blick auf ihre Reizwaesche ermoeglicht. Das war unglaublich, ich bin sofort gekommen. Sie meinte noch die ganze Prozedur waere auch gut für meine Gesundheit, da ich lerne meine Erektion zukontrollieren. Also eine Win-Win Situation für mich.
poss.prep.step.10=Можно сказать, что теперь у меня есть работа. Не совсем официальная, но я хожу в клинику, делаю одно дело и получаю за это деньги. Чем не работа? А если добавить к этому то, что Ева абсолютно голая под халатиком, то... можно сказать, что это лучшая работа! Похоже, Ева полна сюрпризов. Может быть, удастся добиться и какой-то другой стимуляции, так сказать? Посмотрим...\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры.</i>|Man kann sagen ich habe einen Job gefunden, natuerlich nicht offiziell, aber ich gehe zur Klinik und bekomme Geld dafür. Klingt für mich aufjeden Fall wie ein Job und da Eve seit neuesten auch noch nackt unter dem Kittel ist, klingt das ganze noch viel besser. Eve scheint die ganze Situation anzumachen und vielleicht wird bal mehr als nur schauen draus...\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>

poss.rol.name=Смена ролей|Alice's Rollentausch
poss.rol.step.1=poss.rol.1@Итак, Лиза застукала нас с Алисой, пока мы трахались после очередной победы над пауком... Казалось бы, оправдываться нужно нам, но Алиса выбрала тактику нападения и раскрыла свои карты: она всё знает про нас с Лизой, про ночные уроки с тётей Кирой и даже про наручники и эти... игры с младшей сестрёнкой... Похоже, тётя Кира совершенно не умеет хранить секреты...|Lisa hat Alice und mich beim Sex erwischt, nachdem ich ihr bei ihrem Spinnenproblem geholfen hatte. Alice hat statt sich zu rechtfertigen uns erzaehlt, dass sie über unsere naechtlichen Aktivitaeten mit Kira bescheid weis. Es scheint so als koennte Tante Kira ein Geheimnis nicht für sich selbst behalten. Ich bin gespannt was sie dazu zusagen hat!
poss.rol.step.2=poss.rol.1@Да уж. От кого не ожидал такого, так это от тёти Киры... Похоже, она рассказала вообще всё про нас с Лизой. И про наши уроки и про наручники... Конечно, тётя очень извинялась и считает себя виноватой, но что теперь делать? Алиса может использовать эту информацию как угодно... Может быть, будет подшучивать, а может быть... Даже не знаю что думать...|Tante Kira hat mir erklaert, dass sie sich verplattert hat, als sie mit Alice feiern war und sie schon ziemlich betrunken war. Sie fuehlt sich schuldig und schlecht deswegen, aber das aendert nichts an der Situation. Alice weis jetzt Bescheid und wird es irgendwie gegen uns verwenden und ich habe keinen blassen Schimmer wie...oh Backe.
poss.rol.step.3=poss.rol.1@Похоже, Лизу не слишком беспокоит то, что Алиса всё про нас знает. Младшая сестрёнка предпочитает с Алисой дружить и не давать ей повода раскрывать нас перед мамой. Потому что иначе Лизу накажут, а меня, скорее всего, отправят в тот военный лагерь... Ну что же, ссориться я и не планировал...|Lisa scheint die ganze Situationen recht egal zusein. Ihrer Meinung nach sollen wir uns Alice gegenüber freundlich verhalten sonst schwaerzst sie uns bei Mum an und ich werde ins Militaercamp geschickt.
poss.rol.step.4=Вот это я попал! Точнее, мы с Лизой... Ночью прибежала Алиса из-за паука... Ну, так она сказала. Забрала нас с Лизой к себе в комнату, даже не дала одеться. Паука, конечно же, не оказалось. Ещё бы! Я же его не подкидывал... Но дело не в пауке. Алиса попросила продемонстрировать, как именно мы с Лизой трахаемся и записала всё на видео! Теперь у Алисы есть компромат из-за которого мама меня точно отправит в лагерь, учитывая, как она оберегает Лизу...\n\n\nОстаётся только догадываться что именно придёт в голову Алисе...|Ich bin am Arsch! Also Lisa und ich eigentlich...da Alice uns beide zu sich gerufen hat und verlangt hat, dass wir Sex haben. Anschliessend hat sie uns dabei gefilmt, wenn sie diese Video Mum zeigt bin ich tot. Ich muss mit losa darüber sprechen, ganz dringend!
poss.rol.step.5=Очень странно, но Лизу совершенно не беспокоится из-за того видео, которое записала Алиса. Наоборот, она смирилась и предлагает просто подождать... Ну уж нет. Надо поговорить об этом с Алисой!|Lisa stoert es nicht, dass Alice uns gefilmt hat. Sie ist sich sicher, dass es alles zum Spiel dazugehoert und Alice schon dicht halten wird. Sollte ich Alice fragen ob dem so ist?
poss.rol.step.6=Любопытный разговор вышел у нас с Алисой. Похоже, у них с Катей не всё так хорошо, как казалось. Алисе надоело подчиняться и она хочет сменить роль. Катя против, а где ещё найти подходящие кандидатуры для её игр? Правильно, мы с Лизой. Особенно, когда выяснилось, как мы развлекались ночами. Ну а с видео, из-за которого меня мама точно отправит в тот злосчастный лагерь, даже возможности отказаться у нас нет... Ну что же, посмотрим, что именно придумает Алиса для нас с Лизой...|Ich hatte ein aufschlussreiches Gespraech mit Alice. Sie will scheinbar nur Domina spielen, da Kate sie nicht laesst und auf ihrer Rolle behart. Scheinbar gab es deswegen auch einen Schreit zwischen beiden. Und seit Alice erfahren hat, dass Lisa gerne unterwuerfig ist, hat sie entschieden Lisa und mich zu ihren neuen Spielgefaehrten zumachen. Das Video ist nur als Motivation gedacht, damit wir brav folgen und uns nicht so sehr beschweren. Ich frage mich was sich Alice für uns ausdenken wird...
poss.rol.step.7=Кажется, Алиса придумала как именно она хочет использовать компромат. Вот только мне ничего толком не сказала. Лишь намекнула, что может заглянуть однажды ночью, как это делает иногда Кира. Ну что же, посмотрим, что из этого получится...|Alice hat sich überlegt was genau sie von Lisa und mir will. Hat jedoch noch nichts spezifisches gesagt ausser, dass sie uns Nachts besuchen wir, wie es Tante Kira macht. Jetzt muss ich wieder warten und sehen was passiert...
poss.rol.step.8=Вот и состоялся этот любопытный визит Алисы ночью... Всё оказалось не так уж и плохо. Если честно, то мне даже понравилось наблюдать, как одна сестрёнка ласкает другую. Думаю, скоро и я к ним присоединюсь.\n\n\nАх да, Алиса выдвинула пару требований. Не могла же она ничего не потребовать за тот компромат. Требования простые: слушаться и... не трахаться без неё!|Alice hat uns lezte Nacht besucht und es war garnicht so schlecht wie von mir angenommen. Ich hab es sogar genossen den beiden zuzuschauen, waehrend sie sich ausgiebig geleckt haben. Und werde bestimmt auch bald mitmachen.\n\n\nOh und fast vergessen, Alice hat sich ein paar Regeln für mich und Lisa ausgedacht. Bis jetzt müssen wir nur brav ihren Anweisungen folgen und natuerlich kein Sex ohne ihrer Zustimmung.
poss.rol.step.9=Похоже, Лизу не слишком напрягают новые требования Алисы. Более того, младшая сестрёнка ещё и не прочь рассказывать Алисе обо всех наших совместных приключениях. Неужели, Лизу не пугает то, что может придумать Алиса для нас в качестве наказания? Может быть, это шутка?|Okay!?! Lisa scheint kein Problem damit zu haben alles zutun was Alice uns sagt und sie wird sogar Alice direkt davon berichten, wenn wir Sex hinter ihrem Ruecken haben. Hat sie denn keine Angst vor Alice's Strafe?
poss.rol.step.10=Ну что, вышло забавно. Лиза настучала Алисе о том, что мы трахались вдвоём... Мазохистка! Конечно, Алиса оторвалась по полной... Хорошо, что отшлёпала только ладошкой. Надеюсь, Лиза поняла свою ошибку - не нужно обо всём докладывать Алисе!|Na das war doch lustig...Lisa hat Alice von unserem gemeinsamen Sex erzaehlt und  Alice konnte ihre masochistische Ader an uns auslassen, zum Glueck hat sie nur ihr Hand benutzt. Ich hoffe ja trotzdem, dass Lisa jetzt genug hat und uns nicht wieder an Alice verraet.
poss.rol.step.11=Очевидно, Лизе нравится то, как Алиса развлекается с нами в гостиной. Я имею в виду эти её показательные наказания. Конечно, это не больно, но немного унизительно стоять с голым задом перед ней... Чёрт, это ещё и жутко возбуждает. Может быть, однажды произойдёт ещё одна «смена ролей» и вот тогда...\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры.</i>|Lisa steht definitiv auf die Bestrafungen durch Alice. Ich kann es schon nachvollziehen, gerade da Alice nicht sehr dolle zuschlagt und Lisa ja gerne bestraft wird. Aber es ist trotzdem so beschaemend...und auch ihrendwie sexy. Vielleicht tauschen wir auch mal die Rollen und dann...\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>

poss.cof.name=Горячий кофе|Das neue Cafe
poss.cof.step.1=Во время одного из свиданий с Лизой, я познакомился с любопытной девушкой Викой. Лиза решила мне помочь и подружилась с Викой, узнала много интересного.\n\n\nВика ищет нового повара. Конечно, маловероятно, что я смогу быстро выучиться и стать повором, который ей подойдёт, но стоит попробовать? Во всяком случае, так считает Лиза...\n\n\nАх да, теперь я могу выходить из дома не только на встречу с Лизой к школе, но и посещать кафе Вики. Думаю, стоит это сделать днём.|Ich habe waehrend meinen Date mit Losa eine interessante junge Frau kennengelernt, ihr Name ist Vicky. Lisa hat daraufhin entschlossen mir zuhelfen, sie besser kennen zulernen, dafür wird sie sich mit ihr anfreunden um mher heraus zufinden.\n\n\nVicky ist auf der suche nach einen neuen Kuechenchef, aber ich bin mir nicht sicher, ob ich so schnell kochen lernen kann um sie zu beeindrucken. Aber Lisa will dass ich es versuche...\n\n\nAchja, und ich kann nun endlich das Haus verlassen, um Vicky oder Lisa zutreffen.
poss.cof.step.2=Итак, я один сходил в кофейню и немного поболтал с Викой. Эта жизнерадостная девушка, кажется, очень открыта для общения. Она рассказала, что ищет не только повара, но и бармена. Но я думаю, что Лиза зря нагнетала обстановку и мне не потребуется ничего изучать, чтобы как-то сблизиться с Викой!|Ich bin in den Coffee Shop gegangen und habe Vicky besucht, sie ist ein redefreudiges nettes Maedel. Sie hat mir auch erzaehlt, dass sie einen neuen Barkeeper braucht. Wir hatten eine gute Zeit miteinander und ich denke nicht, dass ich extra etwas lernen muss um ihr naeher zukommen.
poss.cof.step.3=Жизнь сложная штука. Вика так мило общалась со мной, но затем внезапно меня поставила на землю. Я так понял, что теперь единственный способ к ней приблизиться - это стать барменом и устроиться к ней на работу. Может быть, если мы будем по одну сторону барной стойки, у меня что-то получится? Но где и как учиться этому? Даже не знаю с чего начать... Нужно обо всём рассказать Лизе.|Hmm,...da lag ich wohl falsch. Vicky hat nur mit mir geflirtet ohne auch nur ansatzweise weiter zugehen. Ich denke nur als Barkeeper habe ich eine Chance ihr naeher zukommen. Vielleicht kann ich ja dann gewisse Dinge tun, wenn wir beide hinter dem Tresen sind? Jetzt muss ich ja nur noch lernen wie man ein guter Barkeeper wird...keine Ahnung wie ich das schaffen soll. Ich frage einfach Lisa, sie wird mir schon helfen koennen.
poss.cof.step.4=Кажется, немного удачи есть на моей стороне и я могу попытаться стать барменом! Лиза сказала, что один из её одноклассников тоже интересовался этой темой и занимался на каких-то курсах. Она узнает об этом подробнее и, может быть, в результате я научусь готовить коктейли! А это может быть полезно не только для того, чтобы приблизиться к Вике. Думаю, вся семья оценит мои новые таланты!\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры.</i>|Mein Glueck bleibt mir treu, Lisa hat gehoert wie einige ihrer Klassenkameraden über ein Onlineseminar gesprochen haben zum Thema Barkeeper. Sie hat mir versprochen herauszufinden wo dies Kurse angeboten werden und meine neu erlernten Skills sollten mir dann nicht nur bei Vicky weiterhelfen... Ich bin sicher hier im Haus werden diese auch dringend benoetigt.\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>

poss.oli.name=Оливия|Olivia
poss.oli.step.1=В случайном разговоре Лиза обмолвилась о том, что могла бы познакомить меня со своей подругой Оливией. Ещё недавно мне казалось, что Лиза её ненавидит. Видимо, что-то изменилось и у меня есть шанс узнать, что именно...\n\n\nСтоит зайти за Лизой после школы, тогда всё и узнаю...|Lisa will mich mit ihrer Freundin Olivia verkuppeln, aber haben die beiden sich nicht noch eben gehasst? Ich denke das hat sich jetzt geaendert und ich habe jetzt die Chance herauszufinden warum.
poss.oli.step.2=Вот я и познакомился с этой забавной девчонкой, о которой Лиза ещё недавно отзывалась весьма нелестно. Оливия прикольная... Мне кажется, стоит начать за ней ухаживать... Посмотрим, куда это всё заведёт...|Ich habe Olivia kennengelernt und muss sagen sie ist echt nett, keine Ahnung warum losa sie eine Schlampe genannt hat. Hat sie sich soviel veraendert, naja wie dem auch sei, ich mag Olivia. Und werde mein Glueck bei ihr versuchen, wer weis wo es mich hinfuehrt...
poss.oli.step.3=Похоже, Оливии нужна моя помощь с уроками. Это весьма неожиданно, учитывая, что меня выгнали из школы. К счастью, я уже прошёл этот материал, всё помню и могу ей помочь с уроками. Лучше всего приходить во вторник и пятницу.|Olivia braucht auch Hilfe mit ihren Hausaufgaben und hat mich gefragt, ob ich helfen koennte. Ich kann nicht fassen, dass ich immer noch Nachhilfe geben, obwohl ich keinen Abschluss habe. Aber die an den Stoff den Olivia braucht kann ich mich zum Glueck noch erinnern, wir treffen uns jetzt jeden Dienstag und Freitag zum ueben.
poss.oli.step.4=Вот я и познакомился с мамой Оливии, Дианой. Очень... интересная женщина. Ходит по дому голышом, совершенно меня не стесняется... А какая грудь! Ух, я уже сомневаюсь, а за той ли я ухаживаю? Хотя, что мешает ухаживать за обеими? Или я слишком забегаю вперёд? Хех...|Ich habe Olivias Mutter kennengelernt, eine sehr interessante Frau, wie ich sagen muss. Sie laeuft komplett nackt durch das Haus und ist nicht einmal beschaemt bei fremden Leuten. Ich konnte ihren gute gebauten Körper ganz klar begutachten! Sicher, dass ich mir das richtige Zirl mit Olivia heraus gesucht habe? An sich muss ich mich ja nicht entscheiden...aber kann ich sowas wirklich bringen? Naja es ist sowieso noch zu frueh um sowas zu entscheiden...
poss.oli.step.5=Ну что же... Кажется, я влип. Ещё точно не знаю во что, но похоже, что крепко... Во время позапрошлого визита Оливии я... немножко дал волю совим рукам и залез к ней под юбку... а Диана всё увидела. И в прошлый раз Диана устроила... даже не знаю как это назвать. В общем, я влип...\n\n\n<i><b>Внимание:</b> Пока это всё, что можно сделать для данной «возможности» в текущей версии игры.</i>|Ich denke ich stecke in Schwierigkeiten, da mich Diane mit meiner Hand unter Olivia's Rock erwischt hat. Und bei meinen nächsten Besuch stand sie...ich kannes immer noch nicht fassen oder gar glauben. Wie auch immer, ich stecke bis zum Hals in Schwierigkeiten...\n\n\n<i><b>Achtung:</b> Du hast das Ende des spielbaren Inhalts für diese Version erreicht.</i>


loco.school.name=ШКОЛА|Schule
loco.school.1=Наконец-то у меня появился повод выйти из дома, да ещё какой повод! Лизе хочется романтики и я могу ей её дать. Ну, мне так кажется. Как минимум стоит начать с первого свидания. Для этого мне нужно в учебный день выйти из дома в 15 часов. Да, стоит захватить деньги, хотя бы $20.|Endlich habe ich einen guten Grund, dass Haus zu verlassen. Losa will naemlich einbisschen Romantik in ihrem Leben und ich werde ihr diesen Wunsch erfuellen. Hoffentlich. Ich sollte bei unseren ersten echten Date anfangen oder? Dafür treffe ich mich mit ihr um 15Uhr an der Schule. Achja einbisschen Cash waere auch nicht verkehrt, so 20$ sollten reichen.
loco.school.2=Итак, я могу ходить на свидания с Лизой в любой учебный день, в 15 часов. Вот только не нужно делать это слишком часто, а то можно надоесть... Да, не стоит ходить на свидания совсем без денег. $20 должно хватить хотя бы на кофе, если что...|Ich kann mich ab jetzt mit Lisa jeden Tag 15Uhr vor der Schule treffen für ein Date. Ich sollte es dennoch nicht übertreiben, da sie sonst meiner überdruessig wird. Und ich brauche 20 Kroeten für den ganzen Spass.
